doi,material_class,chemistry_family,electrode_role,cell_type,current_density_A_g,C_rate,cycle_number,upper_cutoff_V,lower_cutoff_V,temperature_C,loading_mg_cm2,first_cycle_CE_percent,specific_capacity_mAh_g
10.1038/s41467-022-32606-4,other-oxide,Na-ion,cathode,full-cell,0.022,0.2,100.0,3.8,2.3,-40.0,2.0,,68.0
10.1038/s41467-021-23132-w,other-oxide,Na-ion,cathode,half-cell,,0.1,,4.2,2.5,25.0,6.0,,142.2
10.1021/acsnano.9b07710,Li-metal,Li-metal,anode,half-cell,,,,0.5,,,,,3560.0
10.1038/s41467-024-47101-1,other-oxide,Zn-ion,cathode,full-cell,,,450.0,1.4,0.4,25.0,,,220.0
10.1038/s41467-020-20463-y,other-oxide,Li-ion,cathode,full-cell,,0.1,,,,25.0,2.0,,142.3
10.1002/adma.202008619,Li-metal,Li-metal,anode,half-cell,,,,,,,,,3860.0
10.1038/s41929-024-01169-6,other-oxide,Zn-ion,cathode,half-cell,300.0,520.0,,,,,,,577.1
10.1038/s41467-021-24976-y,sulfur,Li-S,cathode,full-cell,,0.2,100.0,3.0,1.5,,15.0,,1431.0
10.1038/s41467-021-23349-9,other-oxide,Li-S,cathode,half-cell,,1.0,500.0,2.8,1.7,25.0,,,1248.2
10.1038/s41467-022-28238-3,other-oxide,Al-ion,cathode,full-cell,0.5,,400.0,1.8,0.5,25.0,1.0,,400.0
10.1038/s41560-019-0493-0,other-oxide,Li-ion,cathode,half-cell,,,,3.0,1.8,,,,245.0
10.1038/s41467-024-49826-5,other-oxide,Li-S,cathode,half-cell,,0.2,,2.8,1.7,25.0,,,1303.4
10.1038/s41467-022-35667-7,NMC,Li-ion,cathode,full-cell,,,250.0,,,25.0,8.92,85.2,128.0
10.1038/s41563-020-0655-2,other-oxide,Li-ion,cathode,full-cell,,,330.0,,,20.0,,,135.0
10.1038/s41467-023-37564-z,sulfur,Li-S,cathode,full-cell,0.1675,,,2.5,0.5,60.0,,100.2,1144.6
10.1038/s41467-023-39384-7,other-oxide,Na-ion,cathode,full-cell,0.024,,40.0,,,25.0,,,83.9
10.1038/s41467-021-22698-9,other,Ca-ion,anode,half-cell,5.0,,,,,,1.5,,150.5
10.1016/j.nanoen.2019.03.008,other-oxide,Na-ion,anode,half-cell,1.0,,1000.0,3.0,0.1,,,,362.0
10.1038/s41467-023-37565-y,other-oxide,Zn-ion,cathode,full-cell,0.5,,,2.0,0.6,25.0,,,612.5
10.1038/s41467-023-39686-w,other-oxide,Li-ion,cathode,full-cell,,,62500.0,,,30.0,,97.57,222.3
10.1038/s41467-023-42109-5,sulfur,Li-S,cathode,full-cell,2.0,,1500.0,2.4,0.6,25.0,,,979.6
10.1038/s41467-021-27551-7,other-oxide,Na-ion,cathode,full-cell,1.675,1.0,10000.0,2.8,0.5,30.0,1.2,,512.0
10.1038/s41467-020-20169-1,other-oxide,Na-ion,cathode,half-cell,,0.1,,4.2,1.5,,,,194.0
10.1038/s41467-021-26032-1,other-oxide,Na-ion,cathode,full-cell,0.235,2.0,500.0,3.8,2.5,26.0,1.0,,100.0
10.1038/s41467-020-19078-0,other-oxide,Na-ion,cathode,half-cell,,0.5,2.0,2.8,0.8,,4.4,,755.0
10.1016/j.ensm.2023.03.022,other,Zn-ion,cathode,full-cell,,,720.0,,,,0.5,,836.0
10.1002/aenm.202000135,other-oxide,Na-ion,cathode,half-cell,,0.1,,4.0,2.0,30.0,,,106.7
10.1038/s41467-023-38890-y,other,other,cathode,full-cell,25.0,,39000.0,1.3,0.0,28.0,,,110.0
10.1038/s41467-022-28176-0,other-oxide,Na-ion,anode,full-cell,1.0,,1500.0,4.7,1.5,25.0,1.2,83.2,101.0
10.1002/adfm.201903795,hard-carbon,Na-ion,anode,half-cell,,0.1,,1.5,0.01,,1.2,87.0,60.0
10.1021/acsenergylett.0c00859,graphite,Li-ion,anode,half-cell,,,,,1.5,30.0,6.38,,372.0
10.1002/adfm.202107060,other-oxide,Li-ion,anode,half-cell,,5.0,1100.0,3.0,0.4,,,,183.0
10.1038/s41467-024-45374-0,silicon,Li-ion,anode,half-cell,,0.25,250.0,1.0,0.05,,1.2,85.6,2718.0
10.1038/s41893-024-01402-x,other-oxide,Li-ion,cathode,half-cell,,0.1,,4.6,2.7,30.0,3.0,,239.0
10.1016/j.nanoen.2020.104657,silicon,Li-ion,anode,half-cell,2.0,,1000.0,1.0,0.01,,,82.0,1864.0
10.1038/s41467-020-14686-2,sulfur,Li-S,cathode,half-cell,,0.5,500.0,2.8,1.7,,2.0,,891.0
10.1038/s41467-024-45864-1,other-oxide,Li-ion,cathode,full-cell,,0.2,50.0,4.6,2.5,25.0,,,185.0
10.1038/s41467-019-13434-5,other-oxide,Li-ion,anode,half-cell,,,250.0,1.5,0.01,,3.7,,1068.0
10.1038/s41467-021-22633-y,other,Al-ion,cathode,half-cell,0.02,,8000.0,,,25.0,1.5,,350.0
10.1038/s41467-021-25612-5,sulfur,Li-S,cathode,half-cell,,0.2,1000.0,,,,3.0,99.0,1629.0
10.1021/acsami.0c12376,other-oxide,Li-ion,anode,half-cell,,,,2.5,0.005,,,67.3,751.0
10.1016/j.nanoen.2019.104253,V2O5,Li-S,cathode,full-cell,,0.1,1.0,2.6,1.7,25.0,1.2,96.7,1638.5
10.1021/jacs.0c02859,other-oxide,Li-ion,cathode,half-cell,,,,4.8,2.5,,,,188.0
10.1038/s41467-023-40462-z,MnO2,Zn-ion,cathode,full-cell,1.0,,500.0,2.0,0.8,,,,328.2
10.1002/adma.202104427,other-oxide,Na-ion,anode,half-cell,0.05,,150.0,,,,,55.0,570.0
10.1038/s41467-019-10473-w,silicon,Li-metal,anode,full-cell,,5.0,500.0,,,60.0,,,65.0
10.1038/s41467-023-41071-6,other,other,cathode,half-cell,1.0,,30.0,1.3,0.6,25.0,1.5,,1200.0
10.1038/s41467-018-08233-3,silicon,Li-ion,anode,half-cell,,0.1,,1.5,0.005,25.0,6.9,93.0,527.0
10.1038/s41467-022-35376-1,Prussian-blue,Li-ion,cathode,half-cell,0.019,,,,,25.0,,,142.0
10.1021/jacs.2c03844,other-oxide,other,cathode,half-cell,,2500.0,5000.0,0.7,-0.38,,,,111.0
10.1038/s41467-024-53800-6,other-oxide,Zn-ion,cathode,full-cell,,,30000.0,1.8,0.2,,38.5,,125.9
10.1038/s41467-025-56607-1,other-oxide,Zn-ion,cathode,full-cell,0.2,,,1.6,,25.0,1.5,,371.7
10.1021/acsnano.3c02323,Prussian-blue,Na-ion,cathode,half-cell,0.01,,,4.2,2.0,,,91.0,120.5
10.1038/s41467-023-38822-w,other-oxide,Na-ion,cathode,full-cell,0.06,,1000.0,,,25.0,,,83.5
10.1002/aenm.202101250,other-oxide,Li-S,cathode,half-cell,,0.1,,2.8,1.7,,,,1545.0
10.1038/s41467-021-21108-4,other-oxide,Al-ion,cathode,full-cell,20.0,100.0,,,,,0.16,,200.0
10.1038/s41563-022-01467-z,other-oxide,Li-ion,cathode,half-cell,0.02,,,4.8,1.5,25.0,,,387.0
10.1038/s41598-019-51324-4,silicon,Li-ion,anode,half-cell,,,1200.0,1.2,0.05,,,,1000.0
10.1002/adma.202211555,other-oxide,other,cathode,other,,,,,,,,,616.0
10.1038/s41598-019-51412-5,Zn-metal,other,anode,full-cell,,,600.0,,,25.0,,,550.0
10.1038/s41467-019-12939-3,other-oxide,Na-ion,cathode,full-cell,1.0,,5000.0,,,,,,83.0
10.1038/s41467-019-09400-w,other-oxide,Li-ion,cathode,half-cell,0.2,,100.0,3.5,1.5,,3.5,,180.0
10.1021/acsnano.2c03788,other-oxide,Li-S,cathode,half-cell,,0.2,,2.8,1.7,25.0,1.0,,1218.0
10.1038/s41467-023-36934-x,Li-metal,Li-metal,anode,full-cell,,0.5,300.0,4.0,2.5,,21.9,,1378.0
10.1002/aenm.202101449,sulfur,Li-S,cathode,half-cell,,0.05,,,,,1.0,,1208.0
10.1002/aenm.202001120,other-oxide,Li-ion,cathode,half-cell,0.06,,200.0,4.8,2.0,25.0,13.0,,237.4
10.1038/s41467-023-36385-4,other-oxide,K-ion,cathode,half-cell,0.02,,200.0,4.0,1.0,28.0,0.8,,111.0
10.1021/acsenergylett.0c00700,other-oxide,Na-ion,cathode,half-cell,0.012,,,4.2,2.0,,,,196.0
10.1038/s41467-021-23150-8,other-oxide,Li-ion,anode,half-cell,10.0,,10000.0,3.0,0.05,,,,750.0
10.1038/s41565-024-01813-z,other-oxide,Li-ion,cathode,full-cell,,1.0,3500.0,,,25.0,,,153.6
10.1002/adma.202303193,other-oxide,Li-ion,cathode,full-cell,,0.3,200.0,,,60.0,,,148.8
10.1021/acsaem.8b02188,LFP,Li-ion,cathode,full-cell,,0.2,100.0,,,60.0,1.5,,142.0
10.1038/s41467-024-46472-9,silicon,Li-ion,anode,half-cell,,0.2,300.0,,,,,,2081.6
10.3389/fchem.2019.00500,NMC,Li-ion,cathode,half-cell,,1.0,200.0,4.3,2.7,25.0,2.3,83.2,151.01
10.1002/aenm.201901153,other-oxide,Li-ion,anode,half-cell,0.1,,,3.0,0.01,,1.0,74.2,790.0
10.1038/s41598-020-66148-w,other-oxide,Na-ion,anode,half-cell,0.1,,200.0,3.0,0.01,,2.0,,544.0
10.1002/anie.202007159,other,Li-S,cathode,half-cell,,,100.0,,,,,,900.0
10.1016/j.nanoen.2020.105214,NMC,Li-ion,cathode,half-cell,,0.05,,4.3,3.0,25.0,3.0,,186.0
10.1038/s41467-022-31943-8,sulfur,Li-S,cathode,full-cell,,,5.0,2.7,1.8,25.0,2.5,,1000.0
10.1038/s41467-023-38493-7,LFP,Li-ion,cathode,full-cell,,3.0,350.0,,,80.0,10.3,,146.0
10.1021/acsnano.0c04366,other-oxide,Na-ion,anode,half-cell,2.5,,2000.0,,,,2.1,86.0,335.0
10.1002/aenm.201903280,other,other,anode,half-cell,0.04,,,,,,,39.0,340.0
10.1038/s41598-020-71625-3,silicon,Li-ion,anode,half-cell,,0.5,350.0,1.5,0.01,25.0,0.5,70.4,1450.2
10.1038/s41467-025-55862-6,other-oxide,Zn-ion,cathode,full-cell,,,,,,,,,764.8
10.1016/j.mattod.2023.03.001,NMC,Li-ion,cathode,full-cell,,0.1,140.0,4.3,2.7,35.0,3.4,83.3,192.0
10.1038/s41467-021-26190-2,sulfur,Li-S,cathode,full-cell,,,200.0,,0.8,24.0,6.4,,600.0
10.1002/anie.202116586,other,Li-metal,anode,full-cell,,0.1,200.0,,,,5.2,95.6,1143.0
10.1038/s41467-024-50455-1,other-oxide,Li-ion,anode,half-cell,,0.5,130.0,3.0,1.0,25.0,1.5,,254.7
10.1038/s41598-020-79205-1,silicon,Li-ion,anode,half-cell,0.1,,100.0,1.5,0.01,25.0,,26.0,1894.54
10.1002/smll.202001884,other-oxide,Li-ion,anode,half-cell,0.0387,0.1,,3.0,1.0,,,87.7,281.0
10.1038/s41467-022-31261-z,other-oxide,Ca-ion,anode,full-cell,0.26,1.0,5000.0,2.5,0.5,25.0,12.0,,78.0
10.1038/s41467-022-29537-5,other,other,cathode,full-cell,0.5,,400.0,,,25.0,2.0,,1263.0
10.1038/s41467-022-30616-w,Zn-metal,other,anode,full-cell,,,,,1.4,25.0,61.0,,759.32
10.1016/j.jpowsour.2019.05.031,other-oxide,Na-ion,cathode,full-cell,,,,,,,,,185.0
10.1002/adma.202201510,MnO2,Zn-ion,cathode,half-cell,,0.1,,1.8,1.0,-30.0,2.5,,260.0
10.1002/adfm.201807951,other-oxide,Na-ion,cathode,full-cell,0.01,,,3.8,2.5,25.0,,,100.0
10.1038/s41467-023-37122-7,other-oxide,Li-ion,cathode,full-cell,0.0095,0.1,,2.8,2.2,25.0,,97.3,92.5
10.1002/anie.202016334,other-oxide,Na-ion,cathode,half-cell,0.125,,250.0,3.8,2.0,,,,160.0
10.1038/s41467-022-31768-5,other-oxide,Na-ion,cathode,half-cell,0.0143,0.1,,4.5,2.0,22.0,2.0,,136.0
10.1021/acsaem.9b00765,NMC,Li-ion,cathode,full-cell,,0.05,1.0,4.3,3.0,50.0,7.2,,170.0
10.1038/s41467-024-46317-5,other-oxide,other,anode,half-cell,1.0,,,-0.01,-1.0,,1.3,89.78,115.9
10.1038/s41467-025-58627-3,NMC,Li-ion,cathode,full-cell,,,100.0,4.3,,-60.0,,,110.0
10.1021/acsenergylett.2c02590,graphite,Li-ion,anode,half-cell,,0.2,300.0,,,,,84.0,350.0
10.1038/s41467-021-27861-w,sulfur,Li-S,cathode,full-cell,,0.1,,2.8,1.7,25.0,1.2,,1268.0
10.1038/s41467-021-27095-w,graphite,Li-ion,anode,full-cell,,0.2,,4.3,2.7,25.0,8.3,,360.0
10.1002/adma.202106572,sulfur,Na-ion,cathode,half-cell,1.0,,,2.8,0.8,,2.0,64.4,987.0
10.1038/s41598-019-45531-2,NMC,Li-ion,cathode,half-cell,,0.1,,4.3,3.0,,14.7,,211.5
10.1038/s41598-019-43639-z,other-oxide,Mg-ion,cathode,half-cell,0.1,1.0,200.0,,,25.0,,,300.0
10.1016/j.cej.2020.124404,sulfur,Li-S,cathode,full-cell,,0.5,500.0,3.0,1.5,,2.3,,1243.0
10.1016/j.electacta.2022.139892,other-oxide,Li-ion,anode,half-cell,1.0,,650.0,3.0,0.01,,,,478.1
10.1038/s43246-020-0030-5,other-oxide,other,cathode,full-cell,,,,2.3,0.0,170.0,,,70.0
10.1021/acsenergylett.1c00374,other-oxide,Li-ion,cathode,full-cell,,5.0,200.0,4.4,,25.0,,,185.8
10.1002/adfm.202206428,NMC,Li-ion,cathode,half-cell,0.022,0.1,,,,25.0,,,201.2
10.1002/aenm.201901651,Na-metal,Na-ion,anode,half-cell,,,,,,,,,1166.0
10.1016/j.nanoen.2022.107862,other-oxide,Li-ion,cathode,half-cell,,0.1,,4.5,2.0,,2.0,,230.0
10.1038/s41467-024-46883-8,other-oxide,Li-metal,cathode,full-cell,,1.0,400.0,4.6,2.1,25.0,,,214.1
10.1002/adfm.202303707,other-oxide,Li-ion,cathode,half-cell,,0.2,,4.8,2.0,,,86.8,298.0
10.1038/s41467-025-60558-y,other-oxide,Zn-ion,cathode,full-cell,,5.0,5000.0,1.8,0.8,25.0,2.5,93.4,165.0
10.1038/s41467-025-60186-6,other-oxide,Li-ion,anode,half-cell,1.0,,,3.0,1.0,27.0,,,233.9
10.1002/smll.202311203,other-oxide,Zn-ion,cathode,full-cell,5.0,,4000.0,,,,,,79.0
10.1002/adfm.201910249,silicon,Li-ion,anode,half-cell,0.84,,1.0,1.2,0.01,,0.8,81.0,3346.0
10.1002/smll.201900497,MoS2,K-ion,anode,half-cell,1.0,,,3.0,0.01,,,,330.0
10.1021/acsaem.9b02119,other-oxide,Zn-ion,cathode,half-cell,0.1,,200.0,,,,,,222.0
10.1016/j.nanoen.2021.106206,other-oxide,Na-ion,cathode,half-cell,,0.1,,4.2,2.5,,,,85.0
10.1038/s41467-022-34303-8,other,other,cathode,full-cell,40.0,,,2.5,0.0,25.0,1.2,,900.0
10.1038/s41467-021-25760-8,other-oxide,Li-ion,cathode,half-cell,,,,,,,,,260.0
10.1021/acs.nanolett.8b05101,sulfur,Li-S,cathode,full-cell,,0.2,120.0,,,,4.9,,960.0
10.1038/s41467-023-41513-1,NMC,Li-ion,cathode,full-cell,,0.1,100.0,4.4,3.0,25.0,96.0,,210.0
10.1002/cssc.201903554,other,Li-ion,cathode,half-cell,,0.1,,4.0,3.0,,,,104.0
10.1016/j.ensm.2021.06.024,NMC,Li-ion,cathode,full-cell,,0.1,600.0,4.2,2.5,25.0,,,130.0
10.1038/s41467-025-60191-9,silicon,Li-ion,anode,half-cell,,,,2.0,0.005,,2.25,93.6,1773.0
10.1038/s41598-022-09244-3,LFP,Li-ion,cathode,full-cell,,1.0,50.0,,,70.0,,,141.0
10.1021/acs.nanolett.2c04465,other-oxide,Na-ion,cathode,half-cell,0.01,,,4.35,2.5,,,,122.7
10.1038/s41467-019-12310-6,other-oxide,Na-ion,cathode,half-cell,,0.1,50.0,3.3,1.4,,,,186.0
10.1038/s41467-021-23603-0,other,Li-ion,cathode,full-cell,0.01,,,,,23.0,,,855.0
10.1002/adfm.202006076,other,Li-ion,anode,half-cell,0.1,,,3.0,0.01,,,,879.0
10.1038/s41598-020-64546-8,NMC,Li-ion,cathode,half-cell,,0.1,,4.3,3.0,25.0,15.0,,205.0
10.1002/anie.202218165,sulfur,Na-ion,cathode,half-cell,0.2,,1.0,,,,,,1590.0
10.1038/s41598-019-44285-1,other-oxide,other,cathode,other,1.0,,,0.4,0.0,,,,237.0
10.1002/adfm.202110876,NMC,Li-ion,cathode,full-cell,,1.0,100.0,,,80.0,,,200.0
10.1038/s41467-021-23366-8,other-oxide,Li-ion,anode,half-cell,0.1,,200.0,,,,,74.19,543.1
10.1038/s41598-021-98123-4,NMC,Li-ion,cathode,half-cell,,0.1,1.0,4.3,3.0,25.0,15.0,89.2,213.5
10.1038/s41467-023-36622-w,other-oxide,other,cathode,full-cell,0.125,,100.0,3.3,1.6,25.0,4.0,,210.0
10.1016/j.cej.2021.129693,sulfur,Li-S,cathode,half-cell,,0.1,,2.8,1.7,,1.2,,1375.1
10.1038/s41467-025-58689-3,NMC,Li-ion,cathode,full-cell,0.18,,1000.0,,,25.0,2.0,,183.9
10.1038/s41467-025-60488-9,other,Zn-ion,cathode,full-cell,0.3,,,1.6,0.5,25.0,,,205.4
10.1038/s41467-020-19815-5,other-oxide,Li-ion,anode,half-cell,0.036,,15.0,2.8,0.01,,,,200.0
10.1002/adfm.202002665,other-oxide,Li-ion,anode,half-cell,,40.0,500.0,2.5,1.0,,,,220.0
10.3389/fenrg.2020.00003,hard-carbon,Li-ion,anode,half-cell,,0.2,,2.5,0.001,,5.2,87.9,343.5
10.1016/j.jechem.2021.06.035,MoS2,Li-S,cathode,full-cell,,0.1,500.0,2.8,1.7,,5.6,,1379.0
10.1002/adfm.202102765,LFP,Li-ion,cathode,full-cell,,0.2,50.0,4.0,2.5,80.0,8.0,,120.0
10.1002/adfm.202211229,Prussian-blue,Na-ion,cathode,full-cell,,0.5,100.0,,,25.0,,,105.0
10.3389/fchem.2020.00328,other-oxide,Li-ion,anode,half-cell,0.1,,100.0,3.0,0.01,,,,1437.28
10.1038/s41598-019-50080-9,sulfur,Al-ion,cathode,full-cell,0.1,,300.0,2.2,0.05,,3.0,,532.0
10.1038/s41467-024-53885-z,other-oxide,Zn-ion,cathode,full-cell,0.02,,50.0,,,-80.0,10.0,,50.0
10.1002/adma.202405519,LCO,Li-ion,cathode,half-cell,,0.1,,4.65,3.0,,,,256.0
10.3389/fchem.2020.00104,LFP,Li-ion,cathode,half-cell,,0.1,,4.2,2.7,25.0,,,166.3
10.1038/s41598-020-68885-4,NMC,Li-ion,cathode,half-cell,,0.05,,3.7,2.4,90.0,5.5,,177.0
10.1038/s41427-021-00295-y,sulfur,Li-S,cathode,half-cell,,0.1,50.0,3.3,1.5,25.0,8.5,,940.0
10.1038/s41598-019-48088-2,other-oxide,Li-ion,anode,half-cell,0.5,,1200.0,2.5,0.05,,,,667.0
10.1038/s41467-023-37642-2,other-oxide,Zn-ion,cathode,full-cell,0.4,1.0,,1.6,0.4,,,,395.0
10.1038/s41467-024-46464-9,other-oxide,Zn-ion,cathode,half-cell,0.1,,,1.5,0.3,25.0,10.0,,450.5
10.1038/s41467-024-51123-0,other-oxide,Li-ion,cathode,full-cell,0.025,,100.0,4.7,1.7,150.0,1.3,,239.7
10.1016/j.nanoen.2022.107895,other-oxide,Li-ion,cathode,half-cell,,0.5,200.0,4.5,2.2,,,,154.6
10.1038/s41467-022-30788-5,other,Li-ion,cathode,full-cell,,,2800.0,4.0,2.8,60.0,1.0,,108.0
10.1038/s41467-023-41361-z,other-oxide,Al-ion,cathode,full-cell,2.0,,4000.0,2.5,0.0,,1.0,,400.0
10.3389/fenrg.2020.00199,other-oxide,Zn-ion,cathode,half-cell,0.1,,,1.6,0.3,,,,466.0
10.1038/s41467-025-57424-2,other-oxide,Na-ion,cathode,full-cell,,,100.0,3.6,2.5,30.0,1.5,,68.0
10.1016/j.electacta.2020.136061,other-oxide,Zn-ion,cathode,half-cell,0.02,,1.0,1.0,0.01,,2.8,39.0,189.0
10.1016/j.ensm.2022.11.037,sulfur,Li-S,cathode,half-cell,,0.5,,,,,,,1225.5
10.1016/j.jcis.2020.07.144,NMC,Li-ion,cathode,full-cell,,0.1,,,,,31.6,99.94,190.0
10.3389/fchem.2019.00388,LFP,Li-ion,cathode,full-cell,,1.0,200.0,4.2,2.5,80.0,,,161.2
10.1038/s41467-019-10305-x,other-oxide,Li-ion,anode,half-cell,,3.0,1000.0,,,,,72.2,546.0
10.1002/anie.202110699,other-oxide,Na-ion,cathode,full-cell,,,,,,,,,400.0
10.1038/s41598-021-91881-1,other-oxide,Li-ion,cathode,half-cell,,0.1,50.0,4.3,2.5,,,,169.0
10.1016/j.apsusc.2022.153778,MoS2,Li-ion,anode,half-cell,1.0,,700.0,3.0,0.01,,,87.5,600.0
10.1038/s41699-023-00411-2,sulfur,Zn-ion,cathode,full-cell,0.3,,,1.6,0.05,,,,772.7
10.1038/s41467-025-56519-0,other-oxide,Zn-ion,cathode,full-cell,5.0,,5000.0,,,25.0,2.0,,134.8
10.1038/s41467-025-59159-6,other-oxide,Li-ion,cathode,half-cell,0.0125,0.05,1.0,4.7,2.0,30.0,2.5,89.0,295.5
10.1016/j.est.2019.101113,other-oxide,Na-ion,anode,half-cell,,,,2.5,0.01,,,,222.0
10.1021/acsenergylett.3c02509,other-oxide,Li-ion,cathode,half-cell,,1.0,200.0,4.8,2.0,,,,200.0
