title,year,venue,cited,doi,pdf
Tailoring the metal electrode morphology via electrochemical protocol optimization for long-lasting aqueous zinc batteries,2022,Nature Communications,311,10.1038/s41467-022-31461-7,https://www.nature.com/articles/s41467-022-31461-7.pdf
A weakly solvating electrolyte towards practical rechargeable aqueous zinc-ion batteries,2024,Nature Communications,308,10.1038/s41467-023-44615-y,https://www.nature.com/articles/s41467-023-44615-y.pdf
Rational Design of a Ni3N0.85 Electrocatalyst to Accelerate Polysulfide Conversion in Lithium–Sulfur Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),307,10.1021/acsnano.9b09371,https://www.osti.gov/servlets/purl/1660426
Single-dispersed polyoxometalate clusters embedded on multilayer graphene as a bifunctional electrocatalyst for efficient Li-S batteries,2022,Nature Communications,307,10.1038/s41467-021-27866-5,https://www.nature.com/articles/s41467-021-27866-5.pdf
Improving the oxygen redox reversibility of Li-rich battery cathode materials via Coulombic repulsive interactions strategy,2022,Nature Communications,306,10.1038/s41467-022-28793-9,https://www.nature.com/articles/s41467-022-28793-9.pdf
High-Performance Aqueous Zinc-Ion Batteries Realized by MOF Materials,2020,Nano-Micro Letters,304,10.1007/s40820-020-00487-1,https://link.springer.com/content/pdf/10.1007/s40820-020-00487-1.pdf
N/O Dual‐Doped Environment‐Friendly Hard Carbon as Advanced Anode for Potassium‐Ion Batteries,2020,Advanced Science,301,10.1002/advs.201902547,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201902547
Unlocking anionic redox activity in O3-type sodium 3d layered oxides via Li substitution,2021,The Australian Nuclear Science and Technology Organisation Institutional Repository (The Australian Nuclear Science and Technology Organisation),301,10.1038/s41563-020-00870-8,https://apo.ansto.gov.au/bitstreams/a3495f59-159b-4b3f-9434-56be0a7148f5/download
Rational design of a topological polymeric solid electrolyte for high-performance all-solid-state alkali metal batteries,2022,Nature Communications,293,10.1038/s41467-022-31792-5,https://www.nature.com/articles/s41467-022-31792-5.pdf
Non-polar ether-based electrolyte solutions for stable high-voltage non-aqueous lithium metal batteries,2023,Nature Communications,290,10.1038/s41467-023-36647-1,https://www.nature.com/articles/s41467-023-36647-1.pdf
Enabling selective zinc-ion intercalation by a eutectic electrolyte for practical anodeless zinc batteries,2023,Nature Communications,289,10.1038/s41467-023-38460-2,https://www.nature.com/articles/s41467-023-38460-2.pdf
"Fluoride-Rich, Organic–Inorganic Gradient Interphase Enabled by Sacrificial Solvation Shells for Reversible Zinc Metal Batteries",2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),288,10.1021/jacs.3c06523,https://www.osti.gov/biblio/2480830
Achieving All‐Plateau and High‐Capacity Sodium Insertion in Topological Graphitized Carbon,2023,Figshare,285,10.1002/adma.202302613,
From Micropores to Ultra-micropores inside Hard Carbon: Toward Enhanced Capacity in Room-/Low-Temperature Sodium-Ion Storage,2021,Nano-Micro Letters,282,10.1007/s40820-020-00587-y,https://link.springer.com/content/pdf/10.1007/s40820-020-00587-y.pdf
Synergistic Effect of Bimetallic MOF Modified Separator for Long Cycle Life Lithium‐Sulfur Batteries,2023,Advanced Energy Materials,282,10.1002/aenm.202302897,
Highly Conductive Two-Dimensional Metal–Organic Frameworks for Resilient Lithium Storage with Superb Rate Capability,2020,,280,10.1021/acsnano.0c05200,
Rational design of porous nitrogen-doped Ti3C2 MXene as a multifunctional electrocatalyst for Li–S chemistry,2020,King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology),279,10.1016/j.nanoen.2020.104555,
Thickness-independent scalable high-performance Li-S batteries with high areal sulfur loading via electron-enriched carbon framework,2021,Nature Communications,278,10.1038/s41467-021-24873-4,https://www.nature.com/articles/s41467-021-24873-4.pdf
Nonepitaxial Electrodeposition of (002)‐Textured Zn Anode on Textureless Substrates for Dendrite‐Free and Hydrogen Evolution‐Suppressed Zn Batteries,2023,Advanced Materials,278,10.1002/adma.202300073,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300073
Influence of NCM Particle Cracking on Kinetics of Lithium-Ion Batteries with Liquid or Solid Electrolyte,2020,Journal of The Electrochemical Society,276,10.1149/1945-7111/ab9a2c,https://iopscience.iop.org/article/10.1149/1945-7111/ab9a2c/pdf
Vanadium Dioxide Cathodes for High‐Rate Photo‐Rechargeable Zinc‐Ion Batteries,2021,Advanced Energy Materials,275,10.1002/aenm.202100115,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202100115
Nitrogen‐Doped Cobalt Pyrite Yolk–Shell Hollow Spheres for Long‐Life Rechargeable Zn–Air Batteries,2020,Advanced Science,272,10.1002/advs.202001178,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202001178
"A Highly Reversible, Dendrite‐Free Lithium Metal Anode Enabled by a Lithium‐Fluoride‐Enriched Interphase",2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),271,10.1002/adma.201906427,
High‐Entropy and Superstructure‐Stabilized Layered Oxide Cathodes for Sodium‐Ion Batteries,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),271,10.1002/aenm.202201989,https://www.osti.gov/servlets/purl/1889148
A mechanically robust self-healing binder for silicon anode in lithium ion batteries,2020,"Griffith Research Online (Griffith University, Queensland, Australia)",267,10.1016/j.nanoen.2020.105654,
Artificial dual solid-electrolyte interfaces based on in situ organothiol transformation in lithium sulfur battery,2021,Nature Communications,266,10.1038/s41467-021-23155-3,https://www.nature.com/articles/s41467-021-23155-3.pdf
Microcrystalline Hybridization Enhanced Coal‐Based Carbon Anode for Advanced Sodium‐Ion Batteries,2022,Advanced Science,265,10.1002/advs.202200023,
Organic pH Buffer for Dendrite‐Free and Shuttle‐Free Zn‐I 2 Batteries,2023,Angewandte Chemie International Edition,265,10.1002/anie.202303011,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202303011
Structure and Interface Design Enable Stable Li-Rich Cathode,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),264,10.1021/jacs.0c02302,
In‐Situ Electrochemically Activated Surface Vanadium Valence in V 2 C MXene to Achieve High Capacity and Superior Rate Performance for Zn‐Ion Batteries,2020,Figshare,264,10.1002/adfm.202008033,
"Hard carbon derived from coconut shells, walnut shells, and corn silk biomass waste exhibiting high capacity for Na-ion batteries",2020,HAL (Le Centre pour la Communication Scientifique Directe),263,10.1016/j.jechem.2020.08.065,
Strategies to anode protection in lithium metal battery: A review,2021,InfoMat,262,10.1002/inf2.12189,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/inf2.12189
In Situ Construction of Anode–Molecule Interface via Lone‐Pair Electrons in Trace Organic Molecules Additives to Achieve Stable Zinc Metal Anodes,2023,Advanced Energy Materials,261,10.1002/aenm.202300550,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202300550
"A cost-effective, ionically conductive and compressible oxychloride solid-state electrolyte for stable all-solid-state lithium-based batteries",2023,Nature Communications,259,10.1038/s41467-023-39522-1,https://www.nature.com/articles/s41467-023-39522-1.pdf
Dual Effects of Metal and Organic Ions Co‐Intercalation Boosting the Kinetics and Stability of Hydrated Vanadate Cathodes for Aqueous Zinc‐Ion Batteries,2023,Advanced Energy Materials,259,10.1002/aenm.202301480,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301480
A fluoroxalate cathode material for potassium-ion batteries with ultra-long cyclability,2020,Nature Communications,255,10.1038/s41467-020-15044-y,https://www.nature.com/articles/s41467-020-15044-y.pdf
Dual fluorination of polymer electrolyte and conversion-type cathode for high-capacity all-solid-state lithium metal batteries,2022,Nature Communications,254,10.1038/s41467-022-35636-0,https://www.nature.com/articles/s41467-022-35636-0.pdf
Enabling High‐Energy Solid‐State Batteries with Stable Anode Interphase by the Use of Columnar Silicon Anodes,2020,Advanced Energy Materials,253,10.1002/aenm.202001320,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202001320
Enabling All‐Solid‐State Li Metal Batteries Operated at 30 °C by Molecular Regulation of Polymer Electrolyte,2023,Advanced Energy Materials,251,10.1002/aenm.202203547,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202203547
Zn2+ Induced Phase Transformation of K2MnFe(CN)6 Boosts Highly Stable Zinc‐Ion Storage,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),248,10.1002/aenm.202003639,
Industrial‐Scale Hard Carbon Designed to Regulate Electrochemical Polarization for Fast Sodium Storage,2024,Angewandte Chemie International Edition,248,10.1002/anie.202406889,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202406889
Tubular CoFeP@CN as a Mott–Schottky Catalyst with Multiple Adsorption Sites for Robust Lithium−Sulfur Batteries,2021,Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),247,10.1002/aenm.202100432,
Tuning electron delocalization of hydrogen-bonded organic framework cathode for high-performance zinc-organic batteries,2023,Nature Communications,247,10.1038/s41467-023-40969-5,https://www.nature.com/articles/s41467-023-40969-5.pdf
Achieving Ultrahigh‐Rate Planar and Dendrite‐Free Zinc Electroplating for Aqueous Zinc Battery Anodes,2022,Advanced Materials,245,10.1002/adma.202202552,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202202552
"A Pyrene-4,5,9,10-Tetraone-Based Covalent Organic Framework Delivers High Specific Capacity as a Li-Ion Positive Electrode",2022,Journal of the American Chemical Society,243,10.1021/jacs.2c02196,
Ultrahigh‐Rate and Long‐Life Zinc–Metal Anodes Enabled by Self‐Accelerated Cation Migration,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),242,10.1002/aenm.202100982,https://www.osti.gov/servlets/purl/1812496
"Simultaneous regulation of cations and anions in an electrolyte for high-capacity, high-stability aqueous zinc–vanadium batteries",2022,eScience,242,10.1016/j.esci.2022.03.002,https://www.sciencedirect.com/science/article/pii/S2667141722000246/pdf
Polyfluorinated crosslinker-based solid polymer electrolytes for long-cycling 4.5 V lithium metal batteries,2023,Nature Communications,242,10.1038/s41467-023-37997-6,https://www.nature.com/articles/s41467-023-37997-6.pdf
Developing high-power Li||S batteries via transition metal/carbon nanocomposite electrocatalyst engineering,2024,Figshare,242,10.1038/s41565-024-01614-4,
Inorganic Colloidal Electrolyte for Highly Robust Zinc-Ion Batteries,2021,Nano-Micro Letters,239,10.1007/s40820-021-00595-6,https://link.springer.com/content/pdf/10.1007/s40820-021-00595-6.pdf
Alkali Ions Pre‐Intercalated Layered MnO 2 Nanosheet for Zinc‐Ions Storage,2021,Advanced Energy Materials,239,10.1002/aenm.202101287,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202101287
A Low Cost Aqueous Zn–S Battery Realizing Ultrahigh Energy Density,2020,Advanced Science,238,10.1002/advs.202000761,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202000761
Selective recovery of cobalt from mixed lithium ion battery wastes using deep eutectic solvent,2021,IRIS Research product catalog (Sapienza University of Rome),238,10.1016/j.cej.2021.129249,
Dual‐Solvent Li‐Ion Solvation Enables High‐Performance Li‐Metal Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),236,10.1002/adma.202008619,https://www.osti.gov/servlets/purl/1787601
Ionic conductive polymers as artificial solid electrolyte interphase films in Li metal batteries – A review,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),235,10.1016/j.mattod.2020.06.011,
Eliminating interfacial O-involving degradation in Li-rich Mn-based cathodes for all-solid-state lithium batteries,2022,Science Advances,233,10.1126/sciadv.add5189,https://www.science.org/doi/pdf/10.1126/sciadv.add5189?download=true
A stable quasi-solid electrolyte improves the safe operation of highly efficient lithium-metal pouch cells in harsh environments,2022,Nature Communications,232,10.1038/s41467-022-29118-6,https://www.nature.com/articles/s41467-022-29118-6.pdf
High-Voltage and Ultrastable Aqueous Zinc–Iodine Battery Enabled by N-Doped Carbon Materials: Revealing the Contributions of Nitrogen Configurations,2020,Figshare,231,10.1021/acssuschemeng.0c04571,
Enhanced Reversible Zinc Ion Intercalation in Deficient Ammonium Vanadate for High-Performance Aqueous Zinc-Ion Battery,2021,Nano-Micro Letters,231,10.1007/s40820-021-00641-3,https://link.springer.com/content/pdf/10.1007/s40820-021-00641-3.pdf
Regulating closed pore structure enables significantly improved sodium storage for hard carbon pyrolyzing at relatively low temperature,2022,SusMat,230,10.1002/sus2.60,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sus2.60
Rapid mechanochemical synthesis of polyanionic cathode with improved electrochemical performance for Na-ion batteries,2021,Nature Communications,228,10.1038/s41467-021-23132-w,https://www.nature.com/articles/s41467-021-23132-w.pdf
Realizing High Capacity and Zero Strain in Layered Oxide Cathodes via Lithium Dual-Site Substitution for Sodium-Ion Batteries,2023,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),228,10.1021/jacs.3c00117,https://www.osti.gov/servlets/purl/1969926
Current Status and Future Perspective on Lithium Metal Anode Production Methods,2023,Advanced Energy Materials,223,10.1002/aenm.202203744,
Crack-free single-crystalline Co-free Ni-rich LiNi0.95Mn0.05O2 layered cathode,2022,eScience,222,10.1016/j.esci.2022.02.006,https://www.sciencedirect.com/science/article/pii/S2667141722000131/pdf
"High‐Rate, Large Capacity, and Long Life Dendrite‐Free Zn Metal Anode Enabled by Trifunctional Electrolyte Additive with a Wide Temperature Range",2022,Advanced Science,222,10.1002/advs.202201433,
Direct and green repairing of degraded LiCoO2 for reuse in lithium-ion batteries,2022,National Science Review,221,10.1093/nsr/nwac097,
Extending the low-temperature operation of sodium metal batteries combining linear and cyclic ether-based electrolyte solutions,2022,Nature Communications,221,10.1038/s41467-022-32606-4,https://www.nature.com/articles/s41467-022-32606-4.pdf
"3D Flexible, Conductive, and Recyclable Ti3C2Tx MXene-Melamine Foam for High-Areal-Capacity and Long-Lifetime Alkali-Metal Anode",2020,DORA Empa (Swiss Federal Laboratories for Materials Science and Technology (Empa)),218,10.1021/acsnano.0c03042,https://www.dora.lib4ri.ch/empa/dload/empa:23226/PDF2/view
Regulating Zn Deposition via an Artificial Solid–Electrolyte Interface with Aligned Dipoles for Long Life Zn Anode,2021,Nano-Micro Letters,218,10.1007/s40820-021-00599-2,https://link.springer.com/content/pdf/10.1007/s40820-021-00599-2.pdf
A 3d‐4d‐5d High Entropy Alloy as a Bifunctional Oxygen Catalyst for Robust Aqueous Zinc–Air Batteries,2023,Advanced Materials,218,10.1002/adma.202303719,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202303719
Single [0001]-oriented zinc metal anode enables sustainable zinc batteries,2024,Nature Communications,218,10.1038/s41467-024-47101-1,https://www.nature.com/articles/s41467-024-47101-1.pdf
A flexible electron-blocking interfacial shield for dendrite-free solid lithium metal batteries,2021,Nature Communications,217,10.1038/s41467-020-20463-y,https://www.nature.com/articles/s41467-020-20463-y.pdf
High-performance Zn battery with transition metal ions co-regulated electrolytic MnO2,2021,eScience,217,10.1016/j.esci.2021.11.002,https://www.sciencedirect.com/science/article/pii/S2667141721000239/pdf
Promoting the sulfur redox kinetics by mixed organodiselenides in high-energy-density lithium–sulfur batteries,2021,eScience,216,10.1016/j.esci.2021.08.001,https://www.sciencedirect.com/science/article/pii/S266714172100001X/pdf
Long‐Cycling Sulfide‐Based All‐Solid‐State Batteries Enabled by Electrochemo‐Mechanically Stable Electrodes,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),215,10.1002/adma.202200401,
Zn2+-mediated catalysis for fast-charging aqueous Zn-ion batteries,2024,UCL Discovery (University College London),215,10.1038/s41929-024-01169-6,https://discovery.ucl.ac.uk/10196116/1/He_Manuscript_accepted.pdf
Enhancing Li+ Transport in NMC811||Graphite Lithium‐Ion Batteries at Low Temperatures by Using Low‐Polarity‐Solvent Electrolytes,2022,Journal of Media Literacy Education,214,10.1002/anie.202205967,
Dual-anion ionic liquid electrolyte enables stable Ni-rich cathodes in lithium-metal batteries,2021,Joule,213,10.1016/j.joule.2021.06.014,http://www.cell.com/article/S2542435121003020/pdf
Electrolyte design for Li metal-free Li batteries,2020,Materials Today,212,10.1016/j.mattod.2020.04.004,https://www.sciencedirect.com/science/article/am/pii/S1369702120301061?via%3Dihub
"Ultra‐High Initial Coulombic Efficiency Induced by Interface Engineering Enables Rapid, Stable Sodium Storage",2021,Figshare,212,10.1002/anie.202102368,
Long-life lithium-sulfur batteries with high areal capacity based on coaxial CNTs@TiN-TiO2 sponge,2021,Nature Communications,212,10.1038/s41467-021-24976-y,https://www.nature.com/articles/s41467-021-24976-y.pdf
Metal‐Organic Framework Glass Anode with an Exceptional Cycling‐Induced Capacity Enhancement for Lithium‐Ion Batteries,2021,Advanced Materials,212,10.1002/adma.202110048,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202110048
A High‐Energy NASICON‐Type Cathode Material for Na‐Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),211,10.1002/aenm.201903968,
Amorphization-induced surface electronic states modulation of cobaltous oxide nanosheets for lithium-sulfur batteries,2021,Nature Communications,210,10.1038/s41467-021-23349-9,https://www.nature.com/articles/s41467-021-23349-9.pdf
A Molecular‐Sieve Electrolyte Membrane enables Separator‐Free Zinc Batteries with Ultralong Cycle Life,2022,Advanced Materials,209,10.1002/adma.202207209,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202207209
A Replacement Reaction Enabled Interdigitated Metal/Solid Electrolyte Architecture for Battery Cycling at 20 mA cm–2 and 20 mAh cm–2,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),207,10.1021/jacs.0c11753,
