atom a,atom b,lowest distortion,a,b,c,alpha,beta,gamma,vpa,mu_b,metal_or_insulator
Ac,Nd,cubic,4.503,4.503,4.503,90.0,90.0,90.0,18.259,0.0,insulator
Ac,Ni,orthorhombic,5.505,5.522,7.786,90.0,90.0,90.0,11.833,0.2,metal
Ac,Np,cubic,4.497,4.497,4.497,90.0,90.0,90.0,18.186,0.794,metal
Ac,Os,orthorhombic,5.463,6.091,7.989,90.0,90.0,90.0,13.292,0.109,metal
Ac,Pa,cubic,4.524,4.524,4.524,90.0,90.0,90.0,18.517,0.241,metal
Ac,Pb,orthorhombic,6.034,6.377,8.701,90.0,90.0,90.0,16.738,0.0,metal
Ac,Pd,orthorhombic,5.715,5.924,8.081,90.0,90.0,90.0,13.677999999999999,0.0,metal
Ac,Pm,cubic,4.466,4.466,4.466,90.0,90.0,90.0,17.814,0.0,insulator
Ac,Pr,cubic,4.539,4.539,4.539,90.0,90.0,90.0,18.704,0.0,insulator
Ac,Pt,orthorhombic,5.811,6.177,7.805,90.0,90.0,90.0,14.009,0.0,metal
Ac,Pu,cubic,4.441,4.441,4.441,90.0,90.0,90.0,17.512,0.942,metal
Ac,Rb,orthorhombic,5.98,6.089,11.491,90.0,90.0,90.0,20.923000000000002,0.0,insulator
Ac,Re,orthorhombic,5.556,5.978,8.046,90.0,90.0,90.0,13.360999999999999,0.215,metal
Ac,Rh,orthorhombic,5.635,5.837,8.046,90.0,90.0,90.0,13.23,0.0,insulator
Ac,Ru,orthorhombic,5.619,5.835,8.029,90.0,90.0,90.0,13.161,0.197,metal
Ac,Sb,orthorhombic,5.98,6.327,8.621,90.0,90.0,90.0,16.31,0.0,insulator
Ac,Sc,orthorhombic,5.782,5.844,8.201,90.0,90.0,90.0,13.854000000000001,0.0,insulator
Ac,Si,tetragonal,3.79,3.79,4.442,90.0,90.0,90.0,12.758,0.0,metal
Ac,Sm,orthorhombic,6.08,6.293,8.759,90.0,90.0,90.0,16.756,0.0,insulator
Ac,Sn,orthorhombic,5.942,6.208,8.551,90.0,90.0,90.0,15.772,0.0,metal
Ac,Sr,cubic,4.447,4.447,4.447,90.0,90.0,90.0,17.587,-0.006,metal
Ac,Ta,orthorhombic,5.615,5.983,8.195,90.0,90.0,90.0,13.765,0.0,metal
Ac,Tb,orthorhombic,6.009,6.201,8.63,90.0,90.0,90.0,16.078,0.0,insulator
Ac,Tc,orthorhombic,5.652,5.84,8.095,90.0,90.0,90.0,13.357999999999999,0.397,metal
Ac,Te,cubic,4.346,4.346,4.346,90.0,90.0,90.0,16.423,0.001,metal
Ac,Th,cubic,4.6,4.6,4.6,90.0,90.0,90.0,19.465999999999998,0.002,metal
Ac,Ti,orthorhombic,5.647,5.662,8.007,90.0,90.0,90.0,12.8,0.003,metal
Ac,Tl,orthorhombic,5.937,6.296,8.547,90.0,90.0,90.0,15.972999999999999,0.0,insulator
Ac,Tm,orthorhombic,5.94,6.089,8.494,90.0,90.0,90.0,15.360999999999999,0.0,insulator
Ac,U,cubic,4.466,4.466,4.466,90.0,90.0,90.0,17.809,0.525,metal
Ac,V,orthorhombic,5.664,5.684,7.997,90.0,90.0,90.0,12.873,0.4,insulator
Ac,W,orthorhombic,5.669,5.86,8.07,90.0,90.0,90.0,13.405,0.003,metal
Ac,Y,orthorhombic,5.993,6.183,8.603,90.0,90.0,90.0,15.939,0.0,insulator
Ac,Yb,orthorhombic,5.937,6.214,8.429,90.0,90.0,90.0,15.548,0.2,metal
Ac,Zn,orthorhombic,5.587,5.662,7.928,90.0,90.0,90.0,12.54,0.0,metal
Ac,Zr,orthorhombic,5.84,6.057,8.34,90.0,90.0,90.0,14.751,-0.001,metal
Ag,Ac,orthorhombic,6.008,6.225,8.526,90.0,90.0,90.0,15.943,0.0,metal
Ag,Ag,cubic,4.02,4.02,4.02,90.0,90.0,90.0,12.997,,metal
Ag,Al,orthorhombic,5.094,5.323,7.3,90.0,90.0,90.0,9.898,,metal
Ag,As,tetragonal,3.571,3.571,4.458,90.0,90.0,90.0,11.367,,metal
Ag,Au,cubic,4.046,4.046,4.046,90.0,90.0,90.0,13.242,,metal
Ag,B,cubic,3.439,3.439,3.439,90.0,90.0,90.0,8.138,,metal
Ag,Ba,orthorhombic,6.636,6.739,6.99,90.0,90.0,90.0,15.630999999999998,,insulator
Ag,Be,cubic,3.528,3.528,3.528,90.0,90.0,90.0,8.781,,metal
Ag,Bi,rhombohedral,5.765,5.765,5.765,60.4,60.4,60.4,13.662,,metal
Ag,Ca,rhombohedral,5.884,5.884,5.884,59.4,59.4,59.4,14.204,,metal
Ag,Cd,cubic,4.126,4.126,4.126,90.0,90.0,90.0,14.05,,metal
Ag,Ce,orthorhombic,5.962,6.115,8.3,90.0,90.0,90.0,15.13,0.0,metal
Ag,Cr,orthorhombic,5.357,5.401,7.29,90.0,90.0,90.0,10.545,0.386,metal
Ag,Cs,cubic,4.362,4.362,4.362,90.0,90.0,90.0,16.599,,metal
Ag,Cu,orthorhombic,5.066,5.322,7.583,90.0,90.0,90.0,10.222000000000001,,metal
Ag,Dy,cubic,4.329,4.329,4.329,90.0,90.0,90.0,16.23,0.0,metal
Ag,Er,cubic,4.303,4.303,4.303,90.0,90.0,90.0,15.94,-0.023,metal
Ag,Eu,orthorhombic,5.684,5.956,8.268,90.0,90.0,90.0,13.994000000000002,-0.033,metal
Ag,Ga,orthorhombic,5.13,5.419,7.628,90.0,90.0,90.0,10.602,,metal
Ag,Gd,cubic,4.373,4.373,4.373,90.0,90.0,90.0,16.72,0.0,metal
Ag,Ge,orthorhombic,5.325,5.343,7.31,90.0,90.0,90.0,10.4,,metal
Ag,Hf,orthorhombic,5.376,5.735,7.951,90.0,90.0,90.0,12.255,0.002,metal
Ag,Hg,cubic,4.156,4.156,4.156,90.0,90.0,90.0,14.36,,metal
Ag,Ho,cubic,4.308,4.308,4.308,90.0,90.0,90.0,15.995,0.03,metal
Ag,In,cubic,4.141,4.141,4.141,90.0,90.0,90.0,14.198,,metal
Ag,Ir,rhombohedral,5.367,5.367,5.367,61.6,61.6,61.6,11.312999999999999,0.007,metal
Ag,K,cubic,4.327,4.327,4.327,90.0,90.0,90.0,16.199,,metal
Ag,La,orthorhombic,5.835,6.067,8.48,90.0,90.0,90.0,15.011,0.089,metal
Ag,Li,cubic,3.635,3.635,3.635,90.0,90.0,90.0,9.602,,metal
Ag,Lu,cubic,4.252,4.252,4.252,90.0,90.0,90.0,15.37,-0.4,metal
Ag,Mg,cubic,3.865,3.865,3.865,90.0,90.0,90.0,11.550999999999998,,metal
Ag,Mn,orthorhombic,5.328,5.333,7.356,90.0,90.0,90.0,10.450999999999999,0.596,metal
Ag,Mo,cubic,3.911,3.911,3.911,90.0,90.0,90.0,11.963,0.0,metal
Ag,Na,cubic,4.03,4.03,4.03,90.0,90.0,90.0,13.092,,metal
Ag,Nb,rhombohedral,5.611,5.611,5.611,59.2,59.2,59.2,12.263,0.0,insulator
Ag,Nd,cubic,4.453,4.453,4.453,90.0,90.0,90.0,17.662,0.013,metal
Ag,Ni,orthorhombic,5.118,5.377,7.41,90.0,90.0,90.0,10.196,0.006,metal
Ag,Np,orthorhombic,5.694,6.003,8.356,90.0,90.0,90.0,14.282,0.4,insulator
Ag,Os,rhombohedral,5.379,5.379,5.379,61.0,61.0,61.0,11.258,0.077,metal
Ag,Pa,rhombohedral,6.043,6.043,6.043,58.2,58.2,58.2,14.960999999999999,0.0,insulator
Ag,Pb,orthorhombic,5.484,5.809,8.382,90.0,90.0,90.0,13.353,,metal
Ag,Pd,orthorhombic,5.3,5.526,7.719,90.0,90.0,90.0,11.304,,metal
Ag,Pm,cubic,4.426,4.426,4.426,90.0,90.0,90.0,17.337,-0.025,metal
Ag,Pr,orthorhombic,5.914,6.088,8.241,90.0,90.0,90.0,14.835,-0.001,metal
Ag,Pt,orthorhombic,5.39,5.527,7.702,90.0,90.0,90.0,11.472000000000001,0.185,metal
Ag,Pu,orthorhombic,5.67,5.99,8.343,90.0,90.0,90.0,14.165999999999999,0.6,insulator
Ag,Rb,cubic,4.318,4.318,4.318,90.0,90.0,90.0,16.105999999999998,,metal
Ag,Re,cubic,3.889,3.889,3.889,90.0,90.0,90.0,11.767999999999999,0.0,metal
Ag,Rh,orthorhombic,5.357,5.411,7.617,90.0,90.0,90.0,11.040999999999999,0.038,metal
Ag,Ru,rhombohedral,5.375,5.375,5.375,60.7,60.7,60.7,11.148,0.1,metal
Ag,Sb,orthorhombic,5.539,5.591,7.848,90.0,90.0,90.0,12.152000000000001,,metal
Ag,Sc,orthorhombic,5.276,5.635,7.918,90.0,90.0,90.0,11.772,0.001,metal
Ag,Si,tetragonal,3.32,3.32,4.638,90.0,90.0,90.0,10.221,,metal
Ag,Sm,cubic,4.439,4.439,4.439,90.0,90.0,90.0,17.49,0.054,metal
Ag,Sn,orthorhombic,5.392,5.661,8.03,90.0,90.0,90.0,12.255,,metal
Ag,Sr,orthorhombic,6.337,6.414,7.024,90.0,90.0,90.0,14.274000000000001,,metal
Ag,Ta,rhombohedral,5.584,5.584,5.584,59.3,59.3,59.3,12.114,0.0,insulator
Ag,Tb,cubic,4.351,4.351,4.351,90.0,90.0,90.0,16.469,-0.001,metal
Ag,Tc,rhombohedral,5.442,5.442,5.442,59.8,59.8,59.8,11.35,0.003,metal
Ag,Te,orthorhombic,5.62,5.719,8.01,90.0,90.0,90.0,12.872,,metal
Ag,Th,cubic,4.479,4.479,4.479,90.0,90.0,90.0,17.974,-0.115,metal
Ag,Ti,orthorhombic,5.41,5.418,7.512,90.0,90.0,90.0,11.01,0.006,metal
Ag,Tl,cubic,4.214,4.214,4.214,90.0,90.0,90.0,14.969000000000001,,metal
Ag,Tm,cubic,4.281,4.281,4.281,90.0,90.0,90.0,15.687000000000001,0.0,metal
Ag,U,rhombohedral,6.032,6.032,6.032,57.7,57.7,57.7,14.714,0.2,insulator
Ag,V,tetragonal,3.684,3.684,4.208,90.0,90.0,90.0,11.419,0.0,insulator
Ag,W,cubic,3.917,3.917,3.917,90.0,90.0,90.0,12.02,0.0,metal
Ag,Y,cubic,4.362,4.362,4.362,90.0,90.0,90.0,16.597,0.401,metal
Ag,Yb,orthorhombic,5.8,5.981,7.285,90.0,90.0,90.0,12.637,,metal
Ag,Zn,cubic,3.854,3.854,3.854,90.0,90.0,90.0,11.449000000000002,,metal
Ag,Zr,orthorhombic,5.398,5.783,8.052,90.0,90.0,90.0,12.568,-0.034,metal
Al,Ac,orthorhombic,5.553,5.62,9.501,90.0,90.0,90.0,14.825,0.0,insulator
Al,Ag,orthorhombic,4.913,5.222,8.588,90.0,90.0,90.0,11.015,,metal
Al,Al,cubic,3.591,3.591,3.591,90.0,90.0,90.0,9.258,,metal
Al,As,cubic,3.814,3.814,3.814,90.0,90.0,90.0,11.095,,metal
Al,Au,cubic,4.025,4.025,4.025,90.0,90.0,90.0,13.042,,metal
Al,B,cubic,3.283,3.283,3.283,90.0,90.0,90.0,7.079,,metal
Al,Ba,orthorhombic,5.405,6.293,9.019,90.0,90.0,90.0,15.338,,insulator
Al,Be,cubic,3.365,3.365,3.365,90.0,90.0,90.0,7.62,,metal
Al,Bi,orthorhombic,5.494,5.499,8.657,90.0,90.0,90.0,13.078,,insulator
Al,Ca,orthorhombic,5.18,5.611,8.364,90.0,90.0,90.0,12.155999999999999,,metal
Al,Cd,orthorhombic,5.236,5.506,8.124,90.0,90.0,90.0,11.712,,insulator
Al,Ce,orthorhombic,5.557,5.574,8.786,90.0,90.0,90.0,13.607999999999999,0.0,insulator
Al,Co,cubic,3.604,3.604,3.604,90.0,90.0,90.0,9.363,0.005,metal
Al,Cr,cubic,3.745,3.745,3.745,90.0,90.0,90.0,10.504000000000001,0.541,metal
Al,Cs,cubic,4.426,4.426,4.426,90.0,90.0,90.0,17.34,,metal
Al,Cu,cubic,3.641,3.641,3.641,90.0,90.0,90.0,9.652000000000001,,metal
Al,Dy,rhombohedral,5.993,5.993,5.993,54.1,54.1,54.1,13.125,0.0,insulator
Al,Er,orthorhombic,5.328,5.337,8.281,90.0,90.0,90.0,11.774000000000001,0.0,insulator
Al,Eu,orthorhombic,5.134,5.797,8.578,90.0,90.0,90.0,12.765,0.0,insulator
Al,Fe,cubic,3.744,3.744,3.744,90.0,90.0,90.0,10.495999999999999,0.853,metal
Al,Ga,cubic,3.74,3.74,3.74,90.0,90.0,90.0,10.465,,metal
Al,Gd,rhombohedral,6.086,6.086,6.086,53.8,53.8,53.8,13.622,0.0,insulator
Al,Ge,cubic,3.71,3.71,3.71,90.0,90.0,90.0,10.214,,metal
Al,Hf,cubic,4.056,4.056,4.056,90.0,90.0,90.0,13.345,0.0,metal
Al,Ho,rhombohedral,5.966,5.966,5.966,54.1,54.1,54.1,12.949000000000002,0.0,insulator
Al,In,orthorhombic,5.22,5.226,8.141,90.0,90.0,90.0,11.102,,insulator
Al,Ir,cubic,3.901,3.901,3.901,90.0,90.0,90.0,11.877,0.046,metal
Al,K,orthorhombic,5.624,6.743,7.464,90.0,90.0,90.0,14.152000000000001,,insulator
Al,La,orthorhombic,5.461,5.529,9.137,90.0,90.0,90.0,13.793,0.0,insulator
Al,Li,cubic,3.45,3.45,3.45,90.0,90.0,90.0,8.215,,metal
Al,Lu,rhombohedral,5.786,5.786,5.786,55.1,55.1,55.1,12.134,0.0,insulator
Al,Mg,cubic,3.732,3.732,3.732,90.0,90.0,90.0,10.399000000000001,,metal
Al,Mn,cubic,3.735,3.735,3.735,90.0,90.0,90.0,10.42,0.69,metal
Al,Mo,cubic,3.935,3.935,3.935,90.0,90.0,90.0,12.186,0.0,metal
Al,Na,orthorhombic,5.461,5.978,7.002,90.0,90.0,90.0,11.427,,insulator
Al,Nb,cubic,4.021,4.021,4.021,90.0,90.0,90.0,13.005,-0.001,metal
Al,Nd,orthorhombic,5.495,5.509,8.66,90.0,90.0,90.0,13.107999999999999,0.0,insulator
Al,Ni,cubic,3.613,3.613,3.613,90.0,90.0,90.0,9.43,0.177,metal
Al,Np,orthorhombic,5.448,5.46,9.082,90.0,90.0,90.0,13.507,0.8,insulator
Al,Os,cubic,3.896,3.896,3.896,90.0,90.0,90.0,11.825,0.0,metal
Al,Pa,cubic,4.385,4.385,4.385,90.0,90.0,90.0,16.861,0.0,insulator
Al,Pb,orthorhombic,5.467,5.475,8.47,90.0,90.0,90.0,12.675,,metal
Al,Pd,cubic,3.897,3.897,3.897,90.0,90.0,90.0,11.84,,metal
Al,Pm,orthorhombic,5.469,5.484,8.587,90.0,90.0,90.0,12.876,0.0,insulator
Al,Pr,orthorhombic,5.529,5.537,8.72,90.0,90.0,90.0,13.347000000000001,0.0,insulator
Al,Pt,cubic,3.945,3.945,3.945,90.0,90.0,90.0,12.279000000000002,0.0,metal
Al,Pu,orthorhombic,5.412,5.435,9.086,90.0,90.0,90.0,13.362,1.0,insulator
Al,Rb,cubic,4.296,4.296,4.296,90.0,90.0,90.0,15.860999999999999,,metal
Al,Re,cubic,3.912,3.912,3.912,90.0,90.0,90.0,11.970999999999998,0.0,metal
Al,Rh,cubic,3.872,3.872,3.872,90.0,90.0,90.0,11.614,0.082,metal
Al,Ru,cubic,3.87,3.87,3.87,90.0,90.0,90.0,11.595999999999998,0.212,metal
Al,Sb,cubic,4.019,4.019,4.019,90.0,90.0,90.0,12.982999999999999,,metal
Al,Sc,cubic,3.974,3.974,3.974,90.0,90.0,90.0,12.556,-0.012,metal
Al,Si,cubic,3.53,3.53,3.53,90.0,90.0,90.0,8.794,,metal
Al,Sm,orthorhombic,5.45,5.462,8.551,90.0,90.0,90.0,12.728,0.0,insulator
Al,Sn,cubic,4.006,4.006,4.006,90.0,90.0,90.0,12.859000000000002,,metal
Al,Sr,orthorhombic,5.259,5.926,8.791,90.0,90.0,90.0,13.698,,insulator
Al,Ta,cubic,4.002,4.002,4.002,90.0,90.0,90.0,12.82,0.0,metal
Al,Tb,rhombohedral,6.025,6.025,6.025,54.0,54.0,54.0,13.312000000000001,0.0,insulator
Al,Tc,cubic,3.89,3.89,3.89,90.0,90.0,90.0,11.777000000000001,0.005,metal
Al,Te,cubic,4.107,4.107,4.107,90.0,90.0,90.0,13.852,,metal
Al,Th,cubic,4.525,4.525,4.525,90.0,90.0,90.0,18.528,-0.156,metal
Al,Ti,cubic,3.841,3.841,3.841,90.0,90.0,90.0,11.337,0.0,metal
Al,Tl,orthorhombic,5.285,5.41,8.5,90.0,90.0,90.0,12.152000000000001,,insulator
Al,Tm,rhombohedral,5.828,5.828,5.828,55.1,55.1,55.1,12.404000000000002,0.0,insulator
Al,U,orthorhombic,5.72,5.961,8.125,90.0,90.0,90.0,13.853,0.567,metal
Al,V,orthorhombic,5.004,5.03,7.636,90.0,90.0,90.0,9.609,0.4,insulator
Al,W,cubic,3.941,3.941,3.941,90.0,90.0,90.0,12.242,0.0,metal
Al,Y,rhombohedral,6.003,6.003,6.003,54.1,54.1,54.1,13.18,0.0,insulator
Al,Yb,orthorhombic,5.119,5.58,8.294,90.0,90.0,90.0,11.845,,metal
Al,Zn,cubic,3.732,3.732,3.732,90.0,90.0,90.0,10.398,,metal
Al,Zr,cubic,4.115,4.115,4.115,90.0,90.0,90.0,13.936,0.0,metal
As,Ac,orthorhombic,5.879,6.527,8.653,90.0,90.0,90.0,16.601,0.0,insulator
As,Ag,cubic,3.993,3.993,3.993,90.0,90.0,90.0,12.735,,metal
As,Al,cubic,3.653,3.653,3.653,90.0,90.0,90.0,9.746,,metal
As,As,cubic,3.854,3.854,3.854,90.0,90.0,90.0,11.453,,metal
As,Au,cubic,4.041,4.041,4.041,90.0,90.0,90.0,13.197000000000001,,metal
As,B,cubic,3.377,3.377,3.377,90.0,90.0,90.0,7.706,,insulator
As,Ba,orthorhombic,5.93,6.407,9.549,90.0,90.0,90.0,18.14,,metal
As,Be,cubic,3.477,3.477,3.477,90.0,90.0,90.0,8.407,,metal
As,Bi,cubic,4.231,4.231,4.231,90.0,90.0,90.0,15.152999999999999,,metal
As,Ca,orthorhombic,5.449,5.93,8.52,90.0,90.0,90.0,13.764000000000001,,metal
As,Cd,cubic,4.081,4.081,4.081,90.0,90.0,90.0,13.588,,metal
As,Ce,cubic,4.505,4.505,4.505,90.0,90.0,90.0,18.283,0.021,metal
As,Co,cubic,3.659,3.659,3.659,90.0,90.0,90.0,9.799,-0.004,metal
As,Cr,cubic,3.792,3.792,3.792,90.0,90.0,90.0,10.907,0.591,metal
As,Cs,cubic,4.436,4.436,4.436,90.0,90.0,90.0,17.457,,metal
As,Cu,cubic,3.702,3.702,3.702,90.0,90.0,90.0,10.145,,metal
As,Dy,cubic,4.283,4.283,4.283,90.0,90.0,90.0,15.714,0.038,metal
As,Er,cubic,4.241,4.241,4.241,90.0,90.0,90.0,15.254000000000001,0.014,metal
As,Eu,orthorhombic,5.528,5.937,8.683,90.0,90.0,90.0,14.25,0.0,metal
As,Fe,cubic,3.798,3.798,3.798,90.0,90.0,90.0,10.955,0.911,metal
As,Ga,cubic,3.782,3.782,3.782,90.0,90.0,90.0,10.821,,metal
As,Gd,cubic,4.332,4.332,4.332,90.0,90.0,90.0,16.257,-0.001,metal
As,Ge,cubic,3.757,3.757,3.757,90.0,90.0,90.0,10.602,,metal
As,Hf,cubic,4.068,4.068,4.068,90.0,90.0,90.0,13.462,-0.001,metal
As,Hg,cubic,4.145,4.145,4.145,90.0,90.0,90.0,14.238,,metal
As,Ho,cubic,4.261,4.261,4.261,90.0,90.0,90.0,15.474,0.016,metal
As,In,cubic,4.09,4.09,4.09,90.0,90.0,90.0,13.685,,metal
As,Ir,cubic,3.907,3.907,3.907,90.0,90.0,90.0,11.93,-0.028,metal
As,K,orthorhombic,4.836,5.454,11.449,90.0,90.0,90.0,15.097999999999999,,insulator
As,La,cubic,4.472,4.472,4.472,90.0,90.0,90.0,17.892,-0.002,metal
As,Li,cubic,3.576,3.576,3.576,90.0,90.0,90.0,9.144,,metal
As,Lu,cubic,4.173,4.173,4.173,90.0,90.0,90.0,14.534,0.0,metal
As,Mg,cubic,3.794,3.794,3.794,90.0,90.0,90.0,10.925,,metal
As,Mn,cubic,3.787,3.787,3.787,90.0,90.0,90.0,10.859000000000002,0.734,metal
As,Mo,cubic,3.932,3.932,3.932,90.0,90.0,90.0,12.158,0.003,metal
As,Na,orthorhombic,5.116,5.131,9.824,90.0,90.0,90.0,12.895,,insulator
As,Nb,cubic,4.013,4.013,4.013,90.0,90.0,90.0,12.927,0.0,metal
As,Nd,cubic,4.45,4.45,4.45,90.0,90.0,90.0,17.618,0.015,metal
As,Ni,cubic,3.675,3.675,3.675,90.0,90.0,90.0,9.927,0.203,metal
As,Np,cubic,4.356,4.356,4.356,90.0,90.0,90.0,16.535,0.354,metal
As,Os,cubic,3.901,3.901,3.901,90.0,90.0,90.0,11.876,0.288,metal
As,Pa,cubic,4.361,4.361,4.361,90.0,90.0,90.0,16.587,0.001,metal
As,Pb,orthorhombic,5.617,6.321,8.378,90.0,90.0,90.0,14.870999999999999,,metal
As,Pd,cubic,3.924,3.924,3.924,90.0,90.0,90.0,12.088,,metal
As,Pm,cubic,4.416,4.416,4.416,90.0,90.0,90.0,17.223,0.015,metal
As,Pr,cubic,4.484,4.484,4.484,90.0,90.0,90.0,18.032,0.008,metal
As,Pt,cubic,3.956,3.956,3.956,90.0,90.0,90.0,12.386,-0.009,metal
As,Pu,cubic,4.329,4.329,4.329,90.0,90.0,90.0,16.23,0.687,metal
As,Rb,orthorhombic,4.944,5.705,11.859,90.0,90.0,90.0,16.722,,insulator
As,Re,cubic,3.906,3.906,3.906,90.0,90.0,90.0,11.923,0.05,metal
As,Rh,cubic,3.887,3.887,3.887,90.0,90.0,90.0,11.747,0.001,metal
As,Ru,cubic,3.885,3.885,3.885,90.0,90.0,90.0,11.724,0.248,metal
As,Sb,cubic,4.031,4.031,4.031,90.0,90.0,90.0,13.103,,metal
As,Sc,cubic,3.996,3.996,3.996,90.0,90.0,90.0,12.761,0.0,metal
As,Si,cubic,3.585,3.585,3.585,90.0,90.0,90.0,9.218,,metal
As,Sm,cubic,4.394,4.394,4.394,90.0,90.0,90.0,16.964000000000002,0.092,metal
As,Sn,cubic,4.021,4.021,4.021,90.0,90.0,90.0,13.003,,metal
As,Sr,rhombohedral,6.254,6.254,6.254,57.7,57.7,57.7,16.381,,metal
As,Ta,cubic,3.992,3.992,3.992,90.0,90.0,90.0,12.720999999999998,0.0,metal
As,Tb,cubic,4.307,4.307,4.307,90.0,90.0,90.0,15.982000000000001,0.046,metal
As,Tc,cubic,3.902,3.902,3.902,90.0,90.0,90.0,11.880999999999998,0.361,metal
As,Te,cubic,4.129,4.129,4.129,90.0,90.0,90.0,14.078,,metal
As,Th,cubic,4.539,4.539,4.539,90.0,90.0,90.0,18.699,0.003,metal
As,Ti,cubic,3.865,3.865,3.865,90.0,90.0,90.0,11.550999999999998,0.001,metal
As,Tl,cubic,4.195,4.195,4.195,90.0,90.0,90.0,14.762,,metal
As,Tm,cubic,4.213,4.213,4.213,90.0,90.0,90.0,14.96,0.01,metal
As,U,cubic,4.318,4.318,4.318,90.0,90.0,90.0,16.096,0.04,metal
As,V,cubic,3.805,3.805,3.805,90.0,90.0,90.0,11.019,-0.004,metal
As,W,cubic,3.935,3.935,3.935,90.0,90.0,90.0,12.189,0.0,metal
As,Y,cubic,4.289,4.289,4.289,90.0,90.0,90.0,15.785,0.015,metal
As,Yb,orthorhombic,5.405,5.88,8.406,90.0,90.0,90.0,13.359000000000002,,metal
As,Zn,cubic,3.786,3.786,3.786,90.0,90.0,90.0,10.853,,metal
As,Zr,cubic,4.124,4.124,4.124,90.0,90.0,90.0,14.030999999999999,-0.004,metal
Au,Ac,orthorhombic,6.075,6.367,8.495,90.0,90.0,90.0,16.429000000000002,0.0,metal
Au,Ag,cubic,4.018,4.018,4.018,90.0,90.0,90.0,12.974,,metal
Au,Al,cubic,3.716,3.716,3.716,90.0,90.0,90.0,10.264000000000001,,metal
Au,As,cubic,3.803,3.803,3.803,90.0,90.0,90.0,11.002,,metal
Au,Au,cubic,4.05,4.05,4.05,90.0,90.0,90.0,13.29,,metal
