epsilon_x opt,epsilon_y opt,epsilon_z opt,e_form,exfoliation_en,band_gap_eV
2.75,2.75,2.4768,-1.949,34.444000000000585,1.9126
11.7614,11.7614,3.4192,0.042,250.88752222222243,0.039
5.0528,5.0528,2.8787,-0.066,78.65685000000022,0.8731
8.4863,8.3397,2.7738,-1.167,96.06600000000043,0.0206
4.038,3.1097,1.7546,0.003,591.187555555556,0.0583
7.0736,7.0736,2.5776,0.003,83.18559999999997,0.1046
10.225,10.225,7.689,-0.126,72.30686000000031,0.8452
8.9223,8.9224,3.9814,-1.268,52.27920000000008,0.1908
1.4975,1.5025,1.4949,-2.952,25.86000000000066,4.4611
3.8932,3.6958,2.6676,-0.002,82.05915000000007,1.2996
2.2525,2.2313,2.0969,-1.103,85.35976666666667,3.052
1.7987,1.7974,1.7353,-1.887,77.13100000000006,4.0673
2.2976,2.2976,2.0613,-2.793,50.7610000000005,3.8469
2.0476,2.0476,2.0278,-3.085,37.42599999999996,3.8191
1.7543,1.6606,1.6774,-3.209,40.42100000000026,5.3471
10.4576,11.6978,2.5999,-0.236,57.605099999999965,0.0419
6.2952,15.1685,1.7209,-0.772,70.15683333333334,0.0076
1.9433,1.9433,1.5808,0.875,571.6572,0.0202
50.1586,50.1586,13.0956,-0.385,60.31066666666707,0.0022
2.8042,3.1111,2.0849,0.027,132.96399999999986,1.3176
21.4301,21.4295,7.5446,-0.905,57.524499999999975,0.0228
20.7942,20.7942,1.8304,-0.788,76.94366666666718,0.6285
41.8338,41.8338,1.6394,1.068,582.8843499999998,0.0102
4.5899,4.2193,3.3406,0.026,78.52966666666683,1.4016
18.2885,18.2885,1.5135,1.054,493.944575,0.0146
32.8228,32.8228,3.5178,-0.214,102.65783333333277,0.0226
4.4588,4.4588,2.9468,-0.33,88.0183333333342,0.1599
1.4844,1.4844,1.3283,-1.515,76.45199999999974,1.2173
1.6624,1.6624,1.5547,-3.316,75.81966666666685,2.1852
2.4576,1.6944,3.7779,-0.394,847.9855600000002,0.0295
1.9659,1.9659,1.8695,-0.809,75.23144333333335,3.2479
1.9637,1.9637,1.8673,-0.809,75.79157833333333,3.2484
2.6076,3.5072,2.1424,-0.362,87.60257500000002,1.8951
6.6092,4.8701,3.6802,-0.986,58.53462500000006,0.0343
3.8502,5.7582,2.4643,0.112,111.75575000000038,0.848
1.6062,1.6421,1.8002,-2.441,245.36814285714303,3.1074
9.5614,9.548,6.5749,-0.348,205.3895333333333,0.0862
3.3229,3.3229,2.873,-1.868,221.50642857142878,0.5558
20.043,19.9643,1.6518,0.092,464.3363333333328,0.217
1.3958,1.5323,1.4489,-0.025,136.5129999999999,1.2378
20.7524,20.7524,11.4611,-1.063,1604.0382857142856,0.0146
7.7061,7.7061,5.5238,-0.187,45.929449999999925,0.5378
4.5306,4.0661,2.5351,-0.414,128.90484999999984,1.5751
18.048,18.0481,9.8581,0.064,71.7171999999997,0.7472
3.5037,3.4592,2.8305,-1.269,55.688124999999644,1.2087
8.5711,8.5711,3.2334,-0.219,67.29823333333363,0.0314
1.7275,1.7275,1.4979,-1.515,87.45933333333333,2.6399
3.1074,2.9098,2.2396,0.411,80.67774999999955,2.066
3.0904,3.2046,2.5351,-0.343,151.9247374999999,1.7152
1.8669,2.3424,2.1576,-0.135,96.57843333333327,1.8769
1.9548,1.9548,1.3693,-0.06,181.19376749999998,1.1631
15.9257,9.7674,2.5249,-0.79,98.21425000000028,0.0014
1.8243,1.7752,1.6901,-2.294,82.25175000000019,3.909
6.1641,6.1641,2.1024,-2.068,46.23842857142879,0.1054
6.0043,6.0043,2.7848,-1.065,66.8578000000002,0.0401
23.9401,23.9401,5.1268,-1.457,54.805749999999875,0.1019
2.1077,2.4487,2.2553,-0.216,65.8954444444444,1.7775
1.7131,1.4047,1.3032,0.481,135.73166666666657,2.1703
1.0614,1.5029,1.0595,0.085,213.55706666666663,3.0112
1.4774,1.4774,1.5246,-2.122,33.91985714285717,2.5227
11.753,11.753,2.0695,-0.793,65.11159999999938,0.0202
4.0623,4.0623,3.1133,-0.399,105.22520000000002,1.6457
10.6175,9.8764,2.9373,-1.163,92.57233333333392,0.0073
3.6058,3.7816,3.574,-2.02,35.45787500000053,0.8725
2.8799,2.68,2.8109,-0.936,95.85414999999963,1.4611
4.4979,4.2377,2.5781,-0.602,78.16296666666656,1.1372
2.0135,2.0135,1.9591,-3.285,35.057333333333496,4.4197
1.8814,1.946,1.7076,-1.938,177.25290000000004,1.8057
2.9643,2.9643,2.7842,-1.859,45.27199999999976,2.6789
3.0317,3.0317,2.5824,-1.03,92.92850000000018,0.0801
23.1684,23.1684,3.1431,-0.735,101.17833333333337,0.2159
4.4362,4.4362,2.6392,-0.272,107.57923333333297,1.3617
13.4135,13.4135,2.8226,-0.708,96.41066666666643,0.1358
2.506,2.506,2.1034,-0.357,83.2788666666664,1.5529
3.0626,3.0626,2.1336,-1.597,88.91933333333313,1.2421
36.9276,36.9276,12.7798,-1.009,946.4379999999996,0.0257
24.3189,24.3243,8.014,-0.974,57.25087499999981,0.0078
19.9716,17.0957,7.7809,-1.166,57.90412499999942,0.0045
1.5034,1.5034,1.3822,-1.024,499.20775000000003,2.8797
3.3766,3.3766,2.3639,-0.444,75.37180000000009,1.6513
3.0587,3.0587,2.2796,-0.466,77.70775000000008,1.7672
3.0804,3.0804,2.2865,-0.466,77.55054999999977,1.7897
2.5031,2.4949,1.3904,-0.171,145.06616666666704,1.2821
3.1788,3.1788,2.7779,-0.73,88.52200000000022,0.1714
2.0913,2.0215,1.8538,-0.044,104.64121428571448,1.5652
1.7864,1.5633,1.5683,-0.585,85.9906666666661,1.1565
4.0103,4.0103,2.4969,-0.591,80.23699999999945,1.446
5.5521,4.3898,3.3716,-1.045,58.4134999999999,0.0245
5.7596,5.7595,2.4789,-1.039,91.88233333333429,0.0988
17.3175,8.5861,3.4413,-0.242,100.42208333333357,0.0086
3.7758,3.7758,2.4454,-0.465,79.63433333333381,1.3336
4.1888,4.0435,3.2034,0.014,71.43224999999953,1.808
2.6571,2.6571,2.4519,-0.523,58.41826250000004,1.8729
3.1692,3.1692,2.8549,-1.059,87.15466666666671,0.0823
14.3415,14.3415,2.5696,-0.202,85.56324999999987,0.0238
17.1627,17.1627,8.5067,-0.41,47.49999999999987,0.0166
4.0399,4.0399,2.3786,-1.306,95.44433333333302,0.0488
1.8661,1.8661,1.6412,-1.328,100.68399999999977,3.1315
6.3444,6.3444,2.4654,-1.331,89.71833333333291,0.0895
8.9585,8.9585,2.6799,-1.068,94.48466666666721,0.0189
3.5074,3.5074,2.7815,-0.764,98.26599999999974,0.0582
3.7882,3.7882,2.4359,-0.819,76.27233333333282,1.3372
9.8961,6.742,2.9383,0.012,84.89891666666605,0.0101
2.4201,2.4201,2.2718,-0.571,87.35653333333332,2.639
2.4801,2.4801,2.3253,-0.571,88.93356666666669,2.6386
2.0734,2.0734,2.0089,-0.18,75.37302749999999,1.6657
2.992,2.6208,2.4507,-0.382,124.3515833333333,1.5463
3.1629,3.1887,2.661,-0.101,236.6321,1.189
3.028,2.7434,1.9502,-0.218,217.4879166666668,1.8501
1.2537,1.2537,1.141,-0.844,108.17792500000012,4.7605
2.2668,2.2668,2.2133,-0.125,109.31456666666672,1.7517
15.7542,15.7542,2.4458,-0.615,72.34425,1.0017
1.8968,1.8968,1.8,-1.044,82.05643333333335,3.7951
1.4259,1.4259,1.3952,-1.918,63.48626666666668,3.62
1.3481,1.3481,1.1773,-0.356,125.35922499999997,3.8083
4.5903,4.5903,1.9078,-0.674,67.41090000000005,0.0673
1.4079,1.3142,1.4062,-0.57,96.06956250000009,1.968
4.3704,2.9739,2.2565,-0.707,111.2315625,0.0198
1.574,1.7284,1.6907,-0.619,77.782625,1.3892
2.743,2.743,2.4556,-0.249,97.59346249999994,2.2019
1.5216,1.5295,1.4629,-1.035,100.0521875,1.0686
4.5654,2.604,2.0852,-0.218,99.68656249999985,0.0914
11.7465,3.3732,1.939,-0.471,95.03100000000009,0.2715
1.8074,2.0191,1.9252,-0.342,89.14668749999998,2.5402
2.7183,2.5887,2.2831,-0.501,110.96958333333306,1.2819
1.2086,1.212,1.1953,0.038,39.65485000000024,4.0426
2.9579,3.098,1.5917,-0.092,166.23558333333355,1.4367
8.2532,6.4712,3.8177,-0.395,337.876975,0.0081
2.8088,2.8088,2.6863,-0.65,56.22477500000001,2.4492
19.908,19.908,3.6436,-0.041,172.01489999999998,0.0037
1.6016,1.4416,1.5735,-0.237,109.67060000000006,3.332
8.3811,8.3811,4.0723,-1.307,52.18724999999935,0.0491
1.9172,1.682,1.6837,-0.537,83.9889166666663,2.5522
17.864,17.864,3.369,0.187,92.34013333333336,0.0326
6.328,5.0787,2.8411,-0.066,101.53795833333324,0.8813
7.38,6.2439,3.0393,0.055,106.9255583333334,0.9226
1.9865,1.8639,1.612,0.28,101.22328571428608,1.5079
17.5872,17.5872,2.1104,-0.725,79.07762500000004,1.1182
6.2303,5.8115,3.3086,-1.222,44.69833333333284,0.1883
2.0303,2.0298,1.8955,-0.853,105.43426666666677,2.918
4.173,3.9964,2.8226,-0.2,138.26554999999985,1.0518
18.2649,18.2649,1.8527,-1.22,73.31599999999972,0.0212
3.6493,3.6493,2.3041,-0.885,76.99066666666621,1.6582
2.2345,2.2345,1.766,-1.353,72.04162500000022,0.7342
2.3138,2.3138,2.1422,-0.497,84.25661666666662,1.4251
2.9838,2.9838,2.831,-2.107,40.86980000000029,0.0212
3.1999,3.1808,2.8839,-0.471,60.997035714285715,1.9944
5.6164,6.2209,3.4768,-0.255,107.82236111111088,0.7358
3.2441,3.2441,2.2126,-1.256,98.5984000000002,0.0655
9.645,12.6924,3.5012,-0.351,94.8680499999992,0.646
21.6771,21.7616,2.3395,-0.536,54.97749999999968,0.0538
14.9804,14.9804,5.4343,-0.511,78.33959999999962,0.0527
12.7695,12.7695,3.1054,-0.012,74.87250000000012,0.0754
2.6877,2.7443,2.4967,-0.261,95.51380555555555,1.579
2.2721,2.3511,2.1647,-0.514,89.92136666666661,1.538
1.6857,1.656,1.6437,-1.805,71.62399999999991,4.1065
3.0918,2.9784,2.5738,-0.405,81.66932500000001,1.8702
4.1222,4.1222,2.5598,-0.467,97.52918181818204,0.0259
20.6825,20.6825,7.1628,-0.081,423.69233333333335,0.0356
14.1437,14.1437,2.1731,-0.209,75.46296666666663,0.0632
1.8908,1.8908,1.8803,-1.314,42.202800000000536,2.9165
1.3209,1.3323,1.3442,-0.259,131.39466666666655,1.5843
1.7056,1.6658,1.6534,-0.558,120.51408749999992,2.8935
2.9594,2.9594,2.1665,-0.553,71.89859999999993,2.0904
3.3582,3.3581,2.2357,-0.892,87.80081818181796,0.8812
4.1138,4.1138,2.6098,-0.19,81.93260000000002,1.522
4.9039,4.928,2.7569,-0.278,83.18912500000009,1.079
2.4,2.4111,1.9646,-0.261,178.34704166666683,0.9448
4.2139,2.9388,2.4372,-1.392,67.6610000000002,0.0455
8.0892,8.0892,2.7578,-0.735,108.003333333333,0.0715
25.374,25.3741,3.0014,-0.054,87.05149999999983,0.7299
5.9761,5.9761,2.951,-0.227,144.3219,0.6903
2.7389,2.7389,1.1812,0.069,70.35500000000106,0.531
3.5382,3.5382,3.0712,-0.73,91.52983333333341,0.1711
4.8427,4.7711,3.0993,-0.305,75.10066666666759,1.2467
6.7004,6.5048,2.6763,-1.331,89.56933333333339,0.1123
13.6809,16.6955,2.3689,-0.61,89.42516666666745,0.0007
10.7282,10.7282,2.193,-0.088,130.8497499999999,0.0306
27.4388,27.4388,5.2547,-0.887,51.92439999999987,0.0032
4.8756,4.8756,2.8048,-0.15,90.98100000000065,1.2289
14.6727,14.6727,2.6752,-0.225,75.92125000000038,0.0824
2.0268,2.0218,1.8876,-0.045,117.8366875000001,1.8198
2.2861,2.2861,1.5399,-0.501,84.50833333333341,1.7882
14.6229,14.1734,3.081,-0.164,74.69649999999994,0.434
3.2138,3.2138,2.4303,-0.241,93.47436666666687,0.7311
10.019,10.0189,2.8174,-0.626,83.77800000000013,0.0512
2.6087,2.3833,2.1733,-0.941,66.6280833333337,1.5861
4.2953,4.2953,2.5921,-0.109,74.43899999999992,0.9034
5.4761,5.4761,3.1691,-0.259,124.91824999999967,1.1351
3.9604,3.9604,2.1246,-0.761,57.782666666666316,1.2526
4.4787,4.4636,2.581,-0.365,79.8146666666666,1.2421
22.5458,22.5548,7.6101,-0.963,57.274125000000176,0.013
9.7299,7.5676,2.9638,-0.142,86.87049999999985,0.0045
5.5816,5.5816,3.2827,-0.591,79.55033333333273,1.4464
4.6316,4.6316,3.5822,-0.764,94.055,0.0579
3.6128,3.6128,2.3109,-0.32,95.49350000000034,1.2587
31.8216,31.8216,4.7603,-0.961,49.968400000000024,0.0389
10.3296,10.3296,3.2869,-0.11,202.3921666666668,0.0338
7.9236,7.9236,2.97,-1.39,199.7194999999996,0.0087
2.2984,2.2984,1.5444,-0.5,79.79266666666662,1.788
3.3558,3.3558,2.9224,-0.73,90.69241666666716,0.1705
1.6183,1.6183,1.2833,-1.314,58.90449999999969,4.4818
1.8117,1.8117,1.3514,-0.072,499.8254499999999,2.2686
2.8793,2.8793,2.2677,-0.649,69.55804999999992,2.0123
5.7129,5.7129,3.0988,-0.267,138.2427500000001,1.1186
3.48,3.48,2.4617,-0.38,106.04866666666668,1.6483
31.667,18.779,9.151,-0.901,69.04037500000015,0.0015
3.1173,3.1173,3.2265,-1.013,35.4192857142861,1.4105
5.0469,4.833,3.1812,-0.631,74.42458333333323,1.2587
11.2393,11.2393,2.8215,-0.879,86.27500000000055,0.1274
1.3978,1.3978,1.1718,-1.314,71.33599999999961,4.3585
2.8354,2.8354,2.0627,-1.618,86.83066666666583,1.3456
3.6258,3.6258,2.2692,-1.291,92.04866666666601,0.6935
3.5302,3.3657,2.8593,-1.302,55.48950000000019,1.2371
3.0519,4.4231,2.0532,0.112,111.62375000000013,0.8485
10.2299,8.0607,3.0945,-0.142,86.84158333333336,0.0018
2.607,2.607,2.6362,0.066,88.80982350000001,1.7468
5.9565,5.9565,2.1856,-0.362,74.28426666666654,0.017
1.5552,1.5552,2.4098,-0.653,585.9625475,2.6514
2.0592,2.2026,1.9093,-2.233,65.07816666666687,3.0363
1.9964,1.9964,2.1998,-1.274,94.14066666666665,0.9843
5.4413,3.375,3.5548,-0.258,98.01757142857159,1.3698
2.5417,2.542,3.057,-0.333,250.7536749999999,0.0674
1.6998,1.6998,1.6284,-2.131,69.31274999999992,3.7843
4.9311,3.6826,2.6033,-1.457,41.27266666666696,0.2911
1.3191,1.3191,1.6112,-3.293,47.729799999999045,2.396
1.9559,1.9297,1.7426,-1.142,221.35380000000015,1.6031
2.1357,2.9233,2.1698,0.046,96.31970000000013,1.7396
18.9654,22.258,5.3887,-1.878,39.039999999999964,0.0107
2.402,2.4099,1.9691,-0.214,81.28793749999997,1.7969
2.7371,2.737,2.1573,-0.369,80.67312500000013,1.4866
2.6541,3.5432,2.119,0.093,165.89932500000003,1.2922
1.6219,1.6219,1.5723,-1.524,71.92963333333324,4.6465
4.4356,3.5097,2.3621,-1.625,39.39566666666661,0.2527
2.1913,1.5915,1.8223,-0.669,73.84700000000022,0.0153
3.3404,3.3404,2.5341,-0.501,104.20819999999998,1.8173
2.4156,2.4156,2.051,-1.327,71.04700000000008,2.8983
2.0506,2.0029,1.8668,-1.895,90.03875000000016,1.6259
9.2043,9.2043,1.9696,-0.684,74.12623333333323,0.5181
1.2538,1.2538,1.3759,-1.805,102.40815999999997,2.5125
22.6123,22.6096,2.4239,-0.299,73.5888,0.034
17.1969,17.1957,2.0934,-0.558,66.0324333333333,1.328
3.8961,3.8961,1.9622,-1.693,69.38333333333358,1.1973
11.3838,11.3838,7.6275,-0.126,71.80289999999978,0.2112
3.4853,3.6274,2.369,-0.435,93.94533333333355,1.2309
3.5535,2.9912,2.7444,-1.499,45.263000000000275,1.425
3.7949,3.7949,3.4559,-0.565,110.65419999999997,0.7654
3.7837,3.7837,2.7694,-1.642,40.47860000000014,0.9156
4.2999,5.9427,3.5324,-1.042,54.492749999999646,0.135
10.8395,10.8395,1.7327,-0.471,86.92111111111123,2.5423
2.3743,2.3743,2.1391,-2.057,72.05383333333248,1.6517
2.0253,2.0274,1.7166,-0.439,73.51425000000012,2.0986
3.0658,1.7163,1.8445,-0.369,255.47814999999986,1.2272
2.2968,2.2968,2.0286,-2.871,47.13916666666762,3.5461
1.7848,1.7848,1.7168,-1.636,82.42210000000006,3.8346
2.0778,1.6682,1.6788,-0.229,82.40150000000001,1.5645
1.7275,1.7275,1.6538,-0.809,76.00554166666666,3.2483
2.0446,2.0446,1.8582,-3.024,56.607833333333524,4.7704
1.7462,1.7043,1.6228,-2.288,81.39600000000024,3.9305
2.081,2.1673,2.0021,-1.015,110.68334999999996,1.5242
2.4056,2.4056,2.172,-2.184,122.62650000000086,2.8402
8.6261,8.6261,6.4205,-0.241,70.52873999999964,0.9087
15.0613,15.0613,2.1032,-0.5,67.44563333333353,0.3612
2.1494,2.1494,1.8088,-1.834,92.21549999999978,3.5921
2.7344,2.7344,2.5008,-0.365,96.21426249999998,2.5477
1.9072,1.8732,1.7476,-1.882,87.72100000000016,3.0413
2.5339,2.5201,2.3039,-1.66,62.06466666666621,2.0591
3.1234,3.898,2.5825,-0.866,139.05244444444432,0.0049
2.078,2.078,2.2395,-1.212,100.08483333333307,1.1428
2.7125,2.7125,2.4164,-1.875,54.00283333333267,2.8828
2.4767,2.4767,4.2158,-0.389,107.36085714285714,0.2888
2.179,2.2351,2.0186,-2.055,61.175999999999675,2.9183
1.3026,1.3026,1.3386,-1.922,216.90200000000016,2.9641
2.1303,2.1759,1.983,-2.048,58.96249999999981,3.0196
10.0634,10.0634,2.3645,-0.302,82.28673333333325,0.5088
3.3463,3.3463,2.7398,-1.025,52.16733333333323,1.3306
1.8978,1.8978,1.7495,-2.97,83.85783333333308,4.3797
1.372,1.372,1.3424,-1.812,274.2939999999998,2.4189
1.5284,1.5578,1.4095,-1.341,165.4331250000003,2.4041
1.6906,1.581,1.2924,-0.492,354.16726666666665,2.0451
1.552,1.5521,1.5101,-2.295,68.89062499999987,4.9693
3.4267,3.4267,2.8894,-0.099,96.39201250000006,2.1813
1.8968,1.8968,1.8207,-1.421,50.29416666666631,4.2094
1.7145,1.6526,1.3019,-0.439,345.21335,1.8239
2.7728,2.7728,2.332,-1.201,56.424166666666494,2.5403
2.125,2.125,2.0212,-1.183,48.827666666666715,2.2289
1.2992,1.2992,1.3412,-1.789,58.65580000000037,3.1522
1.6201,1.6201,1.3013,0.13,154.5422999999999,2.6805
1.856,1.856,1.7112,-2.973,55.35333333333359,4.4114
18.0675,18.0675,1.6737,-1.132,71.72643333333362,0.7098
1.8477,1.8477,1.7736,-1.451,82.79700000000022,4.2913
1.7847,1.6869,1.3087,-0.438,338.35114999999996,1.8952
1.772,1.5999,1.2912,-0.496,343.8386166666665,2.0211
1.8909,1.745,1.8211,-1.416,40.03583333333349,2.7053
2.1703,1.8735,2.0594,-1.285,41.808666666666824,2.3862
25.1829,33.197,6.9753,-1.632,38.93449999999987,0.0023
7.5433,7.5433,5.5548,-0.254,67.68289999999988,0.9661
2.4336,2.2882,2.2135,-1.84,55.68366666666691,2.7731
2.0081,2.0081,1.9186,-1.235,57.392166666666796,2.3324
20.8426,30.1978,6.7057,-1.692,41.33616666666651,0.011
9.2095,9.2095,1.7796,-0.994,67.52083333333347,0.5854
4.0629,4.0629,3.1972,-0.265,103.58033333333327,1.6173
1.7606,1.7606,1.3524,0.147,184.59919999999997,1.8789
3.2833,3.2833,3.3827,-0.438,68.03015,1.4688
2.2827,2.2827,2.0538,-2.777,51.832499999999726,3.8624
3.9369,3.9369,2.8629,-0.623,101.4872,0.3252
3.4146,3.507,2.4545,-0.227,132.33492499999988,1.7433
1.6136,1.6136,1.5511,-1.045,70.6344166666667,3.8931
6.6886,6.6885,5.4361,-0.337,66.81390000000009,0.9604
13.2539,13.2539,8.5321,-0.053,78.13309999999984,0.1167
3.9859,3.9859,2.2577,0.151,150.5481500000001,1.6152
7.0672,7.0679,2.7214,0.266,265.60800000000006,0.3004
22.4861,6.9219,4.1274,0.275,250.49414999999996,0.0106
10.7261,5.4081,3.2038,0.313,147.1578499999999,0.001
25.3063,23.6401,2.9069,-0.334,88.24750000000003,0.0197
2.3807,2.4593,2.2999,-0.707,388.51445,0.1181
2.6472,2.6472,2.907,-0.241,83.76100000000042,1.8107
1.2984,1.3381,1.158,-2.025,247.88759999999942,2.5544
1.6323,1.5567,1.519,-1.878,105.46341666666592,4.4647
3.2399,3.2399,2.5206,-0.271,93.97281818181824,1.2586
37.7739,37.7739,25.079,-0.073,33.696250000000205,0.012
1.6215,1.8847,1.592,-1.235,93.93691666666726,3.6306
5.5257,4.5614,4.6036,-1.381,67.01307142857127,0.0432
3.2233,3.4722,2.2119,-1.821,93.65428571428546,0.4879
1.4532,1.4532,1.3922,-2.18,48.15290909091008,4.3968
33.0657,33.0657,12.248,-2.317,40.11516666666726,0.0845
3.9383,3.9384,3.2894,-1.03,1.9179999999998643,0.0796
20.2096,20.2096,7.6286,-1.275,75.83866666666682,0.0109
16.2384,16.2384,3.6577,0.075,309.61220000000003,0.0033
16.7099,16.7099,7.7589,-0.878,58.84739999999944,0.0521
13.2355,13.2355,2.9772,-0.25,124.49233333333298,0.0872
15.0908,15.0908,2.9741,-0.334,50.56466666666637,0.1063
2.763,2.7631,1.6945,-0.63,1131.4849999999997,0.064
14.5644,14.5644,4.9353,-0.375,86.28416666666672,0.0775
16.9888,16.9888,6.6734,-1.717,430.04450000000014,0.0098
9.8757,9.8757,1.902,-1.59,73.29350000000012,0.0812
28.0743,28.0743,2.1054,-1.22,55.293999999999954,0.0596
10.8853,13.1372,2.6944,-0.081,188.72268749999998,0.0677
21.3342,21.3342,8.1734,-1.39,51.42549999999879,0.0136
15.7622,15.7622,2.184,-0.925,67.14799999999954,1.4098
28.5538,28.5538,8.7533,0.05,369.7796666666666,0.0443
27.1645,27.1645,9.1479,0.016,411.2939999999998,0.014
25.6433,25.7886,4.7281,0.253,316.5806000000001,0.0208
4.7929,4.7929,2.9701,-1.814,62.388999999999584,0.0558
2.8558,2.4994,2.1929,-1.596,52.168500000000066,2.3902
3.0507,2.857,2.5831,0.007,133.72933333333347,1.1749
1.7732,2.1126,1.1898,-0.591,248.56331500000002,1.9029
2.4526,2.4326,1.2806,-0.101,254.93566874999996,1.8307
1.6967,2.1331,2.0777,0.303,173.32328333333348,1.6721
1.3038,1.3038,1.405,-1.61,48.543250000000036,3.4518
2.7287,2.5043,2.3901,-1.826,45.2827857142859,1.2161
2.2965,3.4877,2.542,-0.08,102.77783333333358,1.4606
1.8273,1.8273,1.8719,-2.526,18.41123076923079,2.4199
1.7283,1.7283,1.7755,-2.439,26.385818181817733,1.6244
1.6094,1.6094,1.6596,-2.316,29.345277777777845,2.3102
1.1245,1.4176,1.1211,0.477,110.7191666666667,5.3933
13.0098,7.1195,3.1152,-0.601,88.29988888888884,0.0822
8.1894,18.8789,5.1232,0.179,278.156136363636,0.0389
3.8685,3.1683,2.6574,-0.529,100.06896428571422,1.1703
3.7931,3.7931,2.229,-0.89,85.96054545454513,0.7666
3.7639,3.6103,2.9768,-0.083,65.8967499999994,1.9877
9.9977,9.9977,4.2859,-1.001,55.33700000000019,0.0236
34.5959,34.5959,4.0745,-1.401,57.030909090909354,0.0168
1.5384,1.531,1.516,-1.847,54.98695454545466,2.8282
3.4508,3.4506,2.2056,-0.468,187.53632500000018,1.8141
1.6205,1.4969,1.5746,-2.514,36.37266666666594,5.8253
29.7132,29.7132,7.7405,0.911,515.5750000000002,0.0583
1.5592,1.5592,1.369,-1.254,755.6555750000002,1.9731
1.5459,1.5468,1.5023,-1.534,66.66856249999987,5.653
22.71,46.2157,3.4981,-0.226,96.13792857142877,0.0029
1.1755,1.1834,1.1216,-0.232,159.07466666666716,4.0861
