n_sites,space_group,volume,band_gap,ferroelectric
8,225,170.41869507,2.72,no
8,176,258.099709313,2.92,no
8,41,289.97615096,1.51,no
8,12,199.90278133099997,5.26,no
9,180,112.862410931,8.09,yes
10,9,262.14516454200003,1.04,no
12,205,121.826762067,2.13,no
8,198,88.1333635115,0.18,no
12,182,195.322942348,5.44,yes
12,205,180.920258114,0.67,no
12,205,195.384509852,6.63,no
8,167,92.3102200416,7.6,no
8,36,141.375171434,2.16,no
12,14,185.00605272400003,2.69,no
12,62,128.018071886,1.0,no
8,167,109.79889208899999,3.11,no
8,40,140.216301774,4.44,no
8,12,230.826920243,1.26,no
10,167,103.163277499,2.44,no
20,14,285.58425606,6.56,no
14,11,237.796669685,3.82,no
14,194,178.37507088400002,0.66,yes
16,204,378.679899767,0.17,no
14,166,122.945302921,2.48,no
14,166,130.68186168,2.65,no
14,176,148.648834285,4.25,no
14,141,165.455008275,0.69,no
14,59,197.794363967,2.16,no
16,62,233.041239857,4.68,no
14,166,103.448871661,1.85,no
20,14,363.328413265,4.03,yes
16,33,286.027405125,5.36,no
15,152,147.972053829,6.3,no
12,205,190.583786142,1.02,no
12,62,333.73524074,3.79,no
12,33,181.16394285400003,5.66,no
12,189,275.730756016,0.87,no
16,19,349.26599227400004,0.87,no
12,92,232.28838992299998,3.25,no
12,14,147.11041008,3.47,no
16,62,216.374883843,1.26,yes
16,63,208.844022617,1.21,no
20,15,292.018393443,0.8,no
12,9,192.255006826,5.5,yes
12,61,264.89258142299997,0.6,no
12,189,431.41702212800004,1.56,no
12,189,290.887168298,0.34,no
16,62,501.037566365,3.35,no
16,59,565.372383718,0.69,yes
12,189,489.339770166,0.91,no
16,19,582.085308971,3.99,no
8,194,224.03771484900003,1.24,yes
12,19,231.678387885,3.26,no
10,13,330.524991442,4.16,no
6,186,158.089253408,1.49,no
5,217,90.6071718993,5.5,no
8,62,146.066700016,1.19,no
7,229,143.12250988,4.25,yes
8,11,162.684988962,0.23,no
20,156,405.16539836199996,2.02,no
12,189,590.136084712,0.43,no
20,19,341.15010704,4.02,no
12,205,216.91832636,0.31,no
16,62,590.6372740019999,4.03,no
4,166,99.65898975709999,1.86,no
12,61,295.75758575,0.51,no
8,173,406.95252498300005,2.27,yes
16,19,461.753899157,1.03,no
12,19,214.791609392,4.06,no
12,189,527.6803915219999,0.2,no
12,11,245.50007326,0.13,no
8,186,162.057441069,2.05,no
8,167,99.2059554589,4.71,no
4,221,67.3987702254,6.07,no
3,164,91.82753503219999,4.47,no
5,65,137.838276752,0.51,no
12,2,272.82336045200003,1.14,no
2,225,74.7411258288,1.95,no
3,225,81.31547494770001,1.32,no
6,72,243.256984517,4.07,no
6,136,207.75634867099998,4.45,yes
4,186,138.26181167299998,2.36,no
2,225,62.626446859,2.23,no
8,194,198.511437489,1.88,yes
8,57,194.57888435099997,3.2,no
20,156,209.90929789,2.01,no
16,2,327.398254197,0.4,no
14,160,146.960668927,1.85,no
20,19,344.649538152,4.14,no
12,186,243.037074537,2.04,no
10,9,227.72676702599998,1.7,no
10,36,284.988153443,1.29,no
12,62,332.05295411099996,0.29,no
16,227,287.876780371,2.68,no
16,62,576.387265231,3.74,no
20,62,597.341134374,0.76,yes
12,62,391.78350822699997,2.87,yes
20,227,398.766445056,4.01,no
20,92,482.42039062099997,0.81,no
12,33,338.43170967099996,4.04,no
12,59,423.565823707,1.44,yes
20,186,405.04603214599996,2.03,no
20,60,321.405483849,0.19,no
6,166,240.292057403,2.37,yes
16,19,525.035281089,0.67,no
10,160,202.53006091700001,2.04,no
8,176,278.214474594,4.71,yes
8,58,205.081573995,1.35,no
12,60,144.529320169,3.56,no
2,225,76.0067008889,1.76,no
2,216,34.8236819391,2.67,no
2,216,45.505516444499996,2.02,no
6,152,109.44162425,1.31,no
3,164,83.8287930779,0.33,no
3,225,133.956580025,1.8,no
8,12,202.982679409,0.57,no
6,72,203.45737488,5.18,no
2,221,74.1955325029,0.37,no
4,129,93.2769041048,2.99,no
8,186,83.96315911399999,2.22,no
6,58,75.516858117,0.81,no
8,12,199.75893482400002,1.41,no
9,154,128.9141414,3.25,no
7,148,246.519431607,1.07,no
12,36,201.89854389200002,3.44,yes
7,148,216.85654382599998,1.92,no
12,92,188.707766892,3.28,no
8,194,159.01010226399998,0.48,no
12,33,288.119460157,1.49,no
12,87,144.237066082,1.09,no
8,194,129.522340873,0.64,no
12,12,146.706323012,2.68,no
6,160,121.470683077,2.06,no
8,194,309.068736432,0.11,no
8,176,349.83195613,3.83,yes
6,58,92.01162025010001,0.28,no
6,140,239.531538309,0.34,yes
4,225,70.631705341,0.7,no
4,160,130.162371176,0.54,no
10,12,301.517512501,1.08,no
10,69,331.42765089799997,0.76,no
8,194,239.28624744,0.4,no
8,12,281.943152119,2.49,no
8,167,125.708689416,3.57,no
8,148,213.650284503,1.52,no
10,43,135.42376469,0.71,no
20,62,179.15198638099997,0.36,no
16,186,168.046254141,1.78,no
14,176,177.60490853,1.89,no
18,2,408.569495035,0.89,no
12,40,189.231551892,5.62,no
12,189,343.822654413,0.46,no
8,11,179.159333068,1.13,no
12,62,339.27908183,0.31,no
4,36,145.521117863,0.62,no
2,225,28.5783803525,3.74,no
6,36,128.132291283,1.3,no
12,221,179.027647854,2.84,no
6,136,237.268939628,2.57,yes
3,166,96.2077940261,0.45,no
6,58,76.2105922854,0.43,no
12,60,162.821587978,2.77,no
6,136,146.81206001299998,1.34,yes
2,225,46.209178350600006,3.43,no
8,194,289.48908491,0.21,no
4,225,45.386638186499994,1.68,no
4,36,95.5158282162,5.82,no
8,64,158.281398177,2.34,no
8,12,313.466114475,3.98,no
3,139,37.9857757495,2.73,yes
10,160,202.501941276,2.07,no
6,136,61.391611247,3.71,no
2,225,55.005178666300004,2.92,no
6,140,237.563046505,2.17,yes
8,194,353.715042532,0.39,no
10,12,213.81170034099998,0.93,no
4,63,201.131618844,1.4,no
8,194,197.88060415,2.01,yes
10,9,331.841581863,0.64,no
4,164,111.212819135,1.63,no
8,2,312.485336842,1.77,no
8,12,199.144733034,1.52,no
4,225,37.1566479758,2.32,no
4,160,111.866401028,1.22,no
8,167,68.2763859793,2.2,no
3,166,98.6711706866,2.88,no
10,9,225.008609019,1.81,no
2,225,47.253139932299995,5.52,no
8,39,187.295707394,3.01,yes
4,216,48.452191531800004,0.59,no
6,166,194.65365524,2.86,no
8,160,161.440401587,2.06,no
8,138,318.32751561099997,2.09,yes
8,64,153.188428711,0.54,no
8,12,202.800187572,1.89,no
10,12,274.91544252799997,0.76,no
6,186,81.8093481185,1.52,no
8,194,208.654070542,0.48,no
10,9,260.86641193,1.8,no
4,225,76.4402840381,0.34,no
10,14,211.19371932200002,0.65,no
10,160,104.962271343,1.95,no
10,69,373.595574994,0.4,no
9,152,105.355156063,8.32,no
8,11,207.118611277,0.32,no
8,113,236.71392886400002,0.93,no
18,148,328.266185615,5.61,no
20,14,378.96754924699997,3.62,no
18,11,553.161159657,1.99,no
14,220,188.68278480799998,0.33,no
12,14,217.342989509,0.81,no
16,15,200.914089114,3.55,no
14,43,431.69904842,0.48,no
14,227,191.041408075,0.23,no
12,14,273.845770677,0.49,no
14,15,191.599723565,1.47,no
18,166,516.2081318180001,1.82,yes
16,62,271.399614362,2.58,yes
12,61,191.933924179,0.29,no
16,15,490.915016196,2.02,yes
16,14,489.081393825,0.6,no
16,41,264.36698876099996,1.47,yes
12,62,352.25657714199997,3.07,no
12,1,203.558657022,4.09,yes
16,14,247.976562295,5.14,no
12,189,153.905627707,1.74,no
12,62,276.163791195,0.97,no
12,136,149.362187516,1.24,no
16,52,217.63000213799998,1.25,no
18,15,298.690800761,3.66,no
20,70,430.370378914,0.64,no
12,205,157.877003716,1.25,no
12,205,157.79762162,0.46,no
16,59,552.2348912369999,0.7,yes
10,72,278.00771934200003,0.97,yes
6,123,84.9473970694,6.79,yes
7,111,243.751354114,0.3,yes
10,72,375.87256579300004,0.85,yes
7,221,77.37962771640001,3.58,yes
6,11,67.9537493339,2.82,yes
8,122,246.598897385,1.59,yes
4,12,69.316378756,0.37,yes
5,164,142.717982917,0.16,yes
6,129,167.535341924,1.04,yes
5,164,67.1578739882,2.0,yes
6,129,208.90766408099998,2.03,yes
7,82,236.556016022,1.62,yes
10,194,256.282653791,0.72,yes
8,122,49.479355053999996,3.85,yes
8,166,188.881090728,1.29,yes
5,12,93.620586505,3.15,yes
9,164,142.09782799799999,2.04,yes
6,166,106.053761432,2.21,yes
9,189,260.89087532900004,0.86,yes
5,221,96.2901266851,6.9,yes
5,164,97.1285296151,0.88,yes
8,194,90.70890344690001,1.38,yes
9,87,344.065015855,2.1,yes
6,63,178.777628403,2.1,yes
8,141,90.6556710678,2.13,yes
8,148,168.19593887899998,2.82,yes
8,215,158.592377255,1.03,yes
8,121,123.92909788899999,3.9,yes
5,164,104.04859320799999,0.88,yes
7,111,280.266709067,1.1,yes
9,164,152.33403849299998,5.8,yes
8,141,188.25762571200002,1.55,yes
7,82,174.34518958799998,2.15,yes
6,129,118.91044881399999,4.07,yes
9,225,337.210409767,1.43,yes
6,82,101.943673461,4.25,yes
7,166,277.955974533,0.61,yes
5,164,175.92830914299998,0.4,yes
7,139,108.69196997799999,6.41,yes
5,221,70.3544125452,6.94,yes
5,221,66.5998383662,6.95,yes
6,186,196.15783926900002,0.34,yes
8,166,200.626615443,1.28,yes
9,164,186.243650368,5.34,yes
5,221,93.84565537360001,3.27,yes
3,216,68.5782031018,0.21,yes
5,164,88.3628010006,2.16,yes
6,129,115.34064474600001,1.48,yes
4,166,72.5469508095,0.98,yes
9,225,333.124831881,1.31,yes
6,164,192.912512635,1.73,yes
6,65,67.7006470719,0.86,yes
7,82,221.744341249,1.02,yes
5,139,129.60822787200001,2.02,yes
6,129,163.439361287,2.31,yes
8,194,113.825905823,0.24,yes
5,221,65.7232228521,1.67,yes
9,162,147.79736609999998,2.86,yes
7,139,166.552418765,3.01,yes
8,225,155.393999329,5.38,yes
10,36,233.902615873,0.86,yes
5,160,92.1589277412,3.85,yes
5,139,60.518568942799995,3.72,yes
10,11,227.60325840099998,3.22,yes
6,129,106.920286062,3.05,yes
9,164,143.667948909,2.57,yes
10,63,272.944636381,1.08,yes
9,225,158.737995958,2.42,yes
6,194,175.971601404,0.6,yes
9,225,249.343945402,1.85,yes
9,225,341.51133116799997,2.05,yes
5,164,118.873905272,1.26,yes
8,194,128.36517087,0.71,yes
8,227,150.50012119,2.47,yes
9,164,136.886788616,5.8,yes
4,166,54.633956269399995,2.8,yes
8,63,162.099382651,0.91,yes
3,216,64.42130287260001,0.38,yes
9,225,262.127210885,1.2,yes
6,131,110.224628777,0.26,yes
10,194,295.036925248,0.48,yes
6,59,147.705613119,0.18,yes
8,148,106.392636054,1.53,yes
8,148,115.50287835799999,1.87,yes
6,186,124.95634345,0.41,yes
10,194,276.427709963,0.82,yes
6,194,142.963239097,0.11,yes
7,121,210.874072505,0.77,yes
3,187,82.70519817270001,0.2,yes
6,71,93.5949061032,0.23,yes
9,164,165.217522771,7.13,yes
4,166,44.773184220299996,3.76,yes
9,225,270.225948366,2.48,yes
3,216,74.5758829322,1.81,yes
10,148,106.991744635,4.84,yes
9,225,131.810282844,1.87,yes
4,166,77.4332132428,2.37,yes
7,166,256.866861258,0.94,yes
10,2,256.634126019,1.75,yes
4,166,62.9703082201,2.63,yes
6,59,128.877479879,2.36,yes
4,166,59.460229033199994,3.58,yes
9,162,125.649891737,0.52,yes
7,121,179.115120872,1.39,yes
8,122,217.894296875,1.57,yes
10,162,329.925481789,0.46,yes
5,221,98.9547442982,0.65,yes
8,65,112.00244965600001,2.52,yes
10,109,303.91473712,1.61,yes
9,225,306.165540186,0.62,yes
8,63,145.019684856,0.86,yes
9,225,275.352953375,2.61,yes
10,72,368.81133699599997,2.05,yes
10,162,165.591371371,1.24,yes
8,225,165.992220809,3.46,yes
7,82,236.18382199299998,0.66,yes
9,225,140.356025627,7.22,yes
9,225,264.76783622,1.94,yes
9,225,439.138981014,1.39,yes
9,1,153.128126305,1.46,yes
9,225,65.1896942998,1.91,yes
5,221,151.40597158100002,1.75,yes
8,122,272.94134742,1.38,yes
8,63,188.42855456200002,0.73,yes
4,225,118.82751844100001,0.67,yes
6,194,114.941042542,1.28,yes
5,221,108.531333,0.72,yes
9,189,231.36384362400003,1.24,yes
5,221,155.820925267,1.03,yes
9,225,282.388618388,2.54,yes
8,148,114.011076806,2.23,yes
3,216,53.4209408057,0.55,yes
6,12,148.751271809,1.17,yes
10,65,116.440615586,0.3,yes
7,139,197.433920658,4.77,yes
4,225,144.252312271,0.6,yes
8,63,169.90805395,0.66,yes
8,63,186.16545782400001,0.42,yes
10,167,94.04102368139999,1.82,yes
9,225,354.575910253,1.44,yes
9,225,295.319746287,1.17,yes
8,194,113.931320156,2.12,yes
8,148,105.838077704,2.08,yes
5,99,67.5157794197,1.73,yes
6,129,78.12979498060001,1.16,yes
6,216,117.98435316700001,4.57,yes
4,166,45.4020845614,0.98,yes
10,194,137.625530427,2.01,yes
8,194,104.367781133,2.33,yes
5,221,147.838688724,0.89,yes
8,194,151.59639248,2.85,yes
10,194,119.63536627,1.34,yes
8,227,133.576238864,3.37,yes
10,36,142.39547280000002,2.6,yes
5,164,127.32180595700001,1.35,yes
3,187,50.452815352799995,1.51,yes
8,122,88.25302281409999,4.68,yes
6,129,93.565029272,2.64,yes
9,162,119.48863132299999,2.14,yes
5,221,65.4917138563,2.1,yes
5,221,77.5180248574,2.66,yes
8,59,190.96434475700002,0.69,yes
9,225,307.69390907,1.69,yes
4,166,51.7750344616,1.13,yes
8,225,139.861541943,3.22,yes
6,129,103.332321149,2.13,yes
9,162,121.016391273,1.41,yes
8,148,101.87795617100001,2.04,yes
5,221,67.3780041588,4.55,yes
6,129,114.75700981799999,0.91,yes
8,122,173.815312563,1.9,yes
6,129,144.939821131,2.75,yes
4,166,144.871048742,1.3,yes
5,139,81.8321248491,0.76,yes
4,166,93.5466949283,1.52,yes
7,166,188.886353016,0.74,yes
8,148,143.026223669,4.88,yes
8,194,79.2237812747,1.58,yes
8,217,216.809142822,0.98,yes
8,122,76.17212602,3.8,yes
10,36,206.86981367799999,1.14,yes
10,72,410.688847296,0.96,yes
5,12,66.1665429517,3.04,yes
6,63,213.635616889,1.73,yes
8,63,247.702928133,1.07,yes
7,139,218.56031642099998,0.98,yes
8,59,90.91416419629999,1.25,yes
8,63,213.017966565,1.14,yes
5,164,115.351887318,0.26,yes
6,164,130.64288097899998,1.46,yes
9,225,269.033096519,2.15,yes
7,166,244.978475395,0.95,yes
10,63,118.765053164,1.28,yes
7,139,94.02557679430001,2.11,yes
7,82,236.47818719900002,1.11,yes
8,148,120.656535658,1.96,yes
8,122,202.942144661,1.14,yes
10,72,336.161656856,0.96,yes
8,63,228.34138877200002,1.07,yes
10,140,153.902782775,2.78,yes
9,225,290.881888507,2.64,yes
9,225,134.029685361,1.97,yes
4,166,45.0922263771,1.38,yes
5,221,66.7983340336,1.42,yes
7,139,113.75613443700001,4.3,yes
10,72,277.70435733700003,1.21,yes
9,1,144.392223377,1.02,yes
5,164,136.075277535,1.14,yes
8,122,59.0698771801,7.28,yes
10,194,350.718440945,4.04,yes
4,166,49.666465621499995,6.81,yes
4,166,46.035719847299994,1.67,yes
8,215,186.213332176,1.36,yes
9,121,157.14994218799998,1.43,yes
5,221,117.828085341,2.92,yes
5,139,97.2506463233,0.74,yes
8,122,149.485112152,1.69,yes
7,82,165.252802325,2.11,yes
6,215,58.2808730263,4.93,yes
8,148,113.055815972,4.93,yes
5,164,122.30299079299999,0.71,yes
7,71,86.3125774786,4.38,yes
4,225,167.981709351,0.86,yes
10,72,306.118446786,1.0,yes
4,12,48.3484116631,0.49,yes
5,164,104.56531698100001,2.41,yes
10,225,195.093502563,3.35,yes
9,225,158.910959005,4.06,yes
8,122,173.74811502,1.43,yes
3,216,52.3552505341,0.11,yes
6,129,125.76493120200001,0.36,yes
9,225,73.2629638766,3.07,yes
8,194,167.143722913,0.5,yes
10,161,94.49163432579999,4.05,yes
4,166,50.75435767810001,2.93,yes
7,221,193.59488301,1.84,yes
3,216,80.3345053103,0.36,yes
10,146,107.408417319,1.69,yes
5,99,68.4707479205,1.48,yes
9,225,249.162307533,1.2,yes
6,129,251.000454806,0.83,yes
5,221,150.46282867,0.56,yes
8,148,133.420951831,5.07,yes
6,63,67.8169678758,2.8,yes
5,164,99.59350732440001,3.06,yes
4,166,82.1135666997,1.92,yes
7,82,190.57992473,0.92,yes
4,166,100.18876594700001,2.27,yes
3,216,57.0456402781,0.27,yes
6,129,183.162716255,2.41,yes
5,164,42.030760731,4.18,yes
4,225,177.36958558599997,0.3,yes
9,225,432.491164176,2.21,yes
5,99,67.5951494724,1.73,yes
5,164,83.8633643847,2.99,yes
6,129,122.719854364,5.94,yes
10,194,183.92165889900002,5.36,yes
7,82,175.603563675,1.4,yes
5,164,138.006571704,1.07,yes
3,216,84.5834207313,1.58,yes
5,221,192.36063440400002,4.39,yes
6,194,194.627052965,0.69,yes
7,82,212.015719252,0.95,yes
8,148,126.733866901,2.64,yes
9,225,263.852600006,1.29,yes
7,97,238.39533603400002,0.29,yes
9,162,108.78706520200001,0.71,yes
8,215,168.64675208100002,1.66,yes
8,148,147.21046190799998,5.41,yes
5,71,85.1080314014,1.37,yes
3,216,30.0596181665,0.51,yes
10,59,165.990206781,3.09,yes
10,148,101.029924467,3.65,yes
6,186,157.033664154,0.58,yes
7,166,262.257453424,0.73,yes
4,166,83.26531849439999,2.43,yes
8,225,123.13500508899999,7.01,yes
7,97,239.439390543,1.45,yes
4,123,142.235436477,1.75,yes
7,166,157.191302707,1.23,yes
5,71,153.043231204,1.0,yes
6,215,67.0025189751,4.05,yes
8,15,105.566150422,1.43,yes
5,221,65.1378453638,2.46,yes
10,71,151.332153385,0.86,yes
8,122,154.878270671,1.36,yes
4,216,63.5201011857,0.45,yes
8,148,125.99022777299999,4.99,yes
7,139,120.026353345,4.71,yes
6,129,132.0110034,3.06,yes
8,148,118.951338278,2.19,yes
8,122,223.84965561799999,1.02,yes
9,225,291.040697085,1.25,yes
5,221,59.8597533517,0.33,yes
7,12,129.813807677,1.87,yes
8,122,67.7259119311,3.56,yes
7,82,188.090225186,2.0,yes
7,139,134.035703435,2.65,yes
9,225,257.817865262,1.08,yes
6,129,172.186710494,3.59,yes
8,65,110.263002358,0.19,yes
6,129,196.168389065,1.27,yes
10,65,116.872282502,0.31,yes
8,140,237.40145484599998,1.28,yes
9,162,93.40087846610001,1.98,yes
4,166,126.21582881399999,1.56,yes
6,194,149.378019039,0.18,yes
9,164,109.900729525,2.73,yes
8,215,214.668405743,1.14,yes
6,129,152.89183236,3.53,yes
4,225,112.96218010700001,0.5,yes
7,82,198.666583845,0.99,yes
10,194,321.835093603,0.58,yes
8,227,182.38370187299998,1.52,yes
5,221,91.3029917631,3.17,yes
8,122,180.334180033,1.5,yes
10,167,188.978123809,3.01,yes
7,160,204.18020865900002,1.22,yes
10,140,122.558549532,1.85,yes
9,225,166.14508040299998,1.18,yes
10,194,301.255838195,0.47,yes
9,162,108.015811253,3.29,yes
4,225,124.968854511,0.62,yes
6,129,135.974467561,5.0,yes
4,166,82.7303739859,1.16,yes
6,123,88.5804580683,4.25,yes
9,225,166.337051861,5.97,yes
6,129,171.730222832,2.29,yes
7,82,163.082913037,2.73,yes
6,129,249.356623052,1.97,yes
5,164,154.580044147,0.39,yes
6,194,150.288740222,0.84,yes
6,129,140.81852416200002,0.95,yes
8,194,103.352623251,1.17,yes
10,167,107.61585135600001,3.46,yes
6,129,162.18172641799998,0.48,yes
7,166,187.934788438,0.88,yes
4,225,80.2753643666,0.68,yes
7,139,229.675489278,0.99,yes
6,129,99.2124718478,1.31,yes
5,164,104.54108451200001,0.83,yes
8,215,180.413844393,0.82,yes
9,164,139.974828564,4.73,yes
6,194,164.528162091,0.28,yes
10,167,93.11069443219999,3.4,yes
9,225,192.930065733,6.03,yes
8,122,185.246443392,0.65,yes
6,166,77.0434999121,1.76,yes
3,216,69.349296677,0.12,yes
8,194,198.867442916,0.47,yes
10,167,90.93834153360001,2.3,yes
7,139,153.695226537,1.27,yes
9,164,145.191425164,1.7,yes
7,97,273.966034187,0.87,yes
4,166,50.7257430954,1.66,yes
5,221,99.38354079049999,3.15,yes
9,162,125.14880268200001,2.69,yes
5,139,113.020745586,2.08,yes
9,162,91.9188691317,2.24,yes
5,221,141.909754456,0.26,yes
8,217,241.05414425200001,2.53,yes
8,225,151.89105233200002,4.89,yes
7,139,212.750265603,1.29,yes
9,225,279.10418809099997,2.57,yes
10,225,196.858786167,2.62,yes
10,2,268.167747347,0.98,yes
10,65,122.385863624,0.23,yes
5,164,123.472301588,0.88,yes
5,164,73.5796212004,1.69,yes
6,164,200.93056723799998,2.35,yes
4,166,72.2705405905,2.13,yes
6,129,150.086080045,2.52,yes
10,71,308.22488802099997,1.83,yes
6,194,46.2214122348,0.85,yes
5,221,248.410750073,0.46,yes
9,162,135.60552557399998,2.78,yes
8,15,180.03815875200002,2.25,yes
10,58,183.209972012,0.82,yes
8,194,81.6913315587,1.81,yes
10,167,108.903679754,2.65,yes
8,141,125.850379411,1.69,yes
5,164,127.22287465299999,1.14,yes
3,216,64.818636321,0.28,yes
8,122,175.528464161,2.15,yes
8,194,164.241127589,0.81,yes
3,216,54.4434692514,1.54,yes
8,148,148.614724815,5.22,yes
7,65,180.90831605,1.08,yes
10,12,248.98152832,1.51,yes
8,217,243.811743071,2.13,yes
5,221,70.5258776403,3.69,yes
8,148,116.931251977,1.78,yes
7,139,253.47731418,1.26,yes
8,122,178.36815331900002,0.89,yes
3,216,59.6433663611,0.37,yes
6,82,96.280517511,5.66,yes
8,148,112.432270573,2.59,yes
9,225,407.003624895,0.19,yes
5,164,132.985849484,0.14,yes
6,59,119.518765924,0.56,yes
7,139,157.0534838,1.98,yes
9,225,294.969368073,2.23,yes
8,122,113.79512075299999,1.74,yes
5,221,176.822317036,0.76,yes
10,11,161.028712261,3.7,yes
8,63,264.1166768,4.32,yes
7,221,186.48082321400003,1.84,yes
6,194,160.759521952,0.12,yes
9,225,299.562596751,2.1,yes
9,225,303.877549929,2.75,yes
8,227,138.18616198799998,4.27,yes
8,8,198.51265933599998,0.44,yes
10,65,145.180611314,5.71,yes
10,12,251.335253951,1.75,yes
8,194,120.377614508,3.45,yes
5,221,78.1172771913,2.45,yes
10,36,121.68848488799999,4.92,yes
