num_valence_electrons,lattice_const,tetragonality,formation_energy,polarization_fermi,heusler_type
26,5.9688,0.9999,0.18600000000000003,99.91,Full Heusler
27,5.062,1.3152,-0.245,67.17,Full Heusler
27,5.22,1.3065,0.046,51.19,Full Heusler
27,5.756,1.1068,0.17300000000000001,99.98,Full Heusler
26,5.6711,1.0002,-0.038,0.01,Full Heusler
26,5.6969,1.0001,-0.075,74.25,Full Heusler
26,5.4,1.4278,0.23600000000000002,30.29,Full Heusler
27,5.5942,0.9951,-0.34,100.0,Full Heusler
27,5.7226,0.9839,-0.114,96.99,Full Heusler
27,5.9606,0.9992,0.107,0.23,Full Heusler
28,5.55,1.0,-0.321,100.0,Full Heusler
28,5.7,1.0,-0.055999999999999994,94.02,Full Heusler
28,5.9479999999999995,0.9993,0.062,87.28,Full Heusler
27,5.74,1.0,-0.201,54.0,Full Heusler
27,5.43,1.2118,-0.111,56.93,Full Heusler
27,5.65,1.2354,0.172,46.73,Full Heusler
28,5.61,1.0,-0.32899999999999996,44.51,Full Heusler
28,5.7155,0.9998,-0.11599999999999999,48.39,Full Heusler
28,6.0127,1.0027,0.043,42.85,Full Heusler
29,5.5524,1.0001,-0.289,48.38,Full Heusler
29,5.74,1.0,-0.037000000000000005,0.32,Full Heusler
29,5.987,0.9995,0.057999999999999996,27.48,Full Heusler
28,5.056,1.4727,-0.19,64.3,Full Heusler
28,5.77,1.0,-0.049,79.39,Full Heusler
28,6.05,1.0,0.244,79.59,Full Heusler
29,5.59,1.0,-0.226,81.65,Full Heusler
29,5.0578,1.4637,-0.08900000000000001,54.22,Full Heusler
29,5.2541,1.4938,0.059000000000000004,48.36,Full Heusler
30,5.4186,1.0599,-0.20199999999999999,47.93,Full Heusler
30,5.72,1.0,0.05,49.0,Full Heusler
30,5.9538,1.0104,0.16399999999999998,65.86,Full Heusler
29,4.9494,1.5606,-0.27,19.72,Full Heusler
29,4.9986,1.5315,-0.16699999999999998,32.84,Full Heusler
29,5.2056,1.5535,0.096,64.88,Full Heusler
30,4.9287,1.5014,-0.327,2.56,Full Heusler
30,5.0188,1.5075,-0.165,5.79,Full Heusler
30,5.218999999999999,1.5298,-0.042,14.2,Full Heusler
31,5.3607,1.1005,-0.23600000000000002,23.36,Full Heusler
31,5.0354,1.5397,-0.083,4.36,Full Heusler
31,5.2267,1.54,0.002,30.79,Full Heusler
22,6.2276,0.9991,-0.5670000000000001,0.0,Full Heusler
22,6.24,1.0,-0.435,0.02,Full Heusler
22,6.4522,1.0016,-0.26,0.02,Full Heusler
23,6.13,1.0,-0.6659999999999999,0.0,Full Heusler
23,6.216,0.9997,-0.535,0.0,Full Heusler
23,6.4312,0.9997,-0.526,0.03,Full Heusler
24,6.07,1.0,-0.66,0.0,Full Heusler
24,6.2,1.0,-0.5379999999999999,0.01,Full Heusler
24,6.39,1.0,-0.605,0.01,Full Heusler
23,6.0858,1.0002,-0.765,0.0,Full Heusler
23,6.1,1.0,-0.623,0.0,Full Heusler
23,6.314,0.9989,-0.34700000000000003,0.0,Full Heusler
24,5.9958,1.0,-0.8959999999999999,0.01,Full Heusler
24,6.0797,1.0002,-0.708,0.01,Full Heusler
24,6.29,1.0,-0.604,0.01,Full Heusler
25,5.7232,1.1477,-0.612,0.0,Full Heusler
25,5.8325,1.1516,-0.45399999999999996,0.0,Full Heusler
25,6.0283,1.1435,-0.457,0.0,Full Heusler
24,5.9945,1.0,-0.628,0.02,Full Heusler
24,6.0142,1.0002,-0.45799999999999996,0.0,Full Heusler
24,6.2309,0.9998,-0.115,0.01,Full Heusler
25,5.93,1.0,-0.565,85.07,Full Heusler
25,6.0247,1.0005,-0.36,99.0,Full Heusler
25,6.24,1.0,-0.191,0.84,Full Heusler
26,5.55,1.218,-0.34299999999999997,3.35,Full Heusler
26,6.07,1.0,-0.121,96.54,Full Heusler
26,5.8518,1.2114,-0.11800000000000001,0.03,Full Heusler
25,5.9697,0.9999,-0.34700000000000003,92.21,Full Heusler
25,5.9937,1.0002,-0.18600000000000003,90.72,Full Heusler
25,6.22,1.0,0.157,88.03,Full Heusler
26,5.9221,1.0,-0.413,97.16,Full Heusler
26,6.0108,1.0001,-0.217,86.97,Full Heusler
26,6.24,1.0,-0.079,71.39,Full Heusler
27,5.92,1.0,-0.22,96.92,Full Heusler
27,6.05,1.0,-0.042,95.5,Full Heusler
27,6.2258,1.0087,-0.019,98.62,Full Heusler
26,5.9759,0.9997,-0.39899999999999997,60.72,Full Heusler
26,5.996,1.0,-0.254,62.9,Full Heusler
26,6.2306,0.9999,0.076,70.11,Full Heusler
27,5.9166,0.9996,-0.465,96.58,Full Heusler
27,6.0069,1.0001,-0.264,94.43,Full Heusler
27,6.2356,1.0,-0.134,90.83,Full Heusler
28,5.91,1.0,-0.308,96.13,Full Heusler
28,6.04,1.0,-0.129,92.31,Full Heusler
28,6.24,1.0,-0.126,95.58,Full Heusler
27,5.98,1.0,-0.305,79.09,Full Heusler
27,5.9964,1.0005,-0.149,82.14,Full Heusler
27,6.23,1.0,0.174,79.37,Full Heusler
28,5.91,1.0,-0.36200000000000004,73.14,Full Heusler
28,6.01,1.0,-0.159,77.06,Full Heusler
28,6.23,1.0,-0.046,66.57,Full Heusler
29,5.8963,0.9982,-0.191,70.39,Full Heusler
29,6.02,1.0,-0.01,81.74,Full Heusler
29,6.22,1.0,0.0,71.95,Full Heusler
28,5.95,1.0,-0.152,29.38,Full Heusler
28,5.97,1.0,0.002,36.96,Full Heusler
28,6.175,0.9969,0.366,1.93,Full Heusler
29,5.87,1.0,-0.242,27.77,Full Heusler
29,5.96,1.0,-0.032,24.61,Full Heusler
29,6.1683,0.9986,0.11800000000000001,48.23,Full Heusler
30,5.84,1.0,-0.151,5.88,Full Heusler
30,5.98,1.0,0.05,5.98,Full Heusler
30,6.19,1.0,0.09300000000000001,57.07,Full Heusler
29,5.94,1.0,-0.185,0.0,Full Heusler
29,5.956,1.0002,-0.048,0.0,Full Heusler
29,6.183,1.0025,0.295,1.89,Full Heusler
30,5.8584,0.9999,-0.297,2.65,Full Heusler
30,5.9512,0.9999,-0.08900000000000001,0.5,Full Heusler
30,6.19,1.0,0.068,34.34,Full Heusler
31,5.8253,0.9997,-0.23199999999999998,0.0,Full Heusler
31,5.96,1.0,-0.017,0.0,Full Heusler
31,6.18,1.0,0.037000000000000005,33.41,Full Heusler
24,5.97,1.0,-0.51,0.05,Full Heusler
24,5.97,1.0,-0.43799999999999994,0.03,Full Heusler
24,6.21,1.0,-0.24600000000000002,0.02,Full Heusler
25,5.87,1.0,-0.581,100.0,Full Heusler
25,5.9621,0.9999,-0.461,93.33,Full Heusler
25,6.21,1.0,-0.424,87.62,Full Heusler
26,5.8344,0.9996,-0.552,67.39,Full Heusler
26,5.99,1.0,-0.408,87.34,Full Heusler
26,6.22,1.0,-0.414,100.0,Full Heusler
25,5.83,1.0,-0.621,60.07,Full Heusler
25,5.83,1.0,-0.525,91.02,Full Heusler
25,6.07,1.0,-0.251,88.37,Full Heusler
26,5.75,1.0,-0.669,7.5,Full Heusler
26,5.8394,1.0006,-0.505,14.8,Full Heusler
26,6.09,1.0,-0.397,100.0,Full Heusler
27,5.22,1.2989,-0.614,22.88,Full Heusler
27,5.38,1.2770000000000001,-0.408,67.19,Full Heusler
27,5.78,1.1574,-0.322,7.78,Full Heusler
26,5.74,1.0,-0.41200000000000003,94.88,Full Heusler
26,5.7561,1.0,-0.29600000000000004,100.0,Full Heusler
26,6.0,1.0,0.017,94.62,Full Heusler
27,5.21,1.2687,-0.44799999999999995,51.51,Full Heusler
27,5.2646,1.2922,-0.263,13.5,Full Heusler
27,6.02,1.0,-0.092,70.08,Full Heusler
28,4.9881,1.4113,-0.423,0.0,Full Heusler
28,5.1288,1.4031,-0.16899999999999998,0.03,Full Heusler
28,6.02,1.0,0.001,9.32,Full Heusler
27,5.704,1.0001,-0.233,100.0,Full Heusler
27,5.7241,0.9986,-0.105,94.22,Full Heusler
27,5.98,1.0,0.207,88.65,Full Heusler
28,5.6335,0.9995,-0.31,100.0,Full Heusler
28,5.74,1.0,-0.111,100.0,Full Heusler
28,5.99,1.0,0.016,91.25,Full Heusler
29,4.95,1.4121,-0.268,29.41,Full Heusler
29,5.1204,1.389,-0.015,14.29,Full Heusler
29,6.0086,1.0001,0.051,100.0,Full Heusler
28,5.7,1.0,-0.35600000000000004,59.7,Full Heusler
28,5.7183,1.0002,-0.228,72.89,Full Heusler
28,5.9839,0.9998,0.069,2.06,Full Heusler
29,5.6301,0.9997,-0.441,100.0,Full Heusler
29,5.7347,1.0002,-0.248,99.46,Full Heusler
29,5.99,1.0,-0.131,76.76,Full Heusler
30,5.6382,0.9995,-0.314,100.0,Full Heusler
30,5.7963,0.9988,-0.126,95.58,Full Heusler
30,6.018,1.0011,-0.087,100.0,Full Heusler
29,5.7,1.0,-0.359,74.69,Full Heusler
29,5.72,1.0,-0.231,74.39,Full Heusler
29,5.98,1.0,0.065,31.78,Full Heusler
30,5.627999999999999,0.9992,-0.354,72.34,Full Heusler
30,5.74,1.0,-0.163,67.99,Full Heusler
30,5.9935,1.0033,-0.039,68.56,Full Heusler
31,5.1947,1.2352,-0.247,6.49,Full Heusler
31,5.38,1.2193,-0.038,11.48,Full Heusler
31,5.63,1.1918,0.028999999999999998,14.9,Full Heusler
30,5.68,1.0,-0.22,67.49,Full Heusler
30,5.7,1.0,-0.09,69.43,Full Heusler
30,5.97,1.0,0.209,74.43,Full Heusler
31,5.07,1.3156,-0.285,62.54,Full Heusler
31,5.7,1.0,-0.055999999999999994,63.59,Full Heusler
31,5.9636,0.9940000000000001,0.079,69.03,Full Heusler
32,4.95,1.3717,-0.239,35.09,Full Heusler
32,5.09,1.3733,-0.008,28.67,Full Heusler
32,5.33,1.349,0.065,51.48,Full Heusler
31,5.042,1.4259,-0.249,72.15,Full Heusler
31,5.0864,1.4034,-0.132,71.81,Full Heusler
31,5.2768,1.4358,0.138,75.21,Full Heusler
32,5.1124,1.2842,-0.313,51.5,Full Heusler
32,5.1942,1.2979,-0.125,51.51,Full Heusler
32,5.3867,1.3281,0.003,54.29,Full Heusler
33,5.0729,1.274,-0.253,67.99,Full Heusler
33,5.2064,1.2837,-0.036000000000000004,69.92,Full Heusler
33,5.4176,1.2808,0.016,68.98,Full Heusler
24,6.24,1.0,-1.0979999999999999,0.0,Full Heusler
24,6.25,1.0,-0.982,0.0,Full Heusler
24,6.454,0.9994,-0.848,0.0,Full Heusler
25,5.91,1.1387,-0.9640000000000001,0.0,Full Heusler
25,5.96,1.1577,-0.885,0.0,Full Heusler
25,6.1842,1.1374,-0.9279999999999999,0.0,Full Heusler
26,5.63,1.3126,-0.8440000000000001,0.0,Full Heusler
26,5.75,1.3043,-0.772,0.0,Full Heusler
26,6.02,1.2342,-0.826,0.0,Full Heusler
25,5.8845,1.1227,-1.01,0.0,Full Heusler
25,5.8319,1.1589,-0.887,0.0,Full Heusler
25,6.03,1.1559,-0.6859999999999999,0.0,Full Heusler
26,5.6,1.2643,-0.9,0.01,Full Heusler
26,5.6423,1.2830000000000001,-0.792,0.0,Full Heusler
26,5.88,1.25,-0.762,0.39,Full Heusler
27,5.4054,1.3963,-0.787,0.0,Full Heusler
27,5.5119,1.3919,-0.669,0.0,Full Heusler
27,5.7482,1.339,-0.659,0.0,Full Heusler
26,5.68,1.206,-0.679,0.0,Full Heusler
26,5.62,1.2509,-0.5529999999999999,59.48,Full Heusler
26,5.82,1.2457,-0.32299999999999995,61.1,Full Heusler
27,5.5053,1.2839,-0.617,77.76,Full Heusler
27,5.56,1.2986,-0.483,78.58,Full Heusler
27,5.78,1.2785,-0.44,78.74,Full Heusler
28,5.3213,1.4037,-0.493,37.95,Full Heusler
28,5.46,1.3864,-0.361,12.98,Full Heusler
28,5.69,1.3427,-0.32299999999999995,0.01,Full Heusler
27,6.0464,0.9982,-0.542,93.96,Full Heusler
27,6.0572,1.003,-0.39399999999999996,91.35,Full Heusler
27,6.29,1.0,-0.187,87.73,Full Heusler
28,5.5,1.2727,-0.486,30.46,Full Heusler
28,5.57,1.2801,-0.35,36.79,Full Heusler
28,5.84,1.2397,-0.322,71.96,Full Heusler
29,5.38,1.3513,-0.31,29.31,Full Heusler
29,5.54,1.3249,-0.185,49.41,Full Heusler
29,5.69,1.3427,-0.231,89.89,Full Heusler
28,6.04,1.0,-0.693,85.0,Full Heusler
28,6.06,1.0,-0.537,81.46,Full Heusler
28,6.2917,1.0003,-0.34299999999999997,57.36,Full Heusler
29,5.99,1.0,-0.59,22.29,Full Heusler
29,5.9,1.0949,-0.45299999999999996,7.25,Full Heusler
29,6.3,1.0,-0.46799999999999997,24.5,Full Heusler
30,5.59,1.2254,-0.38299999999999995,34.89,Full Heusler
30,5.7278,1.2154,-0.28800000000000003,21.95,Full Heusler
30,6.32,1.0,-0.325,65.38,Full Heusler
29,6.02,1.0,-0.605,89.21,Full Heusler
29,6.04,1.0,-0.44,90.89,Full Heusler
29,6.27,1.0,-0.231,88.75,Full Heusler
30,5.6362,1.1785,-0.483,48.15,Full Heusler
30,6.05,1.0,-0.293,79.24,Full Heusler
30,5.8812,1.2045,-0.337,53.23,Full Heusler
31,5.48,1.2737,-0.271,43.22,Full Heusler
31,5.59,1.2844,-0.165,60.12,Full Heusler
31,5.74,1.284,-0.23800000000000002,33.22,Full Heusler
30,5.98,1.0,-0.47,88.07,Full Heusler
30,6.0,1.0,-0.305,89.02,Full Heusler
30,6.23,1.0,-0.078,90.25,Full Heusler
31,5.54,1.2094,-0.408,57.19,Full Heusler
31,5.6027,1.2236,-0.255,57.84,Full Heusler
31,5.6517,1.3041,-0.235,54.27,Full Heusler
32,5.44,1.2647,-0.244,11.35,Full Heusler
32,5.55,1.2739,-0.126,5.58,Full Heusler
32,5.69,1.29,-0.20199999999999999,14.36,Full Heusler
