crystallinity,synthesis,spacegroup,temperature_K,zT
Polycrystalline,"Solid state reaction, Ar",221.0,400.0,0.015454418
Polycrystalline,"Solid state reaction, Ar",62.0,1000.0,0.717253124
Polycrystalline,"Solid state reaction, Ar",62.0,700.0,0.064093403
Polycrystalline,"Solid state reaction, He/H2",225.0,400.0,0.011364424
Polycrystalline,"Melted, vacuum",204.0,400.0,0.277984857
Polycrystalline,"Solid state reaction, He/H2",225.0,1000.0,0.88258266
Polycrystalline,"Melted, Ar",225.0,400.0,0.180774291
Polycrystalline,"Solid state reaction, Ar",221.0,400.0,0.060708962
Polycrystalline,"Flux (Al), dynamic vacuum",223.0,400.0,0.029608249
Polycrystalline,"Solid state reaction, air",62.0,400.0,0.032308362
Polycrystalline,Spark plasma sintering,10.0,300.0,0.037628248
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.036960421
Single crystal,"Flux (NaCl), air",194.0,1000.0,1.399413646
Polycrystalline,"Melted, zone refined",140.0,300.0,0.636679814
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.075616892
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.003449371
Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,400.0,0.235493287
Polycrystalline,"Arc melted, Ar",216.0,400.0,0.093139486
Polycrystalline,"Solid state reaction, Ar",55.0,700.0,0.317966897
Polycrystalline,Vacuum hot pressed,227.0,700.0,0.51588803
Polycrystalline,"Solid state reaction, vacuum",2.0,1000.0,0.188309984
Polycrystalline,Melted,140.0,300.0,0.067304238
Polycrystalline,"Solid state reaction, air",194.0,300.0,0.080921257
Polycrystalline,Magnetic levitation induction furnace,216.0,700.0,0.31783268
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, Ar",223.0,700.0,0.385634261
Polycrystalline,"Melted, hotpressed",140.0,300.0,0.027271234
Polycrystalline,Solid state reaction,204.0,300.0,0.310801835
Polycrystalline,Solid state reaction,62.0,300.0,0.011795412
Polycrystalline,Solid state reaction,206.0,300.0,0.00973701
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.370509064
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.037136033
Polycrystalline,Solid state reaction (under oxygen),74.0,700.0,0.055061518
Polycrystalline,"Mechanochemical, Ar",225.0,700.0,0.499678292
Polycrystalline,Solid state reaction,62.0,400.0,0.019099891
Polycrystalline,Melting,225.0,400.0,0.347443
Single crystal,Floating zone melting,216.0,1000.0,0.242232068
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.000158231
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.000368593
Single crystal,"Flux (SrCl2), air",12.0,1000.0,0.931656243
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.061143091
Polycrystalline,Solid state reaction,62.0,700.0,0.039949192
Polycrystalline,Solid state reaction,62.0,400.0,0.018604483
Polycrystalline,Solid state reaction,62.0,700.0,0.039875867
Polycrystalline,"Melted, inert",167.0,400.0,0.496100779
Polycrystalline,"Solid state reaction, Ar",62.0,300.0,0.001483272
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.001155855
Polycrystalline,Solid state reaction,62.0,700.0,0.0278775
Polycrystalline,"Solid state reaction, air",186.0,400.0,0.038531371
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,Solid state reaction (under oxygen),62.0,700.0,0.139855751
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.015874132
Polycrystalline,"Solid state reaction, Ar",55.0,300.0,0.009414235
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.019734436
Polycrystalline,Solid state reaction,206.0,1000.0,0.262891577
Polycrystalline,Solid state reaction + extra,11.0,300.0,0.027669081
Polycrystalline,"Melted, inert",223.0,700.0,0.19673713
Polycrystalline,"Melted, inert",223.0,400.0,0.079426289
Polycrystalline,"Bridgman method, Ar-H gas",225.0,400.0,0.157996146
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.210575803
Single crystal,Floating zone melting,216.0,700.0,0.232283937
Polycrystalline,Spark plasma sintering,10.0,1000.0,0.059798731
Polycrystalline,Co-precipitation,62.0,1000.0,0.121469186
Polycrystalline,"Solid state reaction, air",62.0,300.0,0.015401826
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.06510758
Polycrystalline,"Solid state reaction, Ar",221.0,300.0,0.018590979
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.032042529
Polycrystalline,Solid state reaction,206.0,700.0,0.113093689
Polycrystalline,Solid state reaction,62.0,400.0,0.00727684
Polycrystalline,Solid state reaction,62.0,700.0,0.012122034
Polycrystalline,Solid state reaction,11.0,700.0,0.03408846
Polycrystalline,Solid state reaction,62.0,300.0,0.01419657
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.104023136
Polycrystalline,"Solid state reaction, air",12.0,1000.0,0.315065412
Polycrystalline,"Melted, inert",223.0,300.0,0.047688674
Polycrystalline,"Arc melted, Ar",216.0,300.0,0.063333333
Polycrystalline,Solid state reaction,11.0,1000.0,0.061941
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.195021878
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.447571084
Polycrystalline,"Solid state reaction, air",2.0,700.0,0.018127751
Polycrystalline,Melted,225.0,400.0,0.289521835
Polycrystalline,Solid state reaction,62.0,400.0,0.049042114
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, sealed",160.0,300.0,0.054916687
Polycrystalline,Solid state reaction,223.0,300.0,0.293999426
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,300.0,0.085031756
Single crystal,Solid state reaction + extra,,400.0,0.113817986
Polycrystalline,Solid state reaction,206.0,400.0,0.022990066
Polycrystalline,"Solid state reaction, air",186.0,1000.0,0.227868794
Single crystal,"Czochralski method, argon",223.0,400.0,0.15891065
Polycrystalline,Melted,225.0,700.0,1.392715388
Single crystal,Floating zone melting,216.0,1000.0,0.27533795
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,300.0,0.099074464
Polycrystalline,Solid state reaction,206.0,400.0,0.022224564
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.291429498
Polycrystalline,Solid state reaction,62.0,1000.0,0.0340102
Polycrystalline,"Solid state reaction, Ar",221.0,400.0,5.12646e-05
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.185091706
Polycrystalline,"Mechanochemical, Ar",225.0,300.0,0.059161844
Polycrystalline,Co-precipitation,62.0,300.0,0.029786338
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.006089889
Polycrystalline,"Solid state reaction, He/H2",225.0,700.0,0.185786979
Polycrystalline,"Solid state reaction , Ar",221.0,700.0,0.356678749
Polycrystalline,"Solid state reaction, air",62.0,700.0,0.004804282
Polycrystalline,Solid state reaction,62.0,700.0,0.050580993
Polycrystalline,Solid state reaction,62.0,300.0,0.026137018
Polycrystalline,Solid state reaction,15.0,300.0,0.026234732
Single crystal,"Czochralski method, argon",223.0,300.0,0.05839848
Polycrystalline,"Arc-melted, Ar",64.0,1000.0,0.025093971
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.001808913
Polycrystalline,"Solid state reaction, air",139.0,1000.0,0.011049908
Polycrystalline,"Melted, Ar",225.0,700.0,0.168840415
Polycrystalline,Magnetic levitation induction furnace,216.0,400.0,0.07005719
Polycrystalline,"Arc melted, Ar",216.0,300.0,0.005134142
Polycrystalline,"Solid state reaction, air",2.0,1000.0,0.04224856
Polycrystalline,Solid state reaction,206.0,700.0,0.092961144
Polycrystalline,"Solid state reaction, Ar",221.0,1000.0,0.195461682
Polycrystalline,"Arc-melted, Ar",216.0,700.0,1.016372274
Polycrystalline,Co-precipitation,62.0,400.0,0.019260696
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.50190418
Polycrystalline,Co-precipitation,62.0,1000.0,0.220343013
Polycrystalline,"Solid state reaction, air",12.0,700.0,0.084875265
Polycrystalline,"Solid state reaction, Ar",62.0,400.0,0.006750055
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.103044764
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,700.0,0.812013631
Polycrystalline,"Solid state reaction, Ar",221.0,700.0,0.160048392
Polycrystalline,Solid state reaction,62.0,1000.0,0.141281
Polycrystalline,"Solid state reaction, air",2.0,400.0,0.00312239
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.010828673
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,400.0,0.182797798
Polycrystalline,"Solid state reaction, Ar",167.0,300.0,0.325550215
Polycrystalline,Sparks plasma sintering,225.0,400.0,0.364979
Polycrystalline,Solid state reaction,62.0,400.0,0.01132081
Polycrystalline,"Solid state reaction, Ar",62.0,700.0,0.297984496
Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,1000.0,0.845526008
Polycrystalline,Solid state reaction,62.0,1000.0,0.101172463
Polycrystalline,"Solid state reaction, air",12.0,700.0,0.136881754
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.539039134
Polycrystalline,Solid state reaction,62.0,400.0,0.001247231
Polycrystalline,"Solid state reaction, air",186.0,700.0,0.112228538
Polycrystalline,Solid state reaction,62.0,700.0,0.050077248
Single crystal,Melted,12.0,300.0,0.162121393
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.620411774
Polycrystalline,"Solid state reaction, Ar",62.0,300.0,0.002050394
Polycrystalline,"Solid state reaction, air",139.0,400.0,0.000516571
Polycrystalline,"Solid state reaction, Ar",221.0,300.0,0.004141796
Polycrystalline,Solid state reaction,62.0,400.0,0.020104787
Polycrystalline,"Solid state reaction, Ar",167.0,300.0,0.251703686
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,400.0,0.198167011
Polycrystalline,Solid state reaction,225.0,1000.0,0.063968983
Single crystal,Floating zone melting,216.0,300.0,0.084685557
Polycrystalline,"Melted, vacuum",225.0,400.0,0.132542468
Polycrystalline,"Solid state reaction, air",12.0,300.0,0.026569797
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.365565734
Polycrystalline,"Solid state reaction, air",62.0,300.0,0.001753013
Polycrystalline,Solid state reaction,15.0,300.0,0.016495189
Polycrystalline,Spark plasma sintering,10.0,700.0,0.036878464
Polycrystalline,Solid state reaction,206.0,300.0,0.005590487
Single crystal,"Flux (Sn), Ar",142.0,700.0,0.340484029
Polycrystalline,Solid state reaction,62.0,1000.0,0.03329024
Polycrystalline,Melted,167.0,700.0,1.282285985
Polycrystalline,Melted,225.0,700.0,1.502553777
Polycrystalline,Solid state reaction,62.0,300.0,0.007932122
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.005199749
Polycrystalline,Solid state reaction,206.0,300.0,0.008831211
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.000654096
Single crystal,"Czochralski method, He",223.0,300.0,0.04894993
Polycrystalline,Solid state reaction,204.0,700.0,1.385962072
Polycrystalline,Solid state reaction,62.0,300.0,0.00379719
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.006125187
Polycrystalline,"Solid state reaction, air",186.0,1000.0,0.074607606
Polycrystalline,Arc melting,223.0,700.0,0.411440231
Polycrystalline,"Templated grain growth, air, anneal P(O2) = 10$^{-14}$",100.0,400.0,0.059052551
Polycrystalline,Solid state reaction,225.0,700.0,0.014790072
Polycrystalline,"Solid state reaction, air",62.0,700.0,0.090646689
Single crystal,Melted,166.0,300.0,0.1875
Polycrystalline,Solid state reaction,62.0,300.0,0.005877928
Polycrystalline,"Solid state reaction, Ar",223.0,400.0,0.120934761
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.603500311
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.121054378
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.475062535
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.174659813
Polycrystalline,Solid state reaction,206.0,700.0,0.038004955
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.002820619
Polycrystalline,Solid state reaction,204.0,300.0,0.380118325
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.064001427
Single crystal,Melted,166.0,300.0,0.975
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.068003082
Polycrystalline,Solid state reaction,62.0,1000.0,0.199082397
Polycrystalline,Solid state reaction,206.0,300.0,0.012204602
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,400.0,0.290927128
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.338827093
Polycrystalline,Solid state reaction,62.0,400.0,0.022586208
Polycrystalline,"Melted, vacuum",225.0,300.0,0.154463207
Polycrystalline,"Melted, Ar",225.0,300.0,0.010140438
Polycrystalline,Melted,225.0,400.0,0.28172853
Polycrystalline,"Arc-melted, Ar",216.0,700.0,1.263615091
Polycrystalline,"Solid state reaction, air",139.0,1000.0,0.003009932
Polycrystalline,"Solid state reaction, air",12.0,400.0,0.047717381
Polycrystalline,"Melted, zone refined",140.0,400.0,0.999677445
Polycrystalline,Arc melting,223.0,1000.0,0.962666667
Single crystal,"Flux (Sn), Ar",142.0,1000.0,0.822909213
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.01097686
Polycrystalline,Solid state reaction,225.0,1000.0,0.02826674
Polycrystalline,Solid state reaction,206.0,400.0,0.011785614
Polycrystalline,Ultrasonic spray pyrolysis,62.0,1000.0,0.144503757
Polycrystalline,Solid state reaction,62.0,400.0,0.010513925
Polycrystalline,Solid state reaction,206.0,400.0,0.02235983
Polycrystalline,"Solid state reaction, air",12.0,700.0,0.103141844
Polycrystalline,Melted,225.0,400.0,0.216602878
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.00080099
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.006182272
Polycrystalline,"Solid state reaction, air",186.0,400.0,0.000267412
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.199618299
Polycrystalline,Melting,225.0,300.0,0.0687154
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.000292025
Single crystal,"Floating zone method, Ar",31.0,300.0,0.003877551
Polycrystalline,"Solid state reaction, air",186.0,700.0,0.089681724
Single crystal,Solid state reaction + extra,,700.0,0.3597171
Single crystal,Floating zone melting,216.0,300.0,0.050251597
Polycrystalline,Solid state reaction,62.0,700.0,0.02025961
Polycrystalline,"Melted, inert",223.0,400.0,0.15617284
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.024064225
Polycrystalline,Melted,167.0,300.0,0.088764151
Polycrystalline,"Solid state reaction, air",139.0,300.0,0.003200812
Polycrystalline,Solid state reaction,204.0,400.0,0.296861717
Polycrystalline,Solid state reaction,62.0,1000.0,0.0457147
Polycrystalline,"Melted, inert",167.0,700.0,1.286961011
Single crystal,"Melted, air",12.0,300.0,0.559473882
Polycrystalline,"Melted, vacuum",204.0,300.0,0.134070829
Polycrystalline,"Solid state reaction, Ar",221.0,700.0,0.039679604
Polycrystalline,Solid state reaction,204.0,700.0,1.504651502
Polycrystalline,"Solid state reaction, Ar",62.0,400.0,0.021028529
Polycrystalline,Solid state reaction,62.0,700.0,0.048845628
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.116775879
Single crystal,"Flux (NaCl), air",194.0,700.0,0.540286341
Polycrystalline,Solid state reaction,225.0,700.0,0.024636562
Polycrystalline,"Arc melted, Ar",216.0,300.0,0.039441739
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.721599719
Polycrystalline,Solid state reaction,225.0,1000.0,0.017497599
Polycrystalline,"Melted, Ar",225.0,300.0,0.032536455
Polycrystalline,"Melted, inert",223.0,300.0,0.05085044
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.043562128
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.006030526
Polycrystalline,"Solid state reaction, air",186.0,1000.0,0.000749156
Polycrystalline,Solid state reaction,62.0,700.0,0.0829136
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,700.0,0.277944192
Polycrystalline,"Solid state reaction, air",139.0,300.0,0.00019646
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.152467292
Polycrystalline,"Arc melted, Ar",216.0,400.0,0.018352111
Polycrystalline,Solid state reaction,204.0,300.0,0.485042171
Single crystal,"Czochralski method, He",223.0,400.0,0.101186968
Polycrystalline,"Solid state reaction, Ar",221.0,300.0,1.58952e-06
Polycrystalline,"Arc melted, Ar",216.0,400.0,0.092641543
Polycrystalline,"Solid state reaction, air",186.0,300.0,0.00783126
Polycrystalline,Solid state reaction,15.0,300.0,0.00788839
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.141466893
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.0168798
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.155117618
Polycrystalline,Solid state reaction,62.0,700.0,0.041301192
Polycrystalline,Arc melting,223.0,1000.0,0.668168
Polycrystalline,Melted,225.0,300.0,0.062528934
Polycrystalline,"Mechanochemical, Ar",225.0,400.0,0.194186052
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.006910325
Polycrystalline,"Solid state reaction, Ar",140.0,1000.0,0.337735156
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.465705367
Polycrystalline,"Solid state reaction, Ar",62.0,1000.0,0.694694118
Polycrystalline,"Solid state reaction, air",139.0,400.0,0.00434609
Polycrystalline,"Solid state reaction, Ar",62.0,300.0,0.008698978
Polycrystalline,"Bridgman method, Ar-H gas",225.0,300.0,0.107640564
Polycrystalline,Melted,225.0,300.0,0.107163649
Polycrystalline,Solid state reaction (under oxygen),62.0,400.0,0.035093259
Polycrystalline,"Arc-melted, Ar",64.0,300.0,0.00404932
Polycrystalline,Solid state reaction,62.0,700.0,0.02553619
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.003295691
Polycrystalline,"Solid state reaction, Ar",221.0,400.0,0.008981679
Single crystal,Melted,166.0,700.0,1.384355066
Polycrystalline,"Solid state reaction, air",139.0,1000.0,0.007630344
Polycrystalline,Solid state reaction,62.0,1000.0,0.058867739
Polycrystalline,Solid state reaction,206.0,1000.0,0.242663763
Polycrystalline,"Solid state reaction, air",186.0,300.0,0.02016133
Polycrystalline,"Solid state reaction, air",186.0,300.0,0.002844301
Polycrystalline,"Solid state reaction, air",186.0,400.0,0.007800677
Polycrystalline,Solid state reaction,62.0,1000.0,0.060406906
Polycrystalline,"Solid state reaction, Ar",55.0,700.0,0.469577879
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, He/H2",225.0,1000.0,0.265043949
Polycrystalline,"Templated grain growth, air, anneal P(O2) = 10$^{-14}$",100.0,300.0,0.014075777
Single crystal,"Czochralski method, He",223.0,1000.0,0.736780716
Polycrystalline,"Arc-melted, Ar",216.0,700.0,0.949138206
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.4288356
Polycrystalline,Vacuum hot pressed,227.0,400.0,0.145604448
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.001935215
Polycrystalline,Solid state reaction,62.0,300.0,0.012433026
Polycrystalline,"Solid state reaction, air",12.0,1000.0,0.241256545
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.39819721
Polycrystalline,"Arc-melted, Ar",64.0,300.0,0.001984305
Polycrystalline,"Solid state reaction, air",12.0,1000.0,0.226762625
Single crystal,"Flux (SrCl2), air",12.0,700.0,0.372858721
Polycrystalline,"Arc-melted, Ar",64.0,1000.0,0.019782407
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,300.0,0.10643673
Single crystal,"Flux (SrCl2), air",12.0,300.0,0.068299098
Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,700.0,0.930169913
Polycrystalline,Melted,225.0,1000.0,1.636067789
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,700.0,0.748267895
Polycrystalline,Solid state reaction,62.0,1000.0,0.089158798
Polycrystalline,"Solid state reaction, vacuum",121.0,300.0,7.28576e-05
Polycrystalline,"Solid state reaction, Ar",167.0,700.0,1.044056216
Polycrystalline,Solid state reaction,206.0,300.0,0.009632278
Polycrystalline,Solid state reaction,62.0,400.0,0.00976228
Polycrystalline,Ultrasonic spray pyrolysis,62.0,300.0,0.01944
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.078795216
Polycrystalline,"Solid state reaction, Ar",221.0,1000.0,0.041526869
Polycrystalline,"Solid state reaction, air",2.0,700.0,0.016487796
Single crystal,"Flux (Sn), Ar",142.0,400.0,0.096379224
Polycrystalline,"Mechanochemical, Ar",225.0,300.0,0.056889344
Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,700.0,0.55966257
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.176078649
Polycrystalline,"Arc-melted, Ar",216.0,700.0,1.419170654
Polycrystalline,Melted,225.0,300.0,0.079250912
Polycrystalline,Solid state reaction,62.0,700.0,0.079617332
Polycrystalline,Solid state reaction,206.0,1000.0,0.242294205
Polycrystalline,"Solid state reaction, Ar",221.0,300.0,0.005849969
Polycrystalline,"Solid state reaction, air",186.0,700.0,0.015658013
Polycrystalline,"Solid state reaction, Ar",167.0,300.0,0.298944741
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.073515711
Polycrystalline,"Solid state reaction, air",167.0,400.0,0.002770165
Polycrystalline,"Solid state reaction, Ar",62.0,300.0,0.000469788
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.011602871
Polycrystalline,"Melted, Ar",225.0,400.0,0.021767518
Polycrystalline,"Solid state reaction, Ar",62.0,700.0,0.315744536
Single crystal,"Czochralski method, argon",223.0,1000.0,1.401404207
Polycrystalline,Solid state reaction,62.0,400.0,0.039848239
Polycrystalline,"Mechanochemical, Ar",225.0,700.0,0.436870906
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.004207081
Polycrystalline,"Solid state reaction, Ar",140.0,300.0,0.005392806
Polycrystalline,"Solid state reaction, air",62.0,1000.0,0.012337283
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.014529805
Polycrystalline,"Melted, vacuum",225.0,700.0,0.735901639
Polycrystalline,"Solid state reaction, air",186.0,300.0,0.011779875
Polycrystalline,"Arc-melted, Ar",64.0,1000.0,0.006710396
Polycrystalline,Solid state reaction,225.0,700.0,0.001458067
Polycrystalline,Solid state reaction (under oxygen),74.0,400.0,0.023313772
Single crystal,Floating zone melting,216.0,1000.0,0.122572444
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.509801867
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.143755415
Polycrystalline,Solid state reaction,15.0,300.0,0.048140749
Polycrystalline,Solid state reaction,62.0,1000.0,0.091024352
Polycrystalline,"Arc-melted, Ar",64.0,700.0,0.0225
Polycrystalline,"Mechanochemical, Ar",225.0,300.0,0.055522276
Polycrystalline,Melted,225.0,1000.0,1.703161584
Polycrystalline,"Solid state reaction, vacuum",2.0,400.0,0.025225214
Polycrystalline,Solid state reaction,62.0,1000.0,0.120991889
Polycrystalline,Solid state reaction,11.0,300.0,0.00521868
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.00197087
Polycrystalline,"Melted, Ar",225.0,700.0,0.113164591
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.113786134
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.140320851
Polycrystalline,"Solid state reaction, air",12.0,400.0,0.02747162
Polycrystalline,"Solid state reaction, air",62.0,300.0,0.008282179
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.678
Polycrystalline,Co-precipitation,62.0,300.0,0.00787002
Polycrystalline,"Melted, vacuum",225.0,400.0,0.273506928
Polycrystalline,"Melted, Ar",225.0,700.0,0.403854651
Polycrystalline,Solid state reaction (under oxygen),62.0,300.0,0.017568967
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.414473123
Polycrystalline,Solid state reaction,62.0,1000.0,0.063883122
