composition,a,c,d_mx,d_ma,target
Hf2CdC,3.293,15.15,1.237,2.551,119.0
Hf2CdN,3.27,14.69,1.204,2.468,136.0
Hf2InC,3.327,14.87,1.218,2.499,131.0
Hf2InN,3.245,14.87,1.25,2.467,147.0
Hf2SnC,3.341,14.52,1.227,2.4019999999999997,139.0
Hf2SnN,3.265,14.59,1.248,2.399,152.0
Hf2TlC,3.346,14.87,1.207,2.51,129.0
Hf2TlN,3.2689999999999997,14.88,1.235,2.484,142.0
Hf2PbC,3.3789999999999996,14.71,1.196,2.483,126.0
Hf2PbN,3.305,14.8,1.219,2.4819999999999998,134.0
Ta2AlC,3.102,13.95,1.256,2.231,193.0
Ta2AlN,2.984,14.49,1.382,2.241,217.0
Ta2SiC,3.234,12.32,1.193,1.8880000000000001,226.0
Ta2SiN,3.242,12.09,1.157,1.8659999999999999,230.0
Ta2PC,3.304,11.56,1.15,1.74,243.0
Ta2PN,3.157,12.24,1.32,1.7409999999999999,255.0
Ta2SC,3.305,11.67,1.102,1.815,206.0
Ta2SN,3.102,12.55,1.3430000000000002,1.7930000000000001,246.0
Ta2GaC,3.133,13.62,1.229,2.176,194.0
Ta2GaN,2.9819999999999998,14.45,1.3869999999999998,2.226,223.0
Ta2GeC,3.265,12.49,1.159,1.964,206.0
Ta2GeN,3.275,12.22,1.124,1.932,217.0
Ta2AsC,3.344,11.93,1.117,1.865,219.0
Ta2AsN,3.332,11.89,1.091,1.882,216.0
Ta2CdC,3.15,14.69,1.202,2.47,168.0
Ta2CdN,3.137,14.55,1.1840000000000002,2.4530000000000003,168.0
Ta2InC,3.176,14.5,1.2009999999999998,2.423,175.0
Ta2InN,3.182,14.26,1.1640000000000001,2.4,172.0
Ta2SnC,3.273,13.76,1.136,2.3040000000000003,176.0
Ta2SnN,3.281,13.53,1.093,2.29,176.0
Ta2TlC,3.216,14.48,1.168,2.452,165.0
Ta2TlN,3.34,13.5,1.023,2.353,136.0
Ta2PbC,3.3169999999999997,13.97,1.1,2.3930000000000002,135.0
Ta2PbN,3.392,13.44,0.997,2.362,130.0
W2AlC,3.013,13.68,1.2429999999999999,2.176,214.0
W2SiC,3.15,12.22,1.148,1.906,251.0
W2PC,3.272,11.27,1.0590000000000002,1.758,242.0
W2PN,3.367,10.8,0.951,1.75,230.0
W2GaC,3.0869999999999997,13.15,1.1740000000000002,2.115,211.0
W2GeC,3.18,12.44,1.119,1.99,234.0
W2AsC,3.298,11.8,1.03,1.92,227.0
W2AsN,3.391,11.31,0.93,1.896,213.0
W2CdC,3.05,14.63,1.189,2.468,179.0
W2CdN,2.8680000000000003,15.83,1.436,2.521,226.0
W2InC,3.141,14.02,1.131,2.375,187.0
W2SnC,3.205,13.54,1.1,2.2840000000000003,200.0
W2TlC,3.1919999999999997,14.01,1.091,2.412,171.0
W2TlN,3.3489999999999998,13.18,0.9209999999999999,2.375,145.0
W2PbN,3.391,13.07,0.917,2.351,125.0
