composition,heusler type,num_electron,struct type,latt const,tetragonality,target
Mn2TiSn,Full Heusler,22,L21,6.13,1.0,1.9841
Mn2TiP,Full Heusler,23,L21,5.6621,1.0001,0.0044
Mn2TiAs,Full Heusler,23,L21,5.82,1.0,0.9519
Mn2TiSb,Full Heusler,23,L21,6.07,1.0,0.976
Mn2VAl,Full Heusler,22,L21,5.8019,0.9994,1.9994
Mn2VGa,Full Heusler,22,L21,5.8044,1.001,1.9786
Mn2VIn,Full Heusler,22,L21,6.25,1.0,4.1104
Mn2VSi,Full Heusler,23,L21,5.65,1.0,0.9657
Mn2VGe,Full Heusler,23,L21,5.75,1.0,0.9628
Mn2VSn,Full Heusler,23,L21,6.01,1.0,0.9941
Mn2VP,Full Heusler,24,L21,5.5664,0.9999,0.0018
Mn2VAs,Full Heusler,24,L21,5.7203,0.9994,0.0
Mn2VSb,Full Heusler,24,L21,5.9686,0.9999,0.0
Mn2CrAl,Full Heusler,23,L21,5.72,1.0,1.0406
Mn2CrGa,Full Heusler,23,D022,5.4019,1.2832,2.7269
Mn2CrIn,Full Heusler,23,L21,6.31,1.0,3.7636
Mn2CrSi,Full Heusler,24,L21,5.5899,0.9988,0.0002
Mn2CrGe,Full Heusler,24,L21,5.72,1.0,0.0156
Mn2CrSn,Full Heusler,24,D022,5.61,1.3316,2.028
Mn2CrP,Full Heusler,25,L21,5.55,1.0,1.0108
Mn2CrAs,Full Heusler,25,D022,5.2188,1.4032,1.4207
Mn2CrSb,Full Heusler,25,D022,5.52,1.3623,1.1809
Mn2MnAl,Full Heusler,24,D022,5.3644,1.307,1.7039
Mn2MnGa,Full Heusler,24,D022,5.35,7.09,1.7624
Mn2MnIn,Full Heusler,24,D022,5.6,1.3464,1.9188
Mn2MnSi,Full Heusler,25,L21,5.64,1.0,1.0071
Mn2MnGe,Full Heusler,25,D022,5.2882,1.3430000000000002,0.9943
Mn2MnSn,Full Heusler,25,D022,5.5637,1.3377,1.0435
Mn2MnP,Full Heusler,26,L21,5.55,1.0,2.0003
Mn2MnAs,Full Heusler,26,L21,5.71,1.0,2.002
Mn2MnSb,Full Heusler,26,D022,5.4041,1.4378,1.133
Mn2FeAl,Full Heusler,25,D022,5.2194,1.3645,5.1686
Mn2FeGa,Full Heusler,25,L21,5.87,1.0,7.3108
Mn2FeIn,Full Heusler,25,L21,6.16,1.0,8.0256
Mn2FeSi,Full Heusler,26,L21,5.599,1.0002,2.104
Mn2FeGe,Full Heusler,26,D022,5.3788,1.2613,6.4483
Mn2FeSn,Full Heusler,26,D022,5.75,1.2104,7.3279
Mn2FeP,Full Heusler,27,L21,5.55,1.0,2.8161
Mn2FeAs,Full Heusler,27,D022,5.0395,1.4881,2.2138
Mn2FeSb,Full Heusler,27,D022,5.2938,1.4767,7.1437
Mn2CoAl,Full Heusler,26,L21,5.89,1.0,7.5559
Mn2CoGa,Full Heusler,26,L21,5.91,1.0,7.7951
Mn2CoIn,Full Heusler,26,L21,6.19,1.0,8.1582
Mn2CoSi,Full Heusler,27,D022,4.8959,1.4978,2.1643
Mn2CoGe,Full Heusler,27,L21,5.86,1.0,7.1538
Mn2CoSn,Full Heusler,27,D022,5.5362,1.3506,7.3015
Mn2CoP,Full Heusler,28,L21,5.5092,0.9993,0.3986
Mn2CoAs,Full Heusler,28,D022,5.1779,1.3982,5.8381
Mn2CoSb,Full Heusler,28,D022,5.4292,1.4102,6.874
Mn2NiAl,Full Heusler,27,L21,5.92,1.0,6.8174
Mn2NiGa,Full Heusler,27,D022,5.3911,1.3223,6.6725
Mn2NiIn,Full Heusler,27,L21,6.25,1.0,7.7576
Mn2NiSi,Full Heusler,28,D022,5.1434,1.3706,4.9589
Mn2NiGe,Full Heusler,28,D022,5.2653,1.3665,5.6529
Mn2NiSn,Full Heusler,28,D022,5.4657,1.4094,6.3444
Mn2NiP,Full Heusler,29,L21,5.53,1.0,0.0001
Mn2NiAs,Full Heusler,29,D022,5.2002,1.4034,5.3638
Mn2NiSb,Full Heusler,29,D022,5.3953,1.4396,5.8538
Fe2ScAl,Full Heusler,22,L21,6.02,1.0,1.9221
Fe2ScGa,Full Heusler,22,L21,6.01,1.0,1.9142
Fe2ScIn,Full Heusler,22,L21,6.37,1.0,3.8266
Fe2ScSi,Full Heusler,23,L21,5.85,1.0,0.9336
Fe2ScGe,Full Heusler,23,L21,5.95,1.0,0.9044
Fe2ScSn,Full Heusler,23,L21,6.2048,1.0005,0.8989
Fe2ScP,Full Heusler,24,L21,5.75,1.0,0.0
Fe2ScAs,Full Heusler,24,L21,5.9,1.0,0.0
Fe2ScSb,Full Heusler,24,L21,6.15,1.0,0.0002
Fe2TiAl,Full Heusler,23,L21,5.82,1.0,0.9442
Fe2TiGa,Full Heusler,23,L21,5.83,1.0,0.9086
Fe2TiIn,Full Heusler,23,L21,6.07,1.0,0.9466
Fe2TiSi,Full Heusler,24,L21,5.685,1.0001,0.0
Fe2TiGe,Full Heusler,24,L21,5.78,1.0,0.0
Fe2TiSn,Full Heusler,24,L21,6.0338,1.0,0.0007
Fe2TiP,Full Heusler,25,L21,5.65,1.0,1.0
Fe2TiAs,Full Heusler,25,L21,5.8,1.0,1.0
Fe2TiSb,Full Heusler,25,L21,6.04,1.0,1.0022
Fe2VAl,Full Heusler,24,L21,5.6925,1.0001,0.0
Fe2VGa,Full Heusler,24,L21,5.7084,1.0,0.0
Fe2VIn,Full Heusler,24,L21,5.9606,0.9999,0.0
Fe2VSi,Full Heusler,25,L21,5.61,1.0,0.8056
Fe2VGe,Full Heusler,25,D022,5.59,1.0698,0.8652
Fe2VSn,Full Heusler,25,L21,5.98,1.0,0.882
Fe2VP,Full Heusler,26,D022,5.181,1.2439,0.0
Fe2VAs,Full Heusler,26,D022,5.3037,1.253,0.0
Fe2VSb,Full Heusler,26,L21,5.99,1.0,1.8343
Fe2CrAl,Full Heusler,25,L21,5.6599,1.0,0.9978
Fe2CrGa,Full Heusler,25,L21,5.68,1.0,1.0013
Fe2CrIn,Full Heusler,25,D022,5.462000000000001,1.3928,0.912
Fe2CrSi,Full Heusler,26,D022,5.4678,1.0659,2.0
Fe2CrGe,Full Heusler,26,D022,5.62,1.0409,2.0
Fe2CrSn,Full Heusler,26,L21,5.9688,0.9999,2.0011
Fe2CrP,Full Heusler,27,D022,5.062,1.3152,1.0625
Fe2CrAs,Full Heusler,27,D022,5.22,1.3065,0.1825
Fe2CrSb,Full Heusler,27,D022,5.756,1.1068,3.0
Fe2MnAl,Full Heusler,26,L21,5.6711,1.0002,0.0001
Fe2MnGa,Full Heusler,26,L21,5.6969,1.0001,2.0329
Fe2MnIn,Full Heusler,26,D022,5.4,1.4278,0.2034
Fe2MnSi,Full Heusler,27,L21,5.5942,0.9951,3.0
Fe2MnGe,Full Heusler,27,D022,5.7226,0.9839,3.0081
Fe2MnSn,Full Heusler,27,L21,5.9606,0.9992,5.597
Fe2MnP,Full Heusler,28,L21,5.55,1.0,4.0
Fe2MnAs,Full Heusler,28,L21,5.7,1.0,4.006
Fe2MnSb,Full Heusler,28,L21,5.9479999999999995,0.9993,4.0661
Fe2FeAl,Full Heusler,27,L21,5.74,1.0,5.9605
Fe2FeGa,Full Heusler,27,D022,5.43,1.2118,6.6536
Fe2FeIn,Full Heusler,27,D022,5.65,1.2354,7.1541
Fe2FeSi,Full Heusler,28,L21,5.61,1.0,5.0667
Fe2FeGe,Full Heusler,28,L21,5.7155,0.9998,5.2807
Fe2FeSn,Full Heusler,28,L21,6.0127,1.0027,6.5086
Fe2FeP,Full Heusler,29,L21,5.5524,1.0001,5.0315
Fe2FeAs,Full Heusler,29,L21,5.74,1.0,5.763999999999999
Fe2FeSb,Full Heusler,29,L21,5.987,0.9995,6.0872
Fe2CoAl,Full Heusler,28,D022,5.056,1.4727,5.8097
Fe2CoGa,Full Heusler,28,L21,5.77,1.0,6.0409
Fe2CoIn,Full Heusler,28,L21,6.05,1.0,6.5959
Fe2CoSi,Full Heusler,29,L21,5.59,1.0,4.3846
Fe2CoGe,Full Heusler,29,D022,5.0578,1.4637,5.5796
Fe2CoSn,Full Heusler,29,D022,5.2541,1.4938,5.8411
Fe2CoP,Full Heusler,30,D022,5.4186,1.0599,3.7875
Fe2CoAs,Full Heusler,30,L21,5.72,1.0,4.848
Fe2CoSb,Full Heusler,30,D022,5.9538,1.0104,5.2371
Fe2NiAl,Full Heusler,29,D022,4.9494,1.5606,4.5692
Fe2NiGa,Full Heusler,29,D022,4.9986,1.5315,4.7697
Fe2NiIn,Full Heusler,29,D022,5.2056,1.5535,5.1293
Fe2NiSi,Full Heusler,30,D022,4.9287,1.5014,4.6756
Fe2NiGe,Full Heusler,30,D022,5.0188,1.5075,4.8274
Fe2NiSn,Full Heusler,30,D022,5.218999999999999,1.5298,4.9502
Fe2NiP,Full Heusler,31,D022,5.3607,1.1005,3.0197
Fe2NiAs,Full Heusler,31,D022,5.0354,1.5397,5.5457
Fe2NiSb,Full Heusler,31,D022,5.2267,1.54,5.3721
Ru2ScAl,Full Heusler,22,L21,6.2276,0.9991,0.0
Ru2ScGa,Full Heusler,22,L21,6.24,1.0,0.0002
Ru2ScIn,Full Heusler,22,L21,6.4522,1.0016,0.0002
Ru2ScSi,Full Heusler,23,L21,6.13,1.0,0.0
Ru2ScGe,Full Heusler,23,L21,6.216,0.9997,0.0
Ru2ScSn,Full Heusler,23,L21,6.4312,0.9997,0.0004
Ru2ScP,Full Heusler,24,L21,6.07,1.0,0.0
Ru2ScAs,Full Heusler,24,L21,6.2,1.0,0.0
Ru2ScSb,Full Heusler,24,L21,6.39,1.0,0.0
Ru2TiAl,Full Heusler,23,L21,6.0858,1.0002,0.0
Ru2TiGa,Full Heusler,23,L21,6.1,1.0,0.0
Ru2TiIn,Full Heusler,23,L21,6.314,0.9989,0.0001
Ru2TiSi,Full Heusler,24,L21,5.9958,1.0,0.0
Ru2TiGe,Full Heusler,24,L21,6.0797,1.0002,0.0
Ru2TiSn,Full Heusler,24,L21,6.29,1.0,0.0
Ru2TiP,Full Heusler,25,D022,5.7232,1.1477,0.0
Ru2TiAs,Full Heusler,25,D022,5.8325,1.1516,0.0
Ru2TiSb,Full Heusler,25,D022,6.0283,1.1435,0.0
Ru2VAl,Full Heusler,24,L21,5.9945,1.0,0.0
Ru2VGa,Full Heusler,24,L21,6.0142,1.0002,0.0
Ru2VIn,Full Heusler,24,L21,6.2309,0.9998,0.0
Ru2VSi,Full Heusler,25,L21,5.93,1.0,0.9479
Ru2VGe,Full Heusler,25,L21,6.0247,1.0005,1.0
Ru2VSn,Full Heusler,25,L21,6.24,1.0,0.0036
Ru2VP,Full Heusler,26,D022,5.55,1.218,0.0471
Ru2VAs,Full Heusler,26,L21,6.07,1.0,1.9280000000000002
Ru2VSb,Full Heusler,26,D022,5.8518,1.2114,0.0002
Ru2CrAl,Full Heusler,25,L21,5.9697,0.9999,1.071
Ru2CrGa,Full Heusler,25,L21,5.9937,1.0002,1.1539
Ru2CrIn,Full Heusler,25,L21,6.22,1.0,1.2682
Ru2CrSi,Full Heusler,26,L21,5.9221,1.0,2.0034
Ru2CrGe,Full Heusler,26,L21,6.0108,1.0001,2.0241
Ru2CrSn,Full Heusler,26,L21,6.24,1.0,2.0577
Ru2CrP,Full Heusler,27,L21,5.92,1.0,2.9699
Ru2CrAs,Full Heusler,27,L21,6.05,1.0,2.9478
Ru2CrSb,Full Heusler,27,L21,6.2258,1.0087,3.0034
Ru2MnAl,Full Heusler,26,L21,5.9759,0.9997,2.1106
Ru2MnGa,Full Heusler,26,L21,5.996,1.0,2.1457
Ru2MnIn,Full Heusler,26,L21,6.2306,0.9999,2.2152
Ru2MnSi,Full Heusler,27,L21,5.9166,0.9996,3.011
Ru2MnGe,Full Heusler,27,L21,6.0069,1.0001,3.0349
Ru2MnSn,Full Heusler,27,L21,6.2356,1.0,3.0859
Ru2MnP,Full Heusler,28,L21,5.91,1.0,3.9618
Ru2MnAs,Full Heusler,28,L21,6.04,1.0,3.9508
Ru2MnSb,Full Heusler,28,L21,6.24,1.0,4.0241
Ru2FeAl,Full Heusler,27,L21,5.98,1.0,3.1046
Ru2FeGa,Full Heusler,27,L21,5.9964,1.0005,3.1606
Ru2FeIn,Full Heusler,27,L21,6.23,1.0,3.2673
Ru2FeSi,Full Heusler,28,L21,5.91,1.0,3.9022
Ru2FeGe,Full Heusler,28,L21,6.01,1.0,4.0354
Ru2FeSn,Full Heusler,28,L21,6.23,1.0,4.147
Ru2FeP,Full Heusler,29,L21,5.8963,0.9982,4.1472
Ru2FeAs,Full Heusler,29,L21,6.02,1.0,4.2502
Ru2FeSb,Full Heusler,29,L21,6.22,1.0,4.388
Ru2CoAl,Full Heusler,28,L21,5.95,1.0,2.1645
Ru2CoGa,Full Heusler,28,L21,5.97,1.0,1.6152
Ru2CoIn,Full Heusler,28,L21,6.175,0.9969,0.2047
Ru2CoSi,Full Heusler,29,L21,5.87,1.0,1.9178
Ru2CoGe,Full Heusler,29,L21,5.96,1.0,1.9867
Ru2CoSn,Full Heusler,29,L21,6.1683,0.9986,3.0292
Ru2CoP,Full Heusler,30,L21,5.84,1.0,2.2273
Ru2CoAs,Full Heusler,30,L21,5.98,1.0,2.5327
Ru2CoSb,Full Heusler,30,L21,6.19,1.0,2.8044
Ru2NiAl,Full Heusler,29,L21,5.94,1.0,0.0
Ru2NiGa,Full Heusler,29,L21,5.956,1.0002,0.0001
Ru2NiIn,Full Heusler,29,L21,6.183,1.0025,0.4478
Ru2NiSi,Full Heusler,30,L21,5.8584,0.9999,0.2722
Ru2NiGe,Full Heusler,30,L21,5.9512,0.9999,0.4651
Ru2NiSn,Full Heusler,30,L21,6.19,1.0,1.798
Ru2NiP,Full Heusler,31,L21,5.8253,0.9997,0.0001
Ru2NiAs,Full Heusler,31,L21,5.96,1.0,0.0008
Ru2NiSb,Full Heusler,31,L21,6.18,1.0,1.6166
Co2ScAl,Full Heusler,24,L21,5.97,1.0,0.0001
Co2ScGa,Full Heusler,24,L21,5.97,1.0,0.0001
Co2ScIn,Full Heusler,24,L21,6.21,1.0,0.0
Co2ScSi,Full Heusler,25,L21,5.87,1.0,1.0
Co2ScGe,Full Heusler,25,L21,5.9621,0.9999,1.0143
Co2ScSn,Full Heusler,25,L21,6.21,1.0,1.0378
Co2ScP,Full Heusler,26,L21,5.8344,0.9996,2.0
Co2ScAs,Full Heusler,26,L21,5.99,1.0,1.9969999999999999
Co2ScSb,Full Heusler,26,L21,6.22,1.0,2.0
Co2TiAl,Full Heusler,25,L21,5.83,1.0,1.0
Co2TiGa,Full Heusler,25,L21,5.83,1.0,1.0005
Co2TiIn,Full Heusler,25,L21,6.07,1.0,1.0284
Co2TiSi,Full Heusler,26,L21,5.75,1.0,2.0
Co2TiGe,Full Heusler,26,L21,5.8394,1.0006,2.0
Co2TiSn,Full Heusler,26,L21,6.09,1.0,2.0
Co2TiP,Full Heusler,27,D022,5.22,1.2989,0.9248
Co2TiAs,Full Heusler,27,D022,5.38,1.2770000000000001,0.9743
Co2TiSb,Full Heusler,27,D022,5.78,1.1574,1.2418
Co2VAl,Full Heusler,26,L21,5.74,1.0,1.9985
Co2VGa,Full Heusler,26,L21,5.7561,1.0,2.0
Co2VIn,Full Heusler,26,L21,6.0,1.0,2.0031
Co2VSi,Full Heusler,27,D022,5.21,1.2687,0.9313
Co2VGe,Full Heusler,27,D022,5.2646,1.2922,0.9229999999999999
Co2VSn,Full Heusler,27,L21,6.02,1.0,3.0
Co2VP,Full Heusler,28,D022,4.9881,1.4113,0.0001
Co2VAs,Full Heusler,28,D022,5.1288,1.4031,0.0002
Co2VSb,Full Heusler,28,L21,6.02,1.0,3.6913
Co2CrAl,Full Heusler,27,L21,5.704,1.0001,3.0
Co2CrGa,Full Heusler,27,L21,5.7241,0.9986,3.0259
Co2CrIn,Full Heusler,27,L21,5.98,1.0,3.165
Co2CrSi,Full Heusler,28,L21,5.6335,0.9995,4.0
Co2CrGe,Full Heusler,28,L21,5.74,1.0,4.0
Co2CrSn,Full Heusler,28,L21,5.99,1.0,4.019
Co2CrP,Full Heusler,29,D022,4.95,1.4121,1.2939
Co2CrAs,Full Heusler,29,D022,5.1204,1.389,1.3838
Co2CrSb,Full Heusler,29,L21,6.0086,1.0001,5.0
Co2MnAl,Full Heusler,28,L21,5.7,1.0,4.0235
Co2MnGa,Full Heusler,28,L21,5.7183,1.0002,4.0987
Co2MnIn,Full Heusler,28,L21,5.9839,0.9998,4.4315
Co2MnSi,Full Heusler,29,L21,5.6301,0.9997,5.0
Co2MnGe,Full Heusler,29,L21,5.7347,1.0002,5.0
Co2MnSn,Full Heusler,29,L21,5.99,1.0,5.0283
Co2MnP,Full Heusler,30,L21,5.6382,0.9995,5.9999
Co2MnAs,Full Heusler,30,L21,5.7963,0.9988,5.9966
Co2MnSb,Full Heusler,30,L21,6.018,1.0011,6.0
Co2FeAl,Full Heusler,29,L21,5.7,1.0,4.9910000000000005
Co2FeGa,Full Heusler,29,L21,5.72,1.0,5.0109
Co2FeIn,Full Heusler,29,L21,5.98,1.0,5.1132
