composition,target
NdNi,-0.2591
NdNi5,-0.2715
NdRu2,-0.1948
Nd5Ru2,-0.1783
NdRh,-0.6654
NdRh2,-0.6208
NdRh3,-0.4602
Nd5Rh4,-0.6208
NdPd,-0.8001
NdPd3,-0.7597
NdIr2,-0.7006
Nd5Ir3,-0.6187
NdPt,-1.082
NdPt2,-1.0147
NdPt5,-0.57
NiPt,-0.0406
TiNi,-0.3749
PrNi,-0.2912
PrNi5,-0.2653
SmNi,-0.3773
SmNi5,-0.284
TbNi,-0.3814
TbNi5,-0.284
TmNi,-0.4809
TmNi5,-0.3016
TiNi3,-0.4374
TiNi,-0.3431
Ni7Zr2,-0.4208
ZrNi,-0.5234
Zr2Ni,-0.3234
VNi3,-0.2249
TaNi3,-0.2114
YOs2,-0.257
OsTi,-0.71
PrPd,-0.8167
Pd2Pr,-0.8571
SmPd,-0.8540000000000001
Pd4Sm3,-0.9038
Pd3Sm,-0.8592
TbPd,-0.883
Pd4Tb3,-0.8861
Pd3Tb,-0.8167
TmPd,-0.9597
TmPd3,-0.8996
YPd,-0.9836
Pd4Y3,-0.9618
YPd3,-0.8188
TiPd3,-0.6737
TaPd3,-0.3741
UPd3,-0.7638
UPd3,-0.741
TiPd,-0.5348
TiPd,-0.5524
Pd3Zr,-0.8747
ZrPd,-0.6353
ZrPd,-0.6851
PrRu2,-0.1752
PrRh2,-0.626
PrPt,-1.0717
PrPt2,-0.9691
SmPt,-1.1266
SmPt2,-1.0385
TbPt,-1.1991
TbPt2,-1.0022
Pt3Tb,-0.8872
PtTm,-1.2541
TmPt2,-1.1649
Pt3Tm,-0.9442
YPt,-1.0779
YPt3,-0.9007
VPt3,-0.284
VPt2,-0.3856
TiPt,-0.826
TiPt,-0.94
ZrPt,-0.995
ZrPt,-1.0789
SmRh2,-0.6789
Rh3Sm4,-0.6892
TbRh,-0.7493
TbRh2,-0.6675
TmRh,-0.9214
TmRh2,-0.7566
YRh,-0.7887
YRh2,-0.6778
ZrRh,-0.7866
RhZr,-0.8188
URh3,-0.7224
TiRh,-0.741
TiRh,-0.7711
Ru2Tb,-0.2446
Ru2Tb5,-0.3099
Ru2.Y5,-0.2829
ZrRu,-0.7120000000000001
TiRu,-0.7979999999999999
URu3,-0.3213
HfRu,-0.9514
Fe2Sc,-0.1161
ScCo2,-0.3368
Sc2Co,-0.2767
ScNi,-0.4633
ScNi2,-0.4457
ScRu,-0.4612
ScRh,-0.9794
ScIr,-0.9297
ScRh3,-0.5358
ScPd,-0.9255
ScIr2,-0.6871
ScPt,-1.0862
ScPt3,-0.9805
Tm4Pd5,-0.9639
AlB12,-0.1182
AlMn4,-0.1565
AlMo3,-0.2311
Nb3Al,-0.142
AlPt3,-0.6592
AlPd2,-0.9048
AlRe2,-0.3068
Ta2Al,-0.2062
Al2Mn3,-0.2425
Y3Al2,-0.4146
AlFe,-0.2436
HfAl,-0.4135
AlNi,-0.6042
AlPt,-1.0385
AlPt,-1.0116
AlRh,-1.1017
AlRu,-0.6436
ScAl,-0.426
Al4C3,-0.1897
Al3Pt2,-1.0001
Al8Cr5,-0.1752
Al8V5,-0.3524
ScAl1.78,-0.4944
HfAl2,-0.45399999999999996
LaAl2,-0.5172
LuAl2,-0.5452
Al2Os,-0.4654
YAl2,-0.5224
ZrAl2,-0.54
Al8Mo3,-0.342
Al11Re4,-0.3576
ZrAl3,-0.5016
HfAl3,-0.4208
NbAl3,-0.4198
TaAl3,-0.3099
TiAl3,-0.3793
Al3V,-0.2881
Al11La3,-0.3887
Al4W,-0.1461
Co2B,-0.2011
Fe2B,-0.2342
Mn2B,-0.3285
Ni2B,-0.2342
BPt2,-0.2073
CoB,-0.3607
FeB,-0.3348
MnB,-0.371
BMo,-0.2975
NiB,-0.2083
NiB,-0.2145
RhB1.1,-0.3679
RuB1.1,-0.2301
B4Ir3,-0.2166
CrB2,-0.4125
DyB2,-0.313
ErB2,-0.2829
HoB2,-0.2892
LuB2,-0.3089
MnB2,-0.2187
NbB2,-0.625
ReB2,-0.2228
ScB2,-1.0603
TaB2,-0.5524
TbB2,-0.3545
TiB2,-1.1349
TmB2,-0.3171
VB2,-0.7328
YB2,-0.37
B5Gd2,-0.4467
B5Nd2,-0.4032
B5Os2,-0.1182
B5Pd2,-0.2653
B5W2,-0.1814
CeB4,-0.5545
LaB4,-0.5255
NdB4,-0.5524
PrB4,-0.5503
YB4,-0.5421
LaB6,-0.5928
PrB6,-0.5317
C2Mn5,-0.0922
C2Mn5,-0.1036
C3Cr7,-0.1461
C3Mn7,-0.0943
Mo2C,-0.1202
CSc2,-0.4716
Y2C,-0.3296
C3V4,-0.4177
TiC,-0.9628
CeC2,-0.2633
DyC2,-0.2964
ErC2,-0.2985
GdC2,-0.257
HoC2,-0.2964
LaC2,-0.2819
LuC2,-0.2767
NdC2,-0.3026
PrC2,-0.3047
SmC2,-0.2664
TbC2,-0.255
C2Tm,-0.3265
CeSi2,-0.627
CeSi,-0.7369
Ce5Si3,-0.5472
Ga3Co,-0.3047
CoSi2,-0.3617
CoSi,-0.511
Co2Si,-0.3928
CrSi2,-0.2674
CrSi,-0.3545
Cr5Si3,-0.3482
Cr3Ga,-0.1223
Cr3Si,-0.2819
Cu3Si,-0.0632
DySi2,-0.5659
DySi,-0.7141
Dy5Si3,-0.6633
ErSi2,-0.6488
ErSi,-0.8799
Er5Si3,-0.7328
Ga3Fe,-0.257
FeSi,-0.4001
GaMo3,-0.172
GaPd2,-0.6675
Ti2Ga,-0.4042
Zr2Ga,-0.5535
Nb5Ga3,-0.2747
Sc5Ga3,-0.6156
GaNi,-0.4654
GaPd,-0.7421
GaRh,-0.7587
GaRu,-0.3669
YGa,-0.74
Ga2Ru,-0.4249
YGa2,-0.7058
Ga5V2,-0.172
Ga3Rh,-0.4654
TmGa3,-0.5027
GdSi2,-0.6115
GdSi,-0.7835
Gd5Si3,-0.7048
HfSi,-0.7348
Hf3Si2,-0.8291
HoSi2,-0.6022
HoSi,-0.8385
Ho5Si3,-0.7732
SiIr,-0.6612
SiIr,-0.6675
LaSi2,-0.5887
LaSi,-0.7659
La3Si2,-0.6384
La5Si3,-0.6229
LuSi,-0.8115
Lu5Si3,-0.7027
MnSi,-0.4084
Mn5Si3,-0.3524
Si2Mo,-0.4964
Si3Mo5,-0.3959
NbSi2,-0.5566
Nb5Si3,-0.6695
NdSi2,-0.6426
NdSi,-0.8157
Nd5Si3,-0.6457
SiNi,-0.4394
SiNi2,-0.5244
Ni5Si2,-0.4674
Si3Os2,-0.3161
SiOs,-0.4146
SiPd2,-0.6685
SiPd2,-0.6654
SiPd3,-0.6001
PrSi2,-0.6374
PrSi,-0.8094
Pr5Si3,-0.7006
SiPt,-0.6156
SiPt,-0.6177
SiPt2,-0.6395
SiPt2,-0.6561
Re2Si,-0.1316
SiRh,-0.7773
SiRh,-0.7856
SiRh2,-0.6623
Si3Ru2,-0.6291
SiRu,-0.6022
SiRu,-0.6022
ScSi,-0.853
Sc5Si3,-0.9317
V3Si,-0.4809
Sm5Si3,-0.6954
Ta5Si3,-0.3949
Tb5Si3,-0.6322
Ti5Si3,-0.7649
Tm5Si3,-0.7887
V5Si3,-0.6115
Y5Si3,-0.7431
Y5Si3,-0.8333
Zr5Si3,-0.7431
Si4Ti5,-0.8136
Si4Zr5,-0.9525
SmSi,-0.826
TbSi,-0.8385
TiSi,-0.7524
TmSi,-0.8924
YSi,-0.8364
ZrSi,-0.9794
Si2Sm,-0.6871
TaSi2,-0.4768
Si2Tb,-0.6374
TiSi2,-0.5908
TmSi2,-0.6726
VSi2,-0.3887
Si2W,-0.2829
YSi2,-0.6405
ZrSi2,-0.625
CeIn3,-0.5089
PrIn3,-0.5317
NdIn3,-0.5338
SmIn3,-0.5389
GdIn3,-0.5027
TbIn3,-0.5545
DyIn3,-0.4985
Ho5In3,-0.5203
Er5In3,-0.4944
TmIn3,-0.4923
Lu5In3,-0.5421
Cu51Zr14,-0.2519
Cu3Pd,-0.0788
Cu51Hf14,-0.2373
Cu3Pt,-0.1119
TiAg,-0.0166
Ti2Ag,-0.0238
YAg2,-0.2757
ScAu2,-0.8644
ScAu4,-0.5939
AuMn,-0.2622
YAu2,-0.8768
YAu3,-0.7162
PdAu3,-0.0819
ScMn2,-0.2705
Os11Sc4,-0.2342
TiMn2,-0.0891
HfV2,-0.1731
VIr,-0.2912
HfFe2,-0.1275
Fe7Nb6,-0.0643
NbCo3,-0.0767
Co3Ta,-0.0881
YNi,-0.341
ScOs2,-0.2042
VCo3,-0.0674
V3Ir,-0.3047
YFe3,-0.0176
YFe2,-0.0021
NbFe2,-0.0549
NbCo2,-0.0684
TaCo2,-0.0653
TaFe2,-0.0653
NbNi3,-0.1741
TbCu2,-0.256
Cu2Dy,-0.2529
HoCu2,-0.2591
Cu2Er,-0.2798
Cu2Tm,-0.2425
TbCu5,-0.1907
DyCu5,-0.1627
HoCu5,-0.1793
Cu5Er,-0.1907
TmCu5,-0.1959
Cu5Lu,-0.1948
TbAu,-0.8965
DyAu,-0.8644
ErAu,-0.9349
TmAu,-0.9618
TbAu2,-0.8416
DyAu2,-0.8063
HoAu2,-0.8768
ErAu2,-0.8903
TmAu2,-0.9494
LuAu2,-0.9442
TbAu3,-0.6892
DyAu3,-0.6664
HoAu3,-0.6954
ErAu3,-0.6851
TmAu3,-0.7535
Au51La14,-0.6001
SmCu,-0.1285
Cu2Sm,-0.1731
SmCu6,-0.142
AgSm,-0.3835
Ag2Sm,-0.2498
Ag51Sm14,-0.1741
SmAu,-0.7908
Au2Sm,-0.7991
Au51Sm14,-0.6198
TbAg,-0.3783
DyAg,-0.3866
ErAg,-0.4654
TmAg,-0.4457
PrAg2,-0.256
NdAg2,-0.2259
GdAg2,-0.2477
TbAg2,-0.2353
DyAg2,-0.2311
HoAg2,-0.2591
ErAg2,-0.2487
TmAg2,-0.2622
Ag2Tm,-0.2622
LuAg2,-0.2653
Ag3Tb,-0.2135
Ag3Dy,-0.2363
Ag3Ho,-0.2601
Ag3Er,-0.2633
Ag3Tm,-0.2094
Al5Ni4Rh,-0.7684
Al5Ni3Rh2,-0.8019
Al5Ni2Rh3,-0.8439
Al5NiRh4,-1.0331
Ti5Ge3,-0.7333
V5Ge3,-0.4586
Mn5Ge3,-0.1884
Fe5Ge3,-0.1078
Co5Ge3,-0.2029
Ni5Ge3,-0.3222
Al0.1Ti0.25Zn0.65,-0.2798
Al0.2Ti0.25Zn0.55,-0.3109
Al0.3Ti0.25Zn0.45,-0.3317
Al0.4Ti0.25Zn0.35,-0.3524
Al2TiZn,-0.3627
Al0.6Ti0.25Zn0.15,-0.3731
InPd,-0.7151
In3Pd2,-0.5908
Sn2Pd,-0.5182
Ag0.610Mg0.390,-0.040999999999999995
Ag0.561Mg0.439,-0.0438
Ag0.542Mg0.458,-0.0449
Ag0.510Mg0.490,-0.0455
Ag0.497Mg0.503,-0.0453
Ag0.485Mg0.515,-0.0455
Ag0.480Mg0.520,-0.0452
Ag0.452Mg0.548,-0.0444
Al3FeSi2,-0.2123
Al2Fe3Si4,-0.3716
Al0.71Fe0.19Si0.10,-0.255
Al0.31Mn0.6Ni0.2,-0.2398
VSi2,-0.4319
Sc5Sn3,-0.7276
Sn9Ti11,-0.4498
V3Sn,-0.2249
Y5Sn3,-0.7545
Zr5Sn3,-0.7379
Nb3Sn,-0.1575
Sn7Ru3,-0.1938
Sn2Rh,-0.4363
SnPd3,-0.5991
Hf5Sn3,-0.5099
Ir5Sn7,-0.1555
Sn2Ir,-0.1337
SnPt,-0.6094
Pr5Sn3,-0.7804
Nd5Sn3,-0.768
Sm5Sn3,-0.8074
Gd5Sn3,-0.8136
Tb5Sn3,-0.7576
Dy5Sn3,-0.7784
Ho5Sn3,-0.7618
Er5Sn3,-0.7493
Tm5Sn3,-0.7545
Lu5Sn3,-0.7784
Lu5Sn3,-0.7628
Sc5Ge3,-0.968
Cr5Ge3,-0.1627
Y5Ge3,-0.9307
Zr5Ge3,-0.8405
Nb5Ge3,-0.7172
Ge3Mo5,-0.1731
GeRu,-0.2954
GeRh,-0.5897
GePd,-0.4819
GePd2,-0.5421
La5Ge3,-0.7027
Hf3Ge2,-0.7732
Ta5Ge3,-0.4353
Ge2Os,-0.0383
GeIr,-0.3431
GeIr,-0.3368
GePt,-0.4705
GePt2,-0.3845
Cu3Ge,-0.0425
Ge8La5,-0.7815
Ce5Ge3,-0.7607
CeGe1.6,-0.7939
Pr5Ge3,-0.7296
Ge1.6Pr,-0.8468
Nd5Ge3,-0.7473
Ge8Nd5,-0.8312
Gd5Ge3,-0.8499
Sm5Ge3,-0.9411
Tb5Ge3,-0.8468
Dy5Ge3,-0.9577
Ho5Ge3,-0.9514
Er5Ge3,-0.9908
Tm5Ge3,-0.9463
Lu5Ge3,-0.9649
NdIr2,-0.7006
YAl3,-0.4809
YAl2,-0.5545
Y3Al2,-0.4861
Al4NiY,-0.625
Sc2Al,-0.3835
AlSc,-0.4768
ScAl2,-0.4975
ScAl3,-0.4508
AlLa,-0.4768
LaAl2,-0.5234
LaAl3,-0.456
Al7La2,-0.4249
YbAl2,-0.4094
YbAl3,-0.3368
AlSm2,-0.3938
SmAl,-0.5078
SmAl2,-0.57
SmAl3,-0.4975
ErAl2,-0.5089
Al7Ce2,-0.4094
CeAl2,-0.5068
Ce3Al,-0.17
GdAl2,-0.5327
AlGd,-0.4084
AlGd2,-0.3596
CoLaNi4,-0.2529
Co2LaNi3,-0.172
Co0.42La0.16Ni0.42,-0.1244
Co3LaNi2,-0.115
Co0.58La0.17Ni0.25,-0.0881
Co17Dy2,-0.0902
Co3Dy,-0.1378
Co2Dy,-0.1803
Co3Dy5,-0.1441
ErCo3,-0.1565
Co2Er,-0.1948
CoEr3,-0.0725
Co17Gd2,-0.0466
Co5Gd,-0.086
GdCo2,-0.1213
Co7Gd12,-0.0653
DyNi5,-0.2601
DyNi2,-0.3379
DyNi,-0.3462
Dy3Ni,-0.2301
ErNi9,-0.1337
ErNi5,-0.2094
ErNi2,-0.3244
ErNi,-0.3171
Er3Ni,-0.1772
GdNi5,-0.2394
GdNi2,-0.3317
GdNi,-0.2674
Gd3Ni,-0.1441
TaAlNi2,-0.4011
AlNi2V,-0.4115
ZrAlNi2,-0.5203
FeGaNi2,-0.257
GaHfNi2,-0.7182
NbGaNi2,-0.3721
HfInNi2,-0.3596
MnNi2Sn,-0.3078
Co2FeAl,-0.1524
Ce2Fe17,-0.0166
Nd2Fe17,-0.0311
Sm2Fe17,-0.0321
Fe2Gd,-0.0187
HoFe2,-0.0269
ErFe2,-0.0197
TmFe2,-0.0228
Fe2Lu,-0.0373
TbDy2Fe6,-0.141
Fe5Ga,-0.1078
TiFe2,-0.2819
TiFe,-0.2332
FeNiTi2,-0.3545
LaMg,-0.21100000000000002
Co2FeAl,-0.2332
GaFeCo2,-0.2674
FeCo2Si,-0.39799999999999996
FeCo2Ge,-0.1202
MnCo2Si,-0.4394
MnCo2Ge,-0.3275
MnCo2Sn,-0.1617
TiAlCo2,-0.57
TiGaCo2,-0.5617
TiCo2Si,-0.6364
TiCo2Ge,-0.6146
TiCo2Sn,-0.39799999999999996
VGaCo2,-0.2943
MnAlCu2,-0.2747
Cu2NiSn,-0.1803
Fe2CoAl,-0.2425
Fe2CoGa,-0.1461
Fe2CoSi,-0.4695
Fe2CoGe,-0.0922
MnFe2Si,-0.2653
Fe2NiGa,-0.1513
Mn2CoSn,-0.2259
Mn2GaCo,-0.1202
Mn2AlV,-0.2871
MnInNi2,-0.2239
Ni2CuSn,-0.1296
MnInCu2,-0.1948
Cu0.55Ni0.20Sn0.25,-0.1762
Cu0.6Ni0.15Sn0.25,-0.1337
CoFe2Si,-0.3876
CuFe2Ga,-0.1182
MnGaFe2,-0.057999999999999996
Fe2GaNi,-0.1513
Fe2NiSi,-0.2767
Fe2GaV,-0.3109
Mn2GaCo,-0.1182
Mn2NiSn,-0.2166
Mn2VGa,-0.2218
Au4In3Sn3,-0.2176
SnAu,-0.1596
Sn2Au,-0.1472
Sn4Au,-0.0819
SnAu5,-0.0601
Au5Sn,-0.0135
Fe3Pt,-0.0964
AlNd2,-1.0733
B3Li,-0.4519
B14Li3,-0.3441
B13Li,-0.1461
Al2Fe,-0.2881
Al5Fe2,-0.3161
Li13Si4,-0.3151
Li7Si3,-0.3047
Li12Si7,-0.2653
Li22Si5,-0.2529
AlNi,-0.6871
AlNi3,-0.4198
TiAl2Ni,-0.4218
AlNiTi,-0.5897
TiAlNi2,-0.7473
ZrMn2,-0.256
ZrMo2,-0.0601
Os4Zr11,-0.0922
HfCr2,-0.0497
HfMn2,-0.2104
HfMo2,-0.0663
NbRh3,-0.2239
TaRh3,-0.1451
Mn2Nb,-0.1078
MoRh,-0.0497
MnPd,-0.4685
MoPd2,-0.0954
TaMn2,-0.1503
IrMn3,-0.1368
CrPt3,-0.0912
MnPt,-0.5555
MoPt,-0.1855
TaPt3,-0.2187
YMn2,-0.028999999999999998
CoCr,-0.0031
CuMn,-0.0383
Cu3Sn,-0.1078
TbFe2,-0.057
DyFe2,-0.0166
Tb2Fe17,-0.0218
Dy2Fe17,-0.0549
FePd3,-0.1658
FePt,-0.2384
FePt3,-0.2145
MnNi,-0.2581
TiNi,-0.3389
TiPd,-0.625
CeCo5,-0.0974
Ce2Co17,-0.0705
PrCo5,-0.1088
Pr2Co17,-0.0705
NdCo5,-0.1316
Nd2Co17,-0.0684
SmCo5,-0.1264
Sm2Co17,-0.0746
Co5Gd,-0.1036
TbCo5,-0.1524
Tb2Co17,-0.0798
Co17Dy2,-0.084
HoCo3,-0.1814
Co3Er,-0.2042
TmCo3,-0.2373
Co3Lu,-0.2384
HfAlAu2,-0.626
Fe2RuSi,-0.3109
Fe2RuGe,-0.1669
Pd2CuAl,-0.5721
HfAlPd2,-0.8457
Pd2HfGa,-0.8281
Pd2HfIn,-0.7918
HfSnPd2,-0.8043
Pd2MnAl,-0.9027
Pd2MnGa,-0.5649
Pd2MnIn,-0.4249
MnSnPd2,-0.5659
Pd2TiAl,-0.8436
TiGaPd2,-0.6799
TiInPd2,-0.4249
TiSnPd2,-0.8146
ZrAlPd2,-0.8841
ZrGaPd2,-0.7898
ZrInPd2,-0.882
ZrSnPd2,-0.9556
Pt2MnGa,-0.5814
Ru2FeAl,-0.2767
Ru2FeSi,-0.2954
Ru2FeGe,-0.2042
Ru2HfAl,-0.7338
HfSnRu2,-0.2581
Ru2MnAl,-0.3348
MnGaRu2,-0.2622
MnSiRu2,-0.4768
